年,路線方向,路段,交流道,縣市,進出口,週類別,交通輛數
2018,國1南向,非主線資料,三義,苗栗縣,出口,週2-4,4562
2018,國1南向,非主線資料,三義,苗栗縣,進口,週2-4,3733
2018,國1北向,非主線資料,三義,苗栗縣,出口,週2-4,3811
2018,國1北向,非主線資料,三義,苗栗縣,進口,週2-4,5507
2018,國1南向,非主線資料,三義,苗栗縣,出口,週六,6234
2018,國1南向,非主線資料,三義,苗栗縣,進口,週六,4892
2018,國1北向,非主線資料,三義,苗栗縣,出口,週六,5271
2018,國1北向,非主線資料,三義,苗栗縣,進口,週六,5724
2018,國1南向,非主線資料,三義,苗栗縣,出口,週日,5375
2018,國1南向,非主線資料,三義,苗栗縣,進口,週日,5373
2018,國1北向,非主線資料,三義,苗栗縣,出口,週日,5528
2018,國1北向,非主線資料,三義,苗栗縣,進口,週日,6478
2018,國1南向,非主線資料,三重,新北市,出口,週2-4,22386
2018,國1南向,非主線資料,三重,新北市,進口,週2-4,13560
2018,國1北向,非主線資料,三重,新北市,出口,週2-4,13494
2018,國1北向,非主線資料,三重,新北市,進口,週2-4,25700
2018,國1南向,非主線資料,三重,新北市,出口,週六,21904
2018,國1南向,非主線資料,三重,新北市,進口,週六,15722
2018,國1北向,非主線資料,三重,新北市,出口,週六,14325
2018,國1北向,非主線資料,三重,新北市,進口,週六,24674
2018,國1南向,非主線資料,三重,新北市,出口,週日,20266
2018,國1南向,非主線資料,三重,新北市,進口,週日,14479
2018,國1北向,非主線資料,三重,新北市,出口,週日,13891
2018,國1北向,非主線資料,三重,新北市,進口,週日,21426
2018,國3南向,非主線資料,三鶯,新北市,出口-1鶯歌,週2-4,6920
2018,國3南向,非主線資料,三鶯,新北市,出口2-三峽,週2-4,7586
2018,國3南向,非主線資料,三鶯,新北市,進口,週2-4,18885
2018,國3北向,非主線資料,三鶯,新北市,出口,週2-4,19618
2018,國3北向,非主線資料,三鶯,新北市,進口,週2-4,14792
2018,國3南向,非主線資料,三鶯,新北市,出口-1鶯歌,週六,6667
2018,國3南向,非主線資料,三鶯,新北市,出口2-三峽,週六,8349
2018,國3南向,非主線資料,三鶯,新北市,進口,週六,19080
2018,國3北向,非主線資料,三鶯,新北市,出口,週六,19452
2018,國3北向,非主線資料,三鶯,新北市,進口,週六,14918
2018,國3南向,非主線資料,三鶯,新北市,出口-1鶯歌,週日,6259
2018,國3南向,非主線資料,三鶯,新北市,出口2-三峽,週日,8483
2018,國3南向,非主線資料,三鶯,新北市,進口,週日,18195
2018,國3北向,非主線資料,三鶯,新北市,出口,週日,19621
2018,國3北向,非主線資料,三鶯,新北市,進口,週日,14216
