"","","","1-12歲","","13-19歲","","20-29歲","","30-39歲","","40-49歲","","50-59歲","","60歲以上","",""
"","","","1-12Years","","13-19Years","","20-29Years","","30-39Years","","40-49Years","","50-59Years","","60Years and Over","",""
"年別","月份","居住地","男","女","男","女","男","女","男","女","男","女","男","女","男","女","小計"
"Years","Months","Residence","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Total"
"108","1","亞洲地區(Asia)","58760","56138","31857","35861","69533","97880","109142","121297","138813","133651","101657","87607","81781","67643","1191620"
"108","1","非洲地區(Africa)","0","0","0","0","0","0","1","1","0","0","1","0","0","0","3"
"108","1","美洲地區(Americas)","2165","1988","2140","1997","5529","6317","4732","5526","5938","5883","4709","5109","5585","5723","63341"
"108","1","大洋洲地區(Oceania)","1230","1158","885","839","1142","1537","1306","1850","1477","2218","1095","1642","1450","1716","19545"
"108","1","歐洲地區(Europe)","651","630","738","809","1753","2693","2311","3091","2122","3268","1815","2637","1227","1441","25186"
"108","1","其他未列明(Unknow)","0","0","0","0","7","0","2","0","5","0","6","0","7","0","27"
"108","2","亞洲地區(Asia)","57005","53584","28881","30244","90717","120015","142265","149521","149342","134109","126769","108981","96776","79802","1368011"
"108","2","非洲地區(Africa)","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"108","2","美洲地區(Americas)","1158","1059","623","604","2774","3745","4631","5557","4392","4724","4198","5385","5640","6380","50870"
"108","2","大洋洲地區(Oceania)","781","729","457","443","1906","2836","1804","2659","1257","1806","1368","2117","1810","2181","22154"
"108","2","歐洲地區(Europe)","342","309","275","274","1473","2462","2700","3678","2041","2831","1916","2612","1333","1423","23669"
"108","2","其他未列明(Unknow)","132","123","56","55","164","150","260","237","388","391","477","490","443","545","3911"
"108","3","亞洲地區(Asia)","30517","29812","7266","9284","77972","114201","135510","147234","133861","120026","118351","121181","119673","112847","1277735"
"108","3","非洲地區(Africa)","0","0","0","0","0","0","0","0","1","0","0","1","1","0","3"
"108","3","美洲地區(Americas)","835","765","666","435","2601","3400","4687","5135","4969","4492","4237","5570","6785","7880","52457"
"108","3","大洋洲地區(Oceania)","470","450","246","212","1232","1838","1632","2398","1172","1611","1116","1875","1768","2178","18198"
"108","3","歐洲地區(Europe)","230","252","75","95","1507","2594","3439","4542","2643","3619","2479","4193","2415","3316","31399"
"108","3","其他未列明(Unknow)","427","393","139","116","543","764","1015","1220","1566","1628","1961","2072","2029","2361","16234"
"108","4","亞洲地區(Asia)","33724","32936","10282","12536","69618","101434","130665","141420","137860","122328","127899","128378","133080","125852","1308012"
"108","4","非洲地區(Africa)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"108","4","美洲地區(Americas)","838","891","449","462","1973","2654","4049","4569","4487","3992","4228","5316","7815","9413","51136"
