年,月,縣市,營業行車次數(班次)
2016,01,南投縣,52
2016,01,嘉義市,1550
2016,01,嘉義縣,1515
2016,01,基隆市,66136
2016,01,宜蘭縣,12356
2016,01,屏東縣,6021
2016,01,彰化縣,3698
2016,01,新北市,689593
2016,01,新竹市,21015
2016,01,新竹縣,6704
2016,01,桃園市,123196
2016,01,澎湖縣,6806
2016,01,臺中市,277488
2016,01,臺北市,1096772
2016,01,臺南市,79667
2016,01,臺東縣,2604
2016,01,花蓮縣,1430
2016,01,苗栗縣,1178
2016,01,連江縣,2402
2016,01,金門縣,12332
2016,01,雲林縣,3036
2016,01,高雄市,251926
2016,02,南投縣,44
2016,02,嘉義市,1504
2016,02,嘉義縣,1404
2016,02,基隆市,58030
2016,02,宜蘭縣,11846
2016,02,屏東縣,6561
2016,02,彰化縣,3386
2016,02,新北市,579304
2016,02,新竹市,19002
2016,02,新竹縣,6226
2016,02,桃園市,105975
2016,02,澎湖縣,6234
2016,02,臺中市,249530
2016,02,臺北市,936926
2016,02,臺南市,184030
2016,02,臺東縣,2349
2016,02,花蓮縣,1187
2016,02,苗栗縣,1102
2016,02,連江縣,2176
2016,02,金門縣,11466
2016,02,雲林縣,2914
2016,02,高雄市,233523
2016,03,南投縣,92
2016,03,嘉義市,1612
2016,03,嘉義縣,1541
2016,03,基隆市,67176
2016,03,宜蘭縣,12296
2016,03,屏東縣,7711
2016,03,彰化縣,3716
2016,03,新北市,681187
2016,03,新竹市,20642
2016,03,新竹縣,7596
2016,03,桃園市,112902
2016,03,澎湖縣,7515
2016,03,臺中市,276540
2016,03,臺北市,1066626
2016,03,臺南市,80803
2016,03,臺東縣,2511
2016,03,花蓮縣,1393
2016,03,苗栗縣,620
2016,03,連江縣,2478
2016,03,金門縣,12345
2016,03,雲林縣,3036
2016,03,高雄市,254087
2016,04,南投縣,92
2016,04,嘉義市,1558
2016,04,嘉義縣,1475
2016,04,基隆市,64013
2016,04,宜蘭縣,11984
2016,04,屏東縣,7462
2016,04,彰化縣,3580
2016,04,新北市,651346
2016,04,新竹市,19760
2016,04,新竹縣,7162
2016,04,桃園市,108644
2016,04,澎湖縣,7028
2016,04,臺中市,262517
2016,04,臺北市,1011817
2016,04,臺南市,79417
2016,04,臺東縣,2430
2016,04,花蓮縣,1392
2016,04,苗栗縣,600
2016,04,連江縣,2372
2016,04,金門縣,11853
2016,04,雲林縣,2946
2016,04,高雄市,245116
2016,05,南投縣,88
2016,05,嘉義市,1612
2016,05,嘉義縣,1536
2016,05,基隆市,66227
2016,05,宜蘭縣,12245
2016,05,屏東縣,7357
2016,05,彰化縣,3703
2016,05,新北市,686469
2016,05,新竹市,20470
2016,05,新竹縣,7537
2016,05,桃園市,113315
2016,05,澎湖縣,7448
2016,05,臺中市,274119
2016,05,臺北市,1065839
2016,05,臺南市,81269
2016,05,臺東縣,2511
2016,05,花蓮縣,1415
2016,05,苗栗縣,620
2016,05,連江縣,2470
2016,05,金門縣,12350
2016,05,雲林縣,3040
2016,05,高雄市,252919
2016,06,南投縣,80
2016,06,嘉義市,1560
2016,06,嘉義縣,1485
2016,06,基隆市,63480
2016,06,宜蘭縣,11957
2016,06,屏東縣,7111
2016,06,彰化縣,3563
2016,06,新北市,663075
2016,06,新竹市,19811
2016,06,新竹縣,7228
2016,06,桃園市,111027
2016,06,澎湖縣,7205
2016,06,臺中市,265029
2016,06,臺北市,1038239
2016,06,臺南市,78977
2016,06,臺東縣,2430
2016,06,花蓮縣,1498
2016,06,苗栗縣,1200
2016,06,連江縣,2386
2016,06,金門縣,11946
2016,06,雲林縣,2942
2016,06,高雄市,246202
2016,07,南投縣,-
2016,07,嘉義市,1560
2016,07,嘉義縣,1686
2016,07,基隆市,61703
2016,07,宜蘭縣,13022
2016,07,屏東縣,6356
2016,07,彰化縣,3428
2016,07,新北市,670119
2016,07,新竹市,18846
2016,07,新竹縣,7374
2016,07,桃園市,113245
2016,07,澎湖縣,5784
2016,07,臺中市,268105
2016,07,臺北市,1057541
