年,月,縣市,營業行車次數
2016,1,南投縣,52
2016,1,嘉義市,1550
2016,1,嘉義縣,1515
2016,1,基隆市,66136
2016,1,宜蘭縣,12356
2016,1,屏東縣,6021
2016,1,彰化縣,3698
2016,1,新北市,689593
2016,1,新竹市,21015
2016,1,新竹縣,6704
2016,1,桃園市,123196
2016,1,澎湖縣,6806
2016,1,臺中市,277488
2016,1,臺北市,1096772
2016,1,臺南市,79667
2016,1,臺東縣,2604
2016,1,花蓮縣,1430
2016,1,苗栗縣,1178
2016,1,連江縣,2402
2016,1,金門縣,12332
2016,1,雲林縣,3036
2016,1,高雄市,251926
2016,2,南投縣,44
2016,2,嘉義市,1504
2016,2,嘉義縣,1404
2016,2,基隆市,58030
2016,2,宜蘭縣,11846
2016,2,屏東縣,6561
2016,2,彰化縣,3386
2016,2,新北市,579304
2016,2,新竹市,19002
2016,2,新竹縣,6226
2016,2,桃園市,105975
2016,2,澎湖縣,6234
2016,2,臺中市,249530
2016,2,臺北市,936926
2016,2,臺南市,184030
2016,2,臺東縣,2349
2016,2,花蓮縣,1187
2016,2,苗栗縣,1102
2016,2,連江縣,2176
2016,2,金門縣,11466
2016,2,雲林縣,2914
2016,2,高雄市,233523
2016,3,南投縣,92
2016,3,嘉義市,1612
2016,3,嘉義縣,1541
2016,3,基隆市,67176
2016,3,宜蘭縣,12296
2016,3,屏東縣,7711
2016,3,彰化縣,3716
2016,3,新北市,681187
2016,3,新竹市,20642
2016,3,新竹縣,7596
2016,3,桃園市,112902
2016,3,澎湖縣,7515
2016,3,臺中市,276540
2016,3,臺北市,1066626
2016,3,臺南市,80803
2016,3,臺東縣,2511
2016,3,花蓮縣,1393
2016,3,苗栗縣,620
2016,3,連江縣,2478
2016,3,金門縣,12345
2016,3,雲林縣,3036
2016,3,高雄市,254087
2016,4,南投縣,92
2016,4,嘉義市,1558
2016,4,嘉義縣,1475
2016,4,基隆市,64013
2016,4,宜蘭縣,11984
2016,4,屏東縣,7462
2016,4,彰化縣,3580
2016,4,新北市,651346
2016,4,新竹市,19760
2016,4,新竹縣,7162
2016,4,桃園市,108644
2016,4,澎湖縣,7028
2016,4,臺中市,262517
2016,4,臺北市,1011817
2016,4,臺南市,79417
2016,4,臺東縣,2430
2016,4,花蓮縣,1392
2016,4,苗栗縣,600
2016,4,連江縣,2372
2016,4,金門縣,11853
2016,4,雲林縣,2946
2016,4,高雄市,245116
2016,5,南投縣,88
2016,5,嘉義市,1612
2016,5,嘉義縣,1536
2016,5,基隆市,66227
2016,5,宜蘭縣,12245
2016,5,屏東縣,7357
2016,5,彰化縣,3703
2016,5,新北市,686469
2016,5,新竹市,20470
2016,5,新竹縣,7537
2016,5,桃園市,113315
2016,5,澎湖縣,7448
2016,5,臺中市,274119
2016,5,臺北市,1065839
2016,5,臺南市,81269
2016,5,臺東縣,2511
2016,5,花蓮縣,1415
2016,5,苗栗縣,620
2016,5,連江縣,2470
2016,5,金門縣,12350
2016,5,雲林縣,3040
2016,5,高雄市,252919
2016,6,南投縣,80
2016,6,嘉義市,1560
2016,6,嘉義縣,1485
2016,6,基隆市,63480
2016,6,宜蘭縣,11957
2016,6,屏東縣,7111
2016,6,彰化縣,3563
2016,6,新北市,663075
2016,6,新竹市,19811
2016,6,新竹縣,7228
2016,6,桃園市,111027
2016,6,澎湖縣,7205
2016,6,臺中市,265029
2016,6,臺北市,1038239
2016,6,臺南市,78977
2016,6,臺東縣,2430
2016,6,花蓮縣,1498
2016,6,苗栗縣,1200
2016,6,連江縣,2386
2016,6,金門縣,11946
2016,6,雲林縣,2942
2016,6,高雄市,246202
2016,7,南投縣,-
2016,7,嘉義市,1560
2016,7,嘉義縣,1686
2016,7,基隆市,61703
2016,7,宜蘭縣,13022
2016,7,屏東縣,6356
2016,7,彰化縣,3428
2016,7,新北市,670119
2016,7,新竹市,18846
2016,7,新竹縣,7374
2016,7,桃園市,113245
2016,7,澎湖縣,5784
2016,7,臺中市,268105
2016,7,臺北市,1057541
2016,7,臺南市,79892
2016,7,臺東縣,2511
2016,7,花蓮縣,1305
2016,7,苗栗縣,1200
2016,7,連江縣,2406
2016,7,金門縣,12334
2016,7,雲林縣,2919
2016,7,高雄市,240982
2016,8,南投縣,-
2016,8,嘉義市,1612
2016,8,嘉義縣,1845
2016,8,基隆市,64357
2016,8,宜蘭縣,12520
2016,8,屏東縣,6595
2016,8,彰化縣,3492
2016,8,新北市,691311
2016,8,新竹市,20052
2016,8,新竹縣,7596
2016,8,桃園市,114102
2016,8,澎湖縣,6264
2016,8,臺中市,268973
2016,8,臺北市,1089205
2016,8,臺南市,81633
2016,8,臺東縣,2511
2016,8,花蓮縣,1240
2016,8,苗栗縣,1240
2016,8,連江縣,2516
2016,8,金門縣,12348
2016,8,雲林縣,3036
2016,8,高雄市,253675
2016,9,南投縣,76
2016,9,嘉義市,1474
2016,9,嘉義縣,1716
2016,9,基隆市,60154
2016,9,宜蘭縣,10680
2016,9,屏東縣,6276
2016,9,彰化縣,3175
2016,9,新北市,634774
2016,9,新竹市,19040
2016,9,新竹縣,6758
2016,9,桃園市,109251
2016,9,澎湖縣,6292
2016,9,臺中市,247651
2016,9,臺北市,1000963
2016,9,臺南市,74898
2016,9,臺東縣,2430
2016,9,花蓮縣,2326
2016,9,苗栗縣,1200
2016,9,連江縣,2346
2016,9,金門縣,10544
2016,9,雲林縣,2864
2016,9,高雄市,230908
2016,10,南投縣,80
2016,10,嘉義市,1611
2016,10,嘉義縣,1862
2016,10,基隆市,64400
2016,10,宜蘭縣,11945
2016,10,屏東縣,7506
2016,10,彰化縣,3485
2016,10,新北市,686265
2016,10,新竹市,20720
2016,10,新竹縣,7422
2016,10,桃園市,117747
2016,10,澎湖縣,7074
2016,10,臺中市,266777
2016,10,臺北市,1074832
2016,10,臺南市,82171
2016,10,臺東縣,2511
2016,10,花蓮縣,1304
2016,10,苗栗縣,1240
2016,10,連江縣,2614
2016,10,金門縣,10793
2016,10,雲林縣,3089
2016,10,高雄市,258259
2016,11,南投縣,88
2016,11,嘉義市,1560
2016,11,嘉義縣,1794
2016,11,基隆市,61711
2016,11,宜蘭縣,11454
2016,11,屏東縣,7302
2016,11,彰化縣,3405
2016,11,新北市,675836
2016,11,新竹市,20163
2016,11,新竹縣,7336
2016,11,桃園市,109507
2016,11,澎湖縣,7058
2016,11,臺中市,260359
2016,11,臺北市,1066403
2016,11,臺南市,79086
2016,11,臺東縣,2430
2016,11,花蓮縣,1478
2016,11,苗栗縣,1200
2016,11,連江縣,2394
2016,11,金門縣,10521
2016,11,雲林縣,2996
2016,11,高雄市,253166
2016,12,南投縣,460
2016,12,嘉義市,1613
2016,12,嘉義縣,1856
2016,12,基隆市,63692
2016,12,宜蘭縣,12199
2016,12,屏東縣,8141
2016,12,彰化縣,3511
2016,12,新北市,696332
2016,12,新竹市,20807
2016,12,新竹縣,7538
2016,12,桃園市,170691
2016,12,澎湖縣,7099
2016,12,臺中市,269596
2016,12,臺北市,1111541
2016,12,臺南市,81914
2016,12,臺東縣,2511
2016,12,花蓮縣,1204
2016,12,苗栗縣,1240
2016,12,連江縣,2470
2016,12,金門縣,10707
2016,12,雲林縣,3100
2016,12,高雄市,256477
2017,1,南投縣,424
2017,1,嘉義市,1612
2017,1,嘉義縣,1857
2017,1,基隆市,59424
2017,1,宜蘭縣,11981
2017,1,屏東縣,8025
2017,1,彰化縣,3367
2017,1,新北市,645948
2017,1,新竹市,18329
2017,1,新竹縣,6874
2017,1,桃園市,170084
2017,1,澎湖縣,6513
2017,1,臺中市,260616
2017,1,臺北市,1041627
2017,1,臺南市,82712
2017,1,臺東縣,2511
2017,1,花蓮縣,1490
2017,1,苗栗縣,1240
2017,1,連江縣,2338
2017,1,金門縣,10644
2017,1,雲林縣,3253
2017,1,高雄市,227988
2017,2,南投縣,392
2017,2,嘉義市,1612
2017,2,嘉義縣,2280
2017,2,基隆市,53908
2017,2,宜蘭縣,10743
2017,2,屏東縣,7229
2017,2,彰化縣,4285
2017,2,新北市,593122
2017,2,新竹市,16882
2017,2,新竹縣,6617
2017,2,桃園市,155606
2017,2,澎湖縣,5927
2017,2,臺中市,236190
2017,2,臺北市,963684
2017,2,臺南市,75085
2017,2,臺東縣,2296
2017,2,花蓮縣,1450
2017,2,苗栗縣,1120
2017,2,連江縣,2160
2017,2,金門縣,9603
2017,2,雲林縣,3288
2017,2,高雄市,210731
2017,3,南投縣,848
2017,3,嘉義市,1612
2017,3,嘉義縣,2969
2017,3,基隆市,61862
2017,3,宜蘭縣,11838
2017,3,屏東縣,8537
2017,3,彰化縣,3310
2017,3,新北市,695422
2017,3,新竹市,19269
2017,3,新竹縣,7596
2017,3,桃園市,175854
2017,3,澎湖縣,7296
2017,3,臺中市,267234
2017,3,臺北市,1083821
2017,3,臺南市,83004
2017,3,臺東縣,2542
2017,3,花蓮縣,1674
2017,3,苗栗縣,1240
2017,3,連江縣,2494
2017,3,金門縣,10665
2017,3,雲林縣,3674
2017,3,高雄市,253634
2017,4,南投縣,912
2017,4,嘉義市,1560
2017,4,嘉義縣,2994
2017,4,基隆市,58854
2017,4,宜蘭縣,11532
2017,4,屏東縣,8313
2017,4,彰化縣,3285
2017,4,新北市,649227
2017,4,新竹市,18411
2017,4,新竹縣,7104
2017,4,桃園市,168533
2017,4,澎湖縣,6770
2017,4,臺中市,257437
2017,4,臺北市,1003870
2017,4,臺南市,80331
2017,4,臺東縣,2460
2017,4,花蓮縣,1599
2017,4,苗栗縣,1200
2017,4,連江縣,2364
2017,4,金門縣,10665
2017,4,雲林縣,3551
2017,4,高雄市,243092
2017,5,南投縣,936
2017,5,嘉義市,1612
2017,5,嘉義縣,3077
2017,5,基隆市,63248
2017,5,宜蘭縣,11943
2017,5,屏東縣,8557
2017,5,彰化縣,3520
2017,5,新北市,685360
2017,5,新竹市,19148
2017,5,新竹縣,7467
2017,5,桃園市,173886
2017,5,澎湖縣,7152
2017,5,臺中市,269243
2017,5,臺北市,1063990
2017,5,臺南市,82718
2017,5,臺東縣,2542
2017,5,花蓮縣,2294
2017,5,苗栗縣,1240
2017,5,連江縣,2562
2017,5,金門縣,10997
2017,5,雲林縣,3682
2017,5,高雄市,251019
2017,6,南投縣,718
2017,6,嘉義市,1560
2017,6,嘉義縣,2958
2017,6,基隆市,56563
2017,6,宜蘭縣,11523
2017,6,屏東縣,8188
2017,6,彰化縣,3495
2017,6,新北市,670941
2017,6,新竹市,18498
2017,6,新竹縣,7658
2017,6,桃園市,168645
2017,6,澎湖縣,7100
2017,6,臺中市,264044
2017,6,臺北市,1030223
2017,6,臺南市,79606
2017,6,臺東縣,2460
2017,6,花蓮縣,1982
2017,6,苗栗縣,1200
2017,6,連江縣,2436
2017,6,金門縣,10648
2017,6,雲林縣,3488
2017,6,高雄市,255080
2017,7,南投縣,753
2017,7,嘉義市,1552
2017,7,嘉義縣,2946
2017,7,基隆市,58564
2017,7,宜蘭縣,16261
2017,7,屏東縣,7629
2017,7,彰化縣,3567
2017,7,新北市,674739
2017,7,新竹市,17113
2017,7,新竹縣,7329
2017,7,桃園市,170206
2017,7,澎湖縣,5488
2017,7,臺中市,266432
2017,7,臺北市,1039797
2017,7,臺南市,78568
2017,7,臺東縣,2542
2017,7,花蓮縣,1700
2017,7,苗栗縣,1240
2017,7,連江縣,2364
2017,7,金門縣,10997
2017,7,雲林縣,3580
2017,7,高雄市,266084
2017,8,南投縣,692
2017,8,嘉義市,1612
2017,8,嘉義縣,3021
2017,8,基隆市,60576
2017,8,宜蘭縣,12507
2017,8,屏東縣,7725
2017,8,彰化縣,3576
2017,8,新北市,698419
2017,8,新竹市,17643
2017,8,新竹縣,7596
2017,8,桃園市,171159
2017,8,澎湖縣,5871
2017,8,臺中市,273234
2017,8,臺北市,1065722
2017,8,臺南市,82631
2017,8,臺東縣,2542
2017,8,花蓮縣,1798
2017,8,苗栗縣,1240
2017,8,連江縣,2390
2017,8,金門縣,10997
2017,8,雲林縣,3658
2017,8,高雄市,257956
2017,9,南投縣,738
2017,9,嘉義市,1560
2017,9,嘉義縣,3350
2017,9,基隆市,62867
2017,9,宜蘭縣,17049
2017,9,屏東縣,8590
2017,9,彰化縣,4733
2017,9,新北市,679460
2017,9,新竹市,18137
2017,9,新竹縣,7336
2017,9,桃園市,169516
2017,9,澎湖縣,7038
2017,9,臺中市,274115
2017,9,臺北市,1050339
2017,9,臺南市,80247
2017,9,臺東縣,2460
