營業行車次數(班次),,,,,,,,,,,,,,,,,,,,,,,
,總計,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
日期,,,,,,,,,,,,,,,,,,,,,,,
105年,31004065,8005611,12616704,1409602,3186684,1063757,2977240,144504,86477,12640,42142,1152,35918,19715,84399,29739,17172,81807,761079,240328,18826,139539,29030
105年01月,2667477,689593,1096772,123196,277488,79667,251926,12356,6704,1178,3698,52,3036,1515,6021,2604,1430,6806,66136,21015,1550,12332,2402
105年02月,2424719,579304,936926,105975,249530,184030,233523,11846,6226,1102,3386,44,2914,1404,6561,2349,1187,6234,58030,19002,1504,11466,2176
105年03月,2624425,681187,1066626,112902,276540,80803,254087,12296,7596,620,3716,92,3036,1541,7711,2511,1393,7515,67176,20642,1612,12345,2478
105年04月,2504564,651346,1011817,108644,262517,79417,245116,11984,7162,600,3580,92,2946,1475,7462,2430,1392,7028,64013,19760,1558,11853,2372
105年05月,2624559,686469,1065839,113315,274119,81269,252919,12245,7537,620,3703,88,3040,1536,7357,2511,1415,7448,66227,20470,1612,12350,2470
105年06月,2548431,663075,1038239,111027,265029,78977,246202,11957,7228,1200,3563,80,2942,1485,7111,2430,1498,7205,63480,19811,1560,11946,2386
105年07月,2572318,670119,1057541,113245,268105,79892,240982,13022,7374,1200,3428,-,2919,1686,6356,2511,1305,5784,61703,18846,1560,12334,2406
105年08月,2646123,691311,1089205,114102,268973,81633,253675,12520,7596,1240,3492,-,3036,1845,6595,2511,1240,6264,64357,20052,1612,12348,2516
105年09月,2435796,634774,1000963,109251,247651,74898,230908,10680,6758,1200,3175,76,2864,1716,6276,2430,2326,6292,60154,19040,1474,10544,2346
105年10月,2633707,686265,1074832,117747,266777,82171,258259,11945,7422,1240,3485,80,3089,1862,7506,2511,1304,7074,64400,20720,1611,10793,2614
105年11月,2587247,675836,1066403,109507,260359,79086,253166,11454,7336,1200,3405,88,2996,1794,7302,2430,1478,7058,61711,20163,1560,10521,2394
105年12月,2734699,696332,1111541,170691,269596,81914,256477,12199,7538,1240,3511,460,3100,1856,8141,2511,1204,7099,63692,20807,1613,10707,2470
106年,31496500,8046371,12486736,2036430,3202634,973838,3000021,168473,87749,14560,47894,8995,42608,38280,97045,29899,21811,78449,721810,217353,19076,127620,28848
106年01月,2568857,645948,1041627,170084,260616,82712,227988,11981,6874,1240,3367,424,3253,1857,8025,2511,1490,6513,59424,18329,1612,10644,2338
106年02月,2364210,593122,963684,155606,236190,75085,210731,10743,6617,1120,4285,392,3288,2280,7229,2296,1450,5927,53908,16882,1612,9603,2160
106年03月,2706395,695422,1083821,175854,267234,83004,253634,11838,7596,1240,3310,848,3674,2969,8537,2542,1674,7296,61862,19269,1612,10665,2494
106年04月,2544064,649227,1003870,168533,257437,80331,243092,11532,7104,1200,3285,912,3551,2994,8313,2460,1599,6770,58854,18411,1560,10665,2364
106年05月,2676193,685360,1063990,173886,269243,82718,251019,11943,7467,1240,3520,936,3682,3077,8557,2542,2294,7152,63248,19148,1612,10997,2562
106年06月,2609014,670941,1030223,168645,264044,79606,255080,11523,7658,1200,3495,718,3488,2958,8188,2460,1982,7100,56563,18498,1560,10648,2436
106年07月,2639451,674739,1039797,170206,266432,78568,266084,16261,7329,1240,3567,753,3580,2946,7629,2542,1700,5488,58564,17113,1552,10997,2364
106年08月,2692565,698419,1065722,171159,273234,82631,257956,12507,7596,1240,3576,692,3658,3021,7725,2542,1798,5871,60576,17643,1612,10997,2390
106年09月,2660271,679460,1050339,169516,274115,80247,252922,17049,7336,1200,4733,738,3548,3350,8590,2460,1998,7038,62867,18137,1560,10648,2420
106年10月,2688904,680707,1045595,172525,279712,83639,270317,18375,7362,1240,4880,886,3684,4557,8240,2542,1916,7011,62947,18024,1612,10671,2462
106年11月,2648257,682365,1040211,167838,273638,81141,251775,17065,7336,1200,4883,800,3540,4346,8299,2460,1903,6190,61393,17586,1560,10332,2396
106年12月,2698319,690661,1057857,172578,280739,84156,259423,17656,7474,1200,4993,896,3662,3925,7713,2542,2007,6093,61604,18313,1612,10753,2462
107年,31617144,7982376,12180851,2111834,3350188,1001666,3139102,210568,77810,14631,56325,10421,43205,48003,116235,29803,24371,68081,755677,210363,23888,132618,29128
107年01月,2707628,694174,1062650,174191,281545,84206,254777,17337,7488,1271,4546,892,3676,4462,7269,2542,1938,5791,64546,18355,1612,11838,2522
107年02月,2286467,567277,883971,152284,242418,77171,226386,16400,6463,1120,3899,928,3341,4103,8431,2296,1736,4484,55448,15141,1456,9662,2052
107年03月,2691028,681160,1053453,173930,279671,85109,261096,17157,7596,1240,5058,880,3666,4502,10389,2542,2028,6143,63602,18182,1613,9533,2478
107年04月,2558684,631085,983011,171817,270677,82368,268182,17059,7103,1200,4680,1056,3578,4326,10501,2460,1960,5664,60720,17505,1560,9808,2364
107年05月,2721529,683213,1053757,180771,283635,84669,277256,16473,6945,1240,5078,882,3676,4365,10985,2542,2018,7373,63076,18333,1934,10724,2584
107年06月,2600688,652829,999803,172430,276883,82542,267510,16286,4138,1200,4789,964,3570,3772,10207,2460,1940,5702,60771,17360,1920,11168,2444
107年07月,2667599,669485,1032147,173764,284183,85086,271561,17417,8119,1240,4356,817,3658,3830,9380,2542,2046,4589,61536,16611,2190,10724,2318
107年08月,2646633,682686,1045250,174378,298280,82383,212284,17317,7596,1240,4233,784,3594,3558,9020,2542,1920,4754,62141,17176,2365,10724,2408
107年09月,2584218,649618,991103,170882,278098,82907,264226,16425,4140,1200,4672,1008,3572,3790,9731,2760,1887,5686,59664,17413,2292,10724,2420
107年10月,2736924,689323,1053235,186240,290492,85908,277628,16557,4278,1240,5037,622,3658,3842,10190,2542,2165,6026,63914,18299,2340,10724,2664
107年11月,2685190,690763,1004966,187771,278825,83104,277722,16596,6644,1200,5047,752,3658,3642,9902,2250,2353,5878,69613,17745,2350,12005,2404
107年12月,2730556,690763,1017505,193376,285481,86213,280474,25544,7300,1240,4930,836,3558,3811,10230,2325,2380,5991,70646,18243,2256,14984,2470
108年,31732750,8025929,11724453,2256355,3436398,1032236,3214981,301912,80656,14600,56816,24344,47978,37286,116969,28541,34645,67813,821231,209092,32912,139021,28582
108年01月,2722040,689236,1021101,195168,287642,85931,271980,25212,5779,1240,4639,722,3678,3761,9670,2250,2246,5523,72057,17634,2449,11718,2404
108年02月,2300690,560674,840159,170897,245680,78549,247364,24824,5818,1120,4193,1666,3392,3531,8953,2100,2128,5088,63753,15136,2185,11350,2130
108年03月,2699369,670898,1010960,196108,284020,88432,275276,25847,6606,1240,5168,2416,3876,3610,10145,2325,2772,6143,68952,17937,2365,11811,2462
108年04月,2612742,654795,968463,190942,275259,85104,268062,24878,6370,1200,4977,2448,3996,3342,9834,2382,2669,6596,68398,17430,2485,10724,2388
