年,月,品牌,領牌數
2018,01,Gogoro,3551
2018,01,Tesla,42
2018,02,Gogoro,3531
2018,02,Tesla,42
2018,03,Gogoro,5120
2018,03,Tesla,75
2018,04,Gogoro,4342
2018,04,Tesla,14
2018,05,Gogoro,5080
2018,05,Tesla,35
2018,06,Gogoro,5613
2018,06,Tesla,73
2018,07,Gogoro,6316
2018,07,Tesla,9
2018,08,Gogoro,5801
2018,08,Tesla,33
2018,09,Gogoro,7404
2018,09,Tesla,88
2018,10,Gogoro,8741
2018,10,Tesla,5
2018,11,Gogoro,8347
2018,11,Tesla,36
2018,12,Gogoro,8220
2018,12,Tesla,71
2019,01,Gogoro,7514
2019,01,Tesla,25
2019,02,Gogoro,5360
2019,02,Tesla,17
2019,03,Gogoro,9433
2019,03,Tesla,100
2019,04,Gogoro,9817
2019,04,Tesla,5
2019,05,Gogoro,11643
2019,05,Tesla,374
2019,06,Gogoro,11639
2019,06,Tesla,423
2019,07,Gogoro,11698
2019,07,Tesla,50
2019,08,Gogoro,10974
2019,08,Tesla,59
2019,09,Gogoro,11167
2019,09,Tesla,488
2019,10,Gogoro,15153
2019,10,Tesla,68
2019,11,Gogoro,18530
2019,11,Tesla,423
2019,12,Gogoro,22750
2019,12,Tesla,1104
2020,01,Gogoro,1487
2020,01,Tesla,112
2020,02,Gogoro,6154
2020,02,Tesla,86
2020,03,Gogoro,8618
2020,03,Tesla,1510
2020,04,Gogoro,7296
2020,04,Tesla,91
2020,05,Gogoro,5244
2020,05,Tesla,68
2020,06,Gogoro,5957
2020,06,Tesla,341
2020,07,Gogoro,8588
2020,07,Tesla,20
2020,08,Gogoro,6273
2020,08,Tesla,803
2020,09,Gogoro,8199
2020,09,Tesla,1070
2020,10,Gogoro,7331
2020,10,Tesla,19
2020,11,Gogoro,5815
2020,11,Tesla,446
2020,12,Gogoro,7466
2020,12,Tesla,1180
2021,01,Gogoro,1067
2021,01,Tesla,156
2021,02,Gogoro,1108
2021,02,Tesla,410
2021,03,Gogoro,5945
2021,03,Tesla,722
2021,04,Gogoro,7039
2021,04,Tesla,0
2021,05,Gogoro,6655
2021,05,Tesla,971
2021,06,Gogoro,5416
2021,06,Tesla,663
2021,07,Gogoro,5978
2021,07,Tesla,17
2021,08,Gogoro,6483
2021,08,Tesla,435
2021,09,Gogoro,7119
2021,09,Tesla,655
2021,10,Gogoro,7851
2021,10,Tesla,17
2021,11,Gogoro,8722
2021,11,Tesla,1227
2021,12,Gogoro,10550
2021,12,Tesla,262
2022,01,Gogoro,2298
2022,01,Tesla,1
2022,02,Gogoro,3332
2022,02,Tesla,653
2022,03,Gogoro,7176
2022,03,Tesla,1625
2022,04,Gogoro,4631
2022,04,Tesla,0
2022,05,Gogoro,4802
2022,05,Tesla,1649
2022,06,Gogoro,5935
2022,06,Tesla,598
2022,07,Gogoro,5901
2022,07,Tesla,1
2022,08,Gogoro,5808
2022,08,Tesla,1763
2022,09,Gogoro,6948
2022,09,Tesla,661
2022,10,Gogoro,5732
2022,10,Tesla,7
2022,11,Gogoro,5933
2022,11,Tesla,507
2022,12,Gogoro,6167
2022,12,Tesla,4056
2023,01,Gogoro,1647
2023,01,Tesla,69
2023,02,Gogoro,3503
2023,02,Tesla,518
2023,03,Gogoro,5443
2023,03,Tesla,2519
2023,04,Gogoro,3974
2023,04,Tesla,565
2023,05,Gogoro,4883
2023,05,Tesla,1299
2023,06,Gogoro,5261
2023,06,Tesla,2292
2023,07,Gogoro,4671
2023,07,Tesla,377
2023,08,Gogoro,5280
2023,08,Tesla,939
2023,09,Gogoro,5351
2023,09,Tesla,1240
2023,10,Gogoro,5919
2023,10,Tesla,701
2023,11,Gogoro,4744
2023,11,Tesla,812
2023,12,Gogoro,6017
2023,12,Tesla,1792
2024,01,Gogoro,2090
2024,01,Tesla,12
2024,02,Gogoro,2135
2024,02,Tesla,7
2024,03,Gogoro,3096
2024,03,Tesla,2125
2024,04,Gogoro,3850
2024,04,Tesla,11
2024,05,Gogoro,6049
2024,05,Tesla,1823
2024,06,Gogoro,5747
2024,06,Tesla,3897
2024,07,Gogoro,5227
2024,07,Tesla,646
2024,08,Gogoro,5120
2024,08,Tesla,906
2024,09,Gogoro,5204
2024,09,Tesla,2260
2024,10,Gogoro,5854
2024,10,Tesla,512
2024,11,Gogoro,5035
2024,11,Tesla,1152
2024,12,Gogoro,3106
2024,12,Tesla,1911
2025,01,Gogoro,779
2025,01,Tesla,365
2025,02,Gogoro,1987
2025,02,Tesla,959
2025,03,Gogoro,1913
2025,03,Tesla,1312
2025,04,Gogoro,2143
2025,04,Tesla,163
2025,05,Gogoro,2041
2025,05,Tesla,197
2025,06,Gogoro,2967
2025,06,Tesla,1693
2025,07,Gogoro,3105
2025,07,Tesla,1333
2025,08,Gogoro,2658
2025,08,Tesla,1976
2025,09,Gogoro,2986
2025,09,Tesla,2491
2025,10,Gogoro,2806
2025,10,Tesla,21
2025,11,Gogoro,2093
2025,11,Tesla,532
2025,12,Gogoro,2697
2025,12,Tesla,5546
2026,01,Gogoro,1682
2026,01,Tesla,6
2026,02,Gogoro,1510
2026,02,Tesla,5
