西元年,縣市別,生活用水量(立方公尺),年中供水人數(人)
2015,新北市,419262076,3873128
2015,臺北市,324974084,2697137
2015,桃園市,185805000,1983411
2015,臺中市,257653522,2584283
2015,臺南市,174220687,1866276
2015,高雄市,258891831,2658268
2015,宜蘭縣,41329516,431815
2015,新竹縣,39984563,447156
2015,苗栗縣,38878777,451001
2015,彰化縣,91806708,1203239
2015,南投縣,37467286,400567
2015,雲林縣,59937971,661260
2015,嘉義縣,40801044,469122
2015,屏東縣,37493401,405145
2015,臺東縣,17187821,177196
2015,花蓮縣,28418183,281212
2015,澎湖縣,7554640,95225
2015,基隆市,39849030,370244
2015,新竹市,47454881,428418
2015,嘉義市,27722884,270207
2015,金門縣,5238528,123113
2015,連江縣,695693,12101
2016,新北市,424657637,3881990
2016,臺北市,325896575,2693804
2016,桃園市,194153086,2028825
2016,臺中市,262928285,2628828
2016,臺南市,176552710,1867718
2016,高雄市,259686226,2661270
2016,宜蘭縣,42097702,433279
2016,新竹縣,41614295,456787
2016,苗栗縣,40018757,452275
2016,彰化縣,93961031,1204381
2016,南投縣,37250542,400145
2016,雲林縣,60917980,656762
2016,嘉義縣,41883823,465843
2016,屏東縣,38547449,409318
2016,臺東縣,17868441,177285
2016,花蓮縣,28457550,282387
2016,澎湖縣,7909424,95980
2016,基隆市,40049461,369811
2016,新竹市,48264247,431094
2016,嘉義市,28141504,269750
2016,金門縣,5285316,126626
2016,連江縣,740067,12146
2017,新北市,428549629,3893663
2017,臺北市,324085886,2683072
2017,桃園市,199708242,2069044
2017,臺中市,266966945,2657468
2017,臺南市,179622647,1868783
2017,高雄市,261689972,2663334
2017,宜蘭縣,43078910,434734
2017,新竹縣,43272194,467028
2017,苗栗縣,40873767,450990
2017,彰化縣,94800146,1203473
2017,南投縣,37430449,400434
2017,雲林縣,61902375,652835
2017,嘉義縣,42372634,463334
2017,屏東縣,39516035,417298
2017,臺東縣,17868389,177555
2017,花蓮縣,28587267,283669
2017,澎湖縣,8119130,96864
2017,基隆市,39964870,369535
2017,新竹市,48545518,434635
2017,嘉義市,27983937,269283
2017,金門縣,5576608,128827
2017,連江縣,766278,12150
2018,新北市,432962640,3904319.5
2018,臺北市,323346122,2669925.5
2018,桃園市,204342146,2104840
2018,臺中市,272636913,2678246
2018,臺南市,180324156,1867791
2018,高雄市,263891461,2664229
2018,宜蘭縣,43361308,434530
2018,新竹縣,44981519,477814
2018,苗栗縣,41747398,450724
2018,彰化縣,96379425,1200993
2018,南投縣,37681304,399745
2018,雲林縣,62383651,649417
2018,嘉義縣,42904337,461280
2018,屏東縣,39922133,428395
2018,臺東縣,17826113,178442
2018,花蓮縣,29262569,284778
2018,澎湖縣,8336976,97458
2018,基隆市,39401834,368601
2018,新竹市,49193604,439006
2018,嘉義市,27767604,268657
2018,金門縣,5736680,130797
2018,連江縣,814357,12023
2019,新北市,432962640,3904319.5
2019,臺北市,323346122,2669925.5
2019,桃園市,204342146,2104840
2019,臺中市,272636913,2678246
2019,臺南市,180324156,1867791
2019,高雄市,263891461,2664229
2019,宜蘭縣,43361308,434530
2019,新竹縣,44981519,477814
2019,苗栗縣,41747398,450724
2019,彰化縣,96379425,1200993
2019,南投縣,37681304,399745
2019,雲林縣,62383651,649417
2019,嘉義縣,42904337,461280
2019,屏東縣,39922133,428395
2019,臺東縣,17826113,178442
2019,花蓮縣,29262569,284778
2019,澎湖縣,8336976,97458
2019,基隆市,39401834,368601
2019,新竹市,49193604,439006
2019,嘉義市,27767604,268657
2019,金門縣,5736680,130797
2019,連江縣,814357,12023
2020,新北市,438772501,3921865
2020,臺北市,321445396,2651244.5
2020,桃園市,210430599,2137012
2020,臺中市,278789657,2695331
2020,臺南市,185397452,1864897
2020,高雄市,270495729,2666350
2020,宜蘭縣,44187513,434090
2020,新竹縣,46936629,488313
2020,苗栗縣,42631956,452544
2020,彰化縣,98372481,1198832
2020,南投縣,38380080,398993
2020,雲林縣,63396257,646148
2020,嘉義縣,43669428,459156
2020,屏東縣,41235203,442917
