年月,年,月,行業別,用電量
2018年1月,2018,1,全國用電量,20695282.41
2018年1月,2018,1,工業用電,12189231.93
2018年1月,2018,1,紡織成衣及服飾品製造業,514825.018
2018年1月,2018,1,紙漿、紙及紙製品製造業,303909.307
2018年1月,2018,1,化學材料及肥料製造業,2694312.665
2018年1月,2018,1,塑膠製品製造業,449108.645
2018年1月,2018,1,非金屬礦物製品製造業,487544.77
2018年1月,2018,1,基本金屬製造業,1615958.643
2018年1月,2018,1,金屬製品製造業,571833.3299
2018年1月,2018,1,電子產品及電力設備製造業,4097906.148
2018年1月,2018,1,住宅用電,3294706.964
2018年1月,2018,1,服務業用電,3404896.124
2018年1月,2018,1,運輸及倉儲業,179173.631
2018年1月,2018,1,住宿及餐飲業,484323.253
2018年1月,2018,1,出版影音及資通訊業,257298.6674
2018年1月,2018,1,金融及保險業,135553.341
2018年1月,2018,1,不動產業,108009.645
2018年1月,2018,1,醫療保健及社會工作服務業,227018.346
2018年1月,2018,1,藝術、娛樂及休閒服務業,82735.006
2018年1月,2018,1,運輸用電,119149.654
2018年1月,2018,1,公路,3267.69
2018年1月,2018,1,鐵路,112812.675
2018年1月,2018,1,管線運輸,3069.289
2018年1月,2018,1,能源部門自用,1475474.207
2018年1月,2018,1,農業部門,211823.5344
2018年2月,2018,2,全國用電量,18072952.81
2018年2月,2018,2,工業用電,10414277.13
2018年2月,2018,2,紡織成衣及服飾品製造業,407642.092
2018年2月,2018,2,紙漿、紙及紙製品製造業,231149.85
2018年2月,2018,2,化學材料及肥料製造業,2404035.073
2018年2月,2018,2,塑膠製品製造業,358132.757
2018年2月,2018,2,非金屬礦物製品製造業,396853.488
2018年2月,2018,2,基本金屬製造業,1338788.606
2018年2月,2018,2,金屬製品製造業,440378.0138
2018年2月,2018,2,電子產品及電力設備製造業,3677472.349
2018年2月,2018,2,住宅用電,3188496.984
2018年2月,2018,2,服務業用電,2864713.262
2018年2月,2018,2,運輸及倉儲業,173901.132
2018年2月,2018,2,住宿及餐飲業,424737.605
2018年2月,2018,2,出版影音及資通訊業,225530.2316
