年月,年,月,景氣對策信號(分),景氣狀態
2018年1月,2018,1,20,轉向低迷
2018年2月,2018,2,24,穩定
2018年3月,2018,3,23,穩定
2018年4月,2018,4,26,穩定
2018年5月,2018,5,29,穩定
2018年6月,2018,6,22,轉向低迷
2018年7月,2018,7,26,穩定
2018年8月,2018,8,24,穩定
2018年9月,2018,9,22,轉向低迷
2018年10月,2018,10,22,轉向低迷
2018年11月,2018,11,17,轉向低迷
2018年12月,2018,12,16,低迷
2019年1月,2019,1,20,轉向低迷
2019年2月,2019,2,17,轉向低迷
2019年3月,2019,3,20,轉向低迷
2019年4月,2019,4,21,轉向低迷
2019年5月,2019,5,18,轉向低迷
2019年6月,2019,6,21,轉向低迷
2019年7月,2019,7,22,轉向低迷
2019年8月,2019,8,20,轉向低迷
2019年9月,2019,9,19,轉向低迷
2019年10月,2019,10,19,轉向低迷
2019年11月,2019,11,24,穩定
2019年12月,2019,12,27,穩定
2020年1月,2020,1,25,穩定
2020年2月,2020,2,24,穩定
2020年3月,2020,3,20,轉向低迷
2020年4月,2020,4,19,轉向低迷
2020年5月,2020,5,19,轉向低迷
2020年6月,2020,6,19,轉向低迷
2020年7月,2020,7,21,轉向低迷
2020年8月,2020,8,26,穩定
2020年9月,2020,9,27,穩定
2020年10月,2020,10,28,穩定
2020年11月,2020,11,30,穩定
2020年12月,2020,12,34,轉向熱絡
2021年1月,2021,1,37,轉向熱絡
2021年2月,2021,2,40,熱絡
2021年3月,2021,3,40,熱絡
2021年4月,2021,4,41,熱絡
2021年5月,2021,5,41,熱絡
2021年6月,2021,6,40,熱絡
2021年7月,2021,7,38,熱絡
2021年8月,2021,8,39,熱絡
2021年9月,2021,9,38,熱絡
2021年10月,2021,10,39,熱絡
2021年11月,2021,11,37,轉向熱絡
2021年12月,2021,12,38,熱絡
2022年1月,2022,1,36,轉向熱絡
2022年2月,2022,2,34,轉向熱絡
2022年3月,2022,3,31,穩定
2022年4月,2022,4,28,穩定
2022年5月,2022,5,28,穩定
2022年6月,2022,6,27,穩定
2022年7月,2022,7,24,穩定
2022年8月,2022,8,23,穩定
2022年9月,2022,9,17,轉向低迷
2022年10月,2022,10,18,轉向低迷
2022年11月,2022,11,12,低迷
2022年12月,2022,12,12,低迷
2023年1月,2023,1,11,低迷
2023年2月,2023,2,10,低迷
2023年3月,2023,3,11,低迷
2023年4月,2023,4,11,低迷
2023年5月,2023,5,12,低迷
2023年6月,2023,6,13,低迷
2023年7月,2023,7,15,低迷
2023年8月,2023,8,15,低迷
2023年9月,2023,9,17,轉向低迷
2023年10月,2023,10,16,低迷
2023年11月,2023,11,20,轉向低迷
2023年12月,2023,12,22,轉向低迷
2024年1月,2024,1,27,穩定
2024年2月,2024,2,29,穩定
2024年3月,2024,3,31,穩定
2024年4月,2024,4,35,轉向熱絡
2024年5月,2024,5,36,轉向熱絡
2024年6月,2024,6,38,熱絡
2024年7月,2024,7,35,轉向熱絡
2024年8月,2024,8,39,熱絡
2024年9月,2024,9,34,轉向熱絡
2024年10月,2024,10,32,轉向熱絡
2024年11月,2024,11,34,轉向熱絡
2024年12月,2024,12,38,熱絡
2025年1月,2025,1,35,轉向熱絡
2025年2月,2025,2,37,轉向熱絡
2025年3月,2025,3,35,轉向熱絡
2025年4月,2025,4,33,轉向熱絡
2025年5月,2025,5,31,穩定
2025年6月,2025,6,29,穩定
2025年7月,2025,7,29,穩定
2025年8月,2025,8,31,穩定
2025年9月,2025,9,34,轉向熱絡
2025年10月,2025,10,35,轉向熱絡
2025年11月,2025,11,37,轉向熱絡
2025年12月,2025,12,38,熱絡
2026年1月,2026,1,39,熱絡
