西元年,民國年,全國用電量,工業用電,紡織成衣及服飾品製造業,紙漿、紙及紙製品製造業,化學材料及肥料製造業,塑膠製品製造業,非金屬礦物製品製造業,基本金屬製造業,金屬製品製造業,電子產品及電力設備製造業,住宅用電,服務業用電,運輸及倉儲業,住宿及餐飲業,出版影音及資通訊業,金融及保險業,不動產業,醫療保健及社會工作服務業,藝術、娛樂及休閒服務業,運輸用電,公路,鐵路,管線運輸,能源部門自用,農業部門
2018-01,107年01月,20695282.408,12189231.9252,514825.018,303909.307,2694312.665,449108.645,487544.77,1615958.643,571833.32988,4097906.1481,3294706.96358,3404896.12386,179173.631,484323.253,257298.66737,135553.341,108009.645,227018.346,82735.006,119149.654,3267.69,112812.675,3069.289,1475474.207,211823.53436
2018-02,107年02月,18072952.80898,10414277.12737,407642.092,231149.85,2404035.073,358132.757,396853.488,1338788.606,440378.01378,3677472.34938,3188496.98376,2864713.26244,173901.132,424737.605,225530.23155,109213.866,91981.719,194350.04,72603.7,111369.225,3409.21,104906.656,3053.359,1299205.327,194890.88341
2018-03,107年03月,21128319.046,12296612.82231,529188.015,308082.515,2699413.639,454066.925,466805.942,1669028.955,569091.94812,4133695.76848,3481564.29941,3496827.62126,203274.108,488097.37,267489.7167,132967.015,109971.844,240261.851,86567.226,124614.302,3605.376,117856.35,3152.576,1508255.638,220444.36302
2018-04,107年04月,20920022.362,12078345.77206,506242.306,291959.244,2671474.525,425190.566,472266.599,1597191.577,552064.36462,4148016.87658,3428327.53365,3536999.69905,213132.31,510210.29,262739.99033,135074.952,111458.063,249766.82174,92216.788,125915.95,3700.089,119137.453,3078.408,1520227.229,230206.17824
2018-05,107年05月,22777482.997,13121115.45342,546929.992,308296.146,2844863.483,478107.328,503921.985,1701429.264,606892.85285,4498935.43508,3424884.62396,4133524.51424,251428.713,597730.434,293807.60926,166320.545,131434.768,302371.09601,108163.489,131200.176,3791.067,124259.865,3149.244,1717093.492,249664.73738
2018-06,107年06月,22868181.28105,12620899.55587,528474.489,307930.287,2654389.775,466885.119,476186.377,1627284.421,601146.03041,4351302.05224,3883662.20348,4280540.67703,259882.28,650794.401,288517.62765,172102.232,136138.62,307707.96731,116172.525,128227.802,3924.927,121224.637,3078.238,1677729.82804,277121.21463
2018-07,107年07月,24636526.007,13117855.73959,551367.711,319194.768,2672333.057,480712.262,496106.595,1671098.987,608218.54318,4605928.12558,4727219.72591,4571666.70797,280115.544,721933.969,312272.0265,193906.856,151780.62,327958.52883,128426.393,132746.301,4069.409,125506.807,3170.085,1811981.909,275055.62353
2018-08,107年08月,24914489.59898,13237600.75162,556747.734,316405.35,2777750.321,487919.946,488952.273,1680616.057,631512.59541,4584118.94302,4953074.01502,4547502.98668,283621.108,727925.796,307199.26975,190422.815,150440.587,330165.70929,130293.918,132572.428,4179.597,125164.457,3228.374,1756871.58,286867.83766
2018-09,107年09月,24444133.24,12687501.10007,528506.651,304691.791,2727279.696,447922.114,475399.159,1605666.772,589883.23285,4382827.51676,5132590.73018,4570528.1452,272674.319,733448.525,307935.03968,185538.487,148794.7573,309789.10236,125610.263,127524.73,4343.845,120033.538,3147.347,1653337.555,272650.97955
2018-10,107年10月,23385080.49201,12735885.00977,523653.107,317419.007,2725695.835,452761.936,504216.033,1679798.376,599287.71529,4336802.2637,4476331.73466,4156956.26475,251834.323,654137.403,287280.68605,164982.66,131793.68723,281168.20654,113772.86,127367.736,4620.665,119587.921,3159.15,1628670.454,259869.29283
2018-11,107年11月,21949102.23599,12257271.7379,488956.551,302697.08,2654706.326,438379.209,491327.329,1593923.643,581794.37289,4175069.73234,3846694.48898,3932057.89397,234731.032,600940.235,284745.17706,157230.61,124448.77611,260297.55939,103792.818,126706.625,5038.334,118681.565,2986.726,1541948.082,244423.40814
2018-12,107年12月,20775686.17799,12213413.52993,481942.113,302887.491,2674833.989,437295.488,503714.989,1623442.368,575369.86055,4126407.89538,3012191.99412,3595365.57704,222320.504,562215.588,273905.93358,144091.86,115715.13179,246581.55255,98428.36,130941.871,5219.369,122433.121,3289.381,1585638.212,238134.9939
2019-01,108年01月,20846879.96299,12202442.83522,494025.879,312449.016,2678064.06,445417.978,493076.063,1613462.478,569341.34122,4082216.64536,3266792.62238,3496740.88407,219212.234,527960.129,276460.41737,140422.015,113671.28969,236938.27767,81213.939,127567.23,5764.838,118602.993,3199.399,1534303.079,219033.31232
