Date,USD_TWD,Year,Month
2018-01-31,29.440478034641433,2018,1
2018-02-28,29.197950077056884,2018,2
2018-03-31,29.196636373346504,2018,3
2018-04-30,29.339143026442756,2018,4
2018-05-31,29.82569570126741,2018,5
2018-06-30,30.04028574625651,2018,6
2018-07-31,30.51936366341331,2018,7
2018-08-31,30.66473902826724,2018,8
2018-09-30,30.700500106811525,2018,9
2018-10-31,30.84313044340714,2018,10
2018-11-30,30.769818132573906,2018,11
2018-12-31,30.755143029349192,2018,12
2019-01-31,30.780782616656758,2019,1
2019-02-28,30.78620014190674,2019,2
2019-03-31,30.847761971609934,2019,3
2019-04-30,30.838227185336027,2019,4
2019-05-31,31.190681630914863,2019,5
2019-06-30,31.22874994277954,2019,6
2019-07-31,31.025347834048063,2019,7
2019-08-31,31.34081814505837,2019,8
2019-09-30,31.040666580200195,2019,9
2019-10-31,30.637565281080164,2019,10
2019-11-30,30.42057128179641,2019,11
2019-12-31,30.227681680159137,2019,12
2020-01-31,29.971695858499277,2020,1
2020-02-29,30.133349990844728,2020,2
2020-03-31,30.045727383006703,2020,3
2020-04-30,30.01481819152832,2020,4
2020-05-31,29.8709047408331,2020,5
2020-06-30,29.606358874927867,2020,6
2020-07-31,29.388308732405953,2020,7
2020-08-31,29.3302427927653,2020,8
2020-09-30,29.191645448858086,2020,9
2020-10-31,28.682781999761406,2020,10
2020-11-30,28.527633303687686,2020,11
2020-12-31,28.185004275778066,2020,12
2021-01-31,27.969028563726518,2021,1
2021-02-28,27.899995040893554,2021,2
2021-03-31,28.19258689880371,2021,3
2021-04-30,28.206972902471367,2021,4
2021-05-31,27.882699966430664,2021,5
2021-06-30,27.71492290496826,2021,6
2021-07-31,27.952595190568402,2021,7
2021-08-31,27.849309140985664,2021,8
2021-09-30,27.668949994173918,2021,9
2021-10-31,27.895180929274787,2021,10
2021-11-30,27.79048182747581,2021,11
2021-12-31,27.68623036923616,2021,12
2022-01-31,27.6214048294794,2022,1
2022-02-28,27.835210037231445,2022,2
2022-03-31,28.36376090671705,2022,3
2022-04-30,29.02411433628627,2022,4
2022-05-31,29.534804517572578,2022,5
2022-06-30,29.51253639567982,2022,6
2022-07-31,29.820423852829705,2022,7
2022-08-31,30.066291311512824,2022,8
2022-09-30,31.151300170204856,2022,9
2022-10-31,31.91810962132045,2022,10
2022-11-30,31.412245663729582,2022,11
2022-12-31,30.671049898320977,2022,12
2023-01-31,30.39272724498402,2023,1
2023-02-28,30.179119968414305,2023,2
2023-03-31,30.507278193598207,2023,3
2023-04-30,30.519985103607176,2023,4
2023-05-31,30.69050855221956,2023,5
2023-06-30,30.79114072973078,2023,6
2023-07-31,31.155947730654763,2023,7
2023-08-31,31.780913062717605,2023,8
2023-09-30,31.987195060366677,2023,9
2023-10-31,32.24917723915794,2023,10
2023-11-30,31.88197274641557,2023,11
2023-12-31,31.245371318998792,2023,12
2024-01-31,31.14322612596595,2024,1
2024-02-29,31.386566707066127,2024,2
2024-03-31,31.640071414765856,2024,3
2024-04-30,32.28176359696822,2024,4
2024-05-31,32.282221586807914,2024,5
2024-06-30,32.35526943206787,2024,6
2024-07-31,32.60844802856445,2024,7
2024-08-31,32.20826833898371,2024,8
2024-09-30,31.904733657836914,2024,9
2024-10-31,32.040160966956094,2024,10
2024-11-30,32.29901431855701,2024,11
2024-12-31,32.53880448774858,2024,12
2025-01-31,32.80565920743075,2025,1
2025-02-28,32.786399841308594,2025,2
2025-03-31,32.95020457676479,2025,3
2025-04-30,32.709235191345215,2025,4
2025-05-31,30.29234097220681,2025,5
2025-06-30,29.616933368501208,2025,6
2025-07-31,29.303321672522504,2025,7
2025-08-31,30.1097286769322,2025,8
2025-09-30,30.37694991718639,2025,9
2025-10-31,30.607826149981953,2025,10
2025-11-30,31.08233509063721,2025,11
2025-12-31,31.3637543591586,2025,12
2026-01-31,31.48066656930106,2026,1
2026-02-28,31.471345043182374,2026,2
2026-03-31,31.827849917941624,2026,3
