西元年,民國年,區域,工業自備水源耗水量,序號,狀態,公共給水耗水量,總用水消耗量
1995,84,北部,427.99,87,通過,139.02,567.0
1995,84,中部,369.16,88,通過,23.88,393.04
1995,84,南部,379.92,89,通過,228.07,607.99
1995,84,東部,56.62,90,通過,1.65,58.27
1996,85,北部,474.44,91,通過,150.91,625.35
1996,85,中部,400.22,92,通過,26.13,426.35
1996,85,南部,425.43,93,通過,237.66,663.1
1996,85,東部,48.92,94,通過,1.63,50.55
1997,86,北部,356.28,61,通過,156.22,512.5
1997,86,中部,319.84,62,通過,28.33,348.17
1997,86,南部,473.9,63,通過,225.69,699.59
1997,86,東部,50.0,64,通過,3.4,53.4
1998,87,北部,378.27,53,通過,146.18,524.45
1998,87,中部,359.42,54,通過,32.1,391.52
1998,87,南部,471.18,55,通過,258.73,729.91
1998,87,東部,53.87,56,通過,2.12,55.99
1999,88,北部,375.06,45,通過,158.21,533.27
1999,88,北部,375.06,34,刪除,158.21,533.27
1999,88,中部,367.06,46,通過,38.0,405.06
1999,88,南部,453.86,36,刪除,270.65,724.54
1999,88,南部,453.89,47,通過,270.65,724.54
1999,88,東部,57.64,48,通過,2.03,59.67
2000,89,北部,455.6,17,通過,192.2,647.8
2000,89,中部,529.1,18,通過,43.5,572.6
2000,89,南部,280.0,19,通過,308.5,588.5
2000,89,東部,58.8,20,通過,2.2,61.0
2001,90,北部,438.31,7,通過,191.35,629.66
2001,90,中部,459.28,8,通過,43.38,502.66
2001,90,南部,252.45,9,通過,296.44,548.88
2001,90,東部,57.03,10,通過,1.56,58.6
2001,90,北部,438.31,21,通過,191.35,629.66
2001,90,中部,459.28,22,通過,43.38,502.66
2001,90,南部,252.45,23,通過,296.44,548.88
2001,90,東部,57.03,24,通過,1.56,58.6
2002,91,北部,443.42,3,通過,186.38,629.8
2002,91,中部,468.72,4,通過,42.79,511.51
2002,91,南部,258.92,5,通過,307.38,566.3
2002,91,東部,55.7,6,通過,2.24,57.94
2003,92,北部,282.21,12,通過,216.0,498.21
2003,92,中部,459.81,13,通過,49.8,509.61
2003,92,南部,242.96,14,通過,298.7,541.66
2003,92,東部,56.41,15,通過,2.2,58.61
2004,93,北部,298.3,25,通過,247.8,546.1
2004,93,中部,470.4,26,通過,56.5,526.9
2004,93,南部,225.98,27,通過,300.4,526.38
2004,93,東部,52.93,28,通過,2.0,54.93
2005,94,北部,210.31,29,通過,253.0,463.31
2005,94,中部,442.11,30,通過,61.0,503.11
2005,94,南部,203.32,31,通過,316.4,519.72
2005,94,東部,56.11,32,通過,1.9,58.01
2006,95,北部,191.0,49,通過,271.6,462.6
2006,95,中部,455.55,50,通過,74.5,530.05
2006,95,南部,195.97,51,通過,328.8,524.77
2006,95,東部,55.99,52,通過,1.96,57.95
2007,96,北部,191.88,57,通過,273.9,465.74
2007,96,中部,440.54,58,通過,78.6,519.11
2007,96,南部,248.42,59,通過,352.5,600.94
2007,96,東部,56.09,60,通過,1.9,57.99
2008,97,北部,202.19,65,通過,274.2,476.42
2008,97,中部,433.59,66,通過,92.5,526.06
2008,97,南部,251.2,67,通過,353.8,604.98
2008,97,東部,55.89,68,通過,1.7,57.57
2008,97,其他,2.51,69,通過,0.0,2.51
2008,97,北部,202.19,70,刪除,274.2,476.42
2008,97,中部,433.59,71,刪除,92.5,526.06
2008,97,南部,251.2,72,刪除,353.8,604.98
2008,97,東部,55.89,73,刪除,1.7,57.57
2008,97,其他,2.51,74,刪除,0.0,2.51
2009,98,北部,208.43,77,通過,239.6,448.07
2009,98,中部,446.91,78,通過,84.5,531.39
2009,98,南部,198.62,79,通過,313.7,512.29
2009,98,東部,55.69,80,通過,1.4,57.13
2009,98,其他,2.47,81,通過,0.0,2.47
2010,99,北部,,75,刪除,0.0,
2010,99,北部,187.76,82,通過,276.8,464.55
2010,99,中部,482.26,83,通過,114.8,543.09
2010,99,南部,187.71,84,通過,347.6,535.27
2010,99,東部,55.88,85,通過,1.6,57.46
2010,99,其他,2.45,86,通過,0.0,2.45
2011,100,北部,177.88,95,通過,286.6,464.43
2011,100,中部,377.34,96,通過,120.8,498.15
2011,100,南部,170.72,97,通過,359.2,529.93
2011,100,東部,54.54,98,通過,1.6,56.15
2011,100,其他,3.14,99,通過,0.0,3.14
2011,100,北部,177.88,100,通過,286.6,464.43
2011,100,中部,377.34,101,退回,120.8,498.15
2011,100,南部,170.72,102,通過,359.2,529.93
2011,100,東部,54.54,103,通過,1.6,56.15
2011,100,中部,377.34,155,通過,120.8,498.15
2011,100,其他,3.14,104,通過,0.0,3.14
2012,101,中部,423.1,106,通過,131.6,554.69
2012,101,南部,163.75,107,通過,363.54,527.29
2012,101,東部,54.13,108,通過,1.7,55.86
2012,101,其他,3.32,109,通過,0.0,3.32
2012,101,北部,176.4,105,通過,292.33,468.72
2013,102,北部,174.08,110,通過,294.05,468.13
2013,102,中部,435.47,111,通過,141.6,577.03
2013,102,南部,172.0,112,通過,360.2,532.2
2013,102,東部,56.47,113,通過,1.7,58.21
2013,102,其他,3.41,124,通過,0.0,3.41
2014,103,北部,132.37,130,通過,305.66,438.03
2014,103,中部,418.09,131,通過,153.28,571.37
2014,103,南部,197.19,132,通過,369.3,566.49
2014,103,東部,55.9,133,通過,1.73,57.63
2014,103,其他,3.31,134,通過,0.0,3.31
2015,104,北部,176.31,119,通過,280.46,456.77
2015,104,中部,423.2,120,通過,149.04,572.24
2015,104,南部,152.21,121,通過,360.74,512.95
2015,104,東部,53.54,122,通過,1.81,55.35
2015,104,其他,3.23,123,通過,0.0,3.23
2016,105,北部,182.22,125,通過,273.69,455.91
2016,105,中部,436.86,126,通過,154.55,591.41
2016,105,東部,50.67,128,通過,1.49,52.17
2016,105,其他,3.14,129,通過,0.0,3.14
2016,105,南部,159.95,127,通過,366.08,526.03
2017,106,北部,172.97,135,通過,288.96,461.92
2017,106,中部,425.7,136,通過,172.39,598.09
2017,106,南部,162.39,137,通過,376.36,538.75
2017,106,東部,50.88,138,通過,1.32,52.2
2017,106,其他,3.18,139,通過,0.0,3.18
2018,107,北部,163.42,140,通過,291.97,455.39
2018,107,中部,430.97,141,通過,177.39,608.37
2018,107,南部,187.96,142,通過,360.05,548.01
2018,107,東部,51.4,143,通過,1.16,52.56
2018,107,其他,3.24,144,通過,0.0,3.24
2019,108,北部,169.77,145,通過,279.71,449.48
2019,108,中部,437.52,146,通過,175.28,612.8
2019,108,南部,207.92,147,通過,345.35,553.27
2019,108,東部,51.48,148,通過,1.11,52.59
2019,108,其他,3.2,149,通過,0.0,3.2
2019,108,北部,169.77,150,通過,279.71,449.48
2019,108,中部,437.52,151,通過,175.28,612.8
2019,108,南部,207.92,152,通過,345.35,553.27
2019,108,北部,51.48,153,刪除,1.11,52.59
2019,108,其他,3.2,154,通過,0.0,3.2
2020,109,北部,302.78,156,通過,156.74,459.52
2020,109,中部,443.31,157,通過,229.49,672.8
2020,109,東部,20.93,159,通過,10.83,31.76
2020,109,其他,2.66,160,通過,1.37,4.03
2020,109,南部,418.35,158,通過,216.57,634.92
