西元年,區域,屬性,耗水量
1995,北部,工業自備水源耗水量,427.99
1995,北部,公共給水耗水量,139.02
1995,中部,工業自備水源耗水量,369.16
1995,中部,公共給水耗水量,23.88
1995,南部,工業自備水源耗水量,379.92
1995,南部,公共給水耗水量,228.07
1995,東部,工業自備水源耗水量,56.62
1995,東部,公共給水耗水量,1.65
1996,北部,工業自備水源耗水量,474.44
1996,北部,公共給水耗水量,150.91
1996,中部,工業自備水源耗水量,400.22
1996,中部,公共給水耗水量,26.13
1996,南部,工業自備水源耗水量,425.43
1996,南部,公共給水耗水量,237.66
1996,東部,工業自備水源耗水量,48.92
1996,東部,公共給水耗水量,1.63
1997,北部,工業自備水源耗水量,356.28
1997,北部,公共給水耗水量,156.22
1997,中部,工業自備水源耗水量,319.84
1997,中部,公共給水耗水量,28.33
1997,南部,工業自備水源耗水量,473.9
1997,南部,公共給水耗水量,225.69
1997,東部,工業自備水源耗水量,50
1997,東部,公共給水耗水量,3.4
1998,北部,工業自備水源耗水量,378.27
1998,北部,公共給水耗水量,146.18
1998,中部,工業自備水源耗水量,359.42
1998,中部,公共給水耗水量,32.1
1998,南部,工業自備水源耗水量,471.18
1998,南部,公共給水耗水量,258.73
1998,東部,工業自備水源耗水量,53.87
1998,東部,公共給水耗水量,2.12
1999,北部,工業自備水源耗水量,375.06
1999,北部,公共給水耗水量,158.21
1999,北部,工業自備水源耗水量,375.06
1999,北部,公共給水耗水量,158.21
1999,中部,工業自備水源耗水量,367.06
1999,中部,公共給水耗水量,38
1999,南部,工業自備水源耗水量,453.86
1999,南部,公共給水耗水量,270.65
1999,南部,工業自備水源耗水量,453.89
1999,南部,公共給水耗水量,270.65
1999,東部,工業自備水源耗水量,57.64
1999,東部,公共給水耗水量,2.03
2000,北部,工業自備水源耗水量,455.6
2000,北部,公共給水耗水量,192.2
2000,中部,工業自備水源耗水量,529.1
2000,中部,公共給水耗水量,43.5
2000,南部,工業自備水源耗水量,280
2000,南部,公共給水耗水量,308.5
2000,東部,工業自備水源耗水量,58.8
2000,東部,公共給水耗水量,2.2
2001,北部,工業自備水源耗水量,438.31
2001,北部,公共給水耗水量,191.35
2001,中部,工業自備水源耗水量,459.28
2001,中部,公共給水耗水量,43.38
2001,南部,工業自備水源耗水量,252.45
2001,南部,公共給水耗水量,296.44
2001,東部,工業自備水源耗水量,57.03
2001,東部,公共給水耗水量,1.56
2001,北部,工業自備水源耗水量,438.31
2001,北部,公共給水耗水量,191.35
2001,中部,工業自備水源耗水量,459.28
2001,中部,公共給水耗水量,43.38
2001,南部,工業自備水源耗水量,252.45
2001,南部,公共給水耗水量,296.44
2001,東部,工業自備水源耗水量,57.03
2001,東部,公共給水耗水量,1.56
2002,北部,工業自備水源耗水量,443.42
2002,北部,公共給水耗水量,186.38
2002,中部,工業自備水源耗水量,468.72
2002,中部,公共給水耗水量,42.79
2002,南部,工業自備水源耗水量,258.92
2002,南部,公共給水耗水量,307.38
2002,東部,工業自備水源耗水量,55.7
2002,東部,公共給水耗水量,2.24
2003,北部,工業自備水源耗水量,282.21
2003,北部,公共給水耗水量,216
2003,中部,工業自備水源耗水量,459.81
2003,中部,公共給水耗水量,49.8
2003,南部,工業自備水源耗水量,242.96
2003,南部,公共給水耗水量,298.7
2003,東部,工業自備水源耗水量,56.41
2003,東部,公共給水耗水量,2.2
2004,北部,工業自備水源耗水量,298.3
2004,北部,公共給水耗水量,247.8
2004,中部,工業自備水源耗水量,470.4
2004,中部,公共給水耗水量,56.5
2004,南部,工業自備水源耗水量,225.98
2004,南部,公共給水耗水量,300.4
2004,東部,工業自備水源耗水量,52.93
2004,東部,公共給水耗水量,2
2005,北部,工業自備水源耗水量,210.31
2005,北部,公共給水耗水量,253
2005,中部,工業自備水源耗水量,442.11
2005,中部,公共給水耗水量,61
2005,南部,工業自備水源耗水量,203.32
2005,南部,公共給水耗水量,316.4
2005,東部,工業自備水源耗水量,56.11
2005,東部,公共給水耗水量,1.9
2006,北部,工業自備水源耗水量,191
2006,北部,公共給水耗水量,271.6
2006,中部,工業自備水源耗水量,455.55
2006,中部,公共給水耗水量,74.5
2006,南部,工業自備水源耗水量,195.97
2006,南部,公共給水耗水量,328.8
2006,東部,工業自備水源耗水量,55.99
2006,東部,公共給水耗水量,1.96
2007,北部,工業自備水源耗水量,191.88
2007,北部,公共給水耗水量,273.9
2007,中部,工業自備水源耗水量,440.54
2007,中部,公共給水耗水量,78.6
2007,南部,工業自備水源耗水量,248.42
2007,南部,公共給水耗水量,352.5
2007,東部,工業自備水源耗水量,56.09
2007,東部,公共給水耗水量,1.9
2008,北部,工業自備水源耗水量,202.19
2008,北部,公共給水耗水量,274.2
2008,中部,工業自備水源耗水量,433.59
2008,中部,公共給水耗水量,92.5
2008,南部,工業自備水源耗水量,251.2
2008,南部,公共給水耗水量,353.8
2008,東部,工業自備水源耗水量,55.89
2008,東部,公共給水耗水量,1.7
2008,其他,工業自備水源耗水量,2.51
2008,其他,公共給水耗水量,0
2008,北部,工業自備水源耗水量,202.19
2008,北部,公共給水耗水量,274.2
2008,中部,工業自備水源耗水量,433.59
2008,中部,公共給水耗水量,92.5
2008,南部,工業自備水源耗水量,251.2
2008,南部,公共給水耗水量,353.8
2008,東部,工業自備水源耗水量,55.89
2008,東部,公共給水耗水量,1.7
2008,其他,工業自備水源耗水量,2.51
2008,其他,公共給水耗水量,0
2009,北部,工業自備水源耗水量,208.43
2009,北部,公共給水耗水量,239.6
2009,中部,工業自備水源耗水量,446.91
2009,中部,公共給水耗水量,84.5
2009,南部,工業自備水源耗水量,198.62
2009,南部,公共給水耗水量,313.7
2009,東部,工業自備水源耗水量,55.69
2009,東部,公共給水耗水量,1.4
2009,其他,工業自備水源耗水量,2.47
2009,其他,公共給水耗水量,0
2010,北部,公共給水耗水量,0
2010,北部,工業自備水源耗水量,187.76
2010,北部,公共給水耗水量,276.8
2010,中部,工業自備水源耗水量,482.26
2010,中部,公共給水耗水量,114.8
2010,南部,工業自備水源耗水量,187.71
2010,南部,公共給水耗水量,347.6
2010,東部,工業自備水源耗水量,55.88
