時間,名稱,人口數,占總人口比率(%)
2026/2/1 00:00,新 北 市 New Taipei City,4043220,17.37
2026/2/1 00:00,臺 北 市 Taipei City,2434479,10.46
2026/2/1 00:00,桃 園 市 Taoyuan City,2355512,10.12
2026/2/1 00:00,臺 中 市 Taichung City,2868409,12.32
2026/2/1 00:00,臺 南 市 Tainan City,1851244,7.95
2026/2/1 00:00,高 雄 市 Kaohsiung City,2715827,11.67
2026/2/1 00:00,宜蘭縣 Yilan County,448865,1.93
2026/2/1 00:00,新竹縣 Hsinchu County,597224,2.57
2026/2/1 00:00,苗栗縣 Miaoli County,530591,2.28
2026/2/1 00:00,彰化縣 Changhua County,1208018,5.19
2026/2/1 00:00,南投縣 Nantou County,467487,2.01
2026/2/1 00:00,雲林縣 Yunlin County,649652,2.79
2026/2/1 00:00,嘉義縣 Chiayi County,472361,2.03
2026/2/1 00:00,屏東縣 Pingtung County,781129,3.36
2026/2/1 00:00,臺東縣 Taitung County,208092,0.89
2026/2/1 00:00,花蓮縣 Hualien County,312161,1.34
2026/2/1 00:00,澎湖縣 Penghu County,106669,0.46
2026/2/1 00:00,基隆市 Keelung City,359309,1.54
2026/2/1 00:00,新竹市 Hsinchu City,455961,1.96
2026/2/1 00:00,嘉義市 Chiayi City,261529,1.12
2026/2/1 00:00,金門縣 Kinmen County,138903,0.6
2026/2/1 00:00,連江縣 Lienchiang County,13631,0.06
_2025,新 北 市 New Taipei City,4044831,17.36
_2025,臺 北 市 Taipei City,2439507,10.47
_2025,桃 園 市 Taoyuan City,2355106,10.11
_2025,臺 中 市 Taichung City,2868465,12.31
_2025,臺 南 市 Tainan City,1852477,7.95
_2025,高 雄 市 Kaohsiung City,2718545,11.67
_2025,宜蘭縣 Yilan County,449336,1.93
_2025,新竹縣 Hsinchu County,597235,2.56
_2025,苗栗縣 Miaoli County,531172,2.28
_2025,彰化縣 Changhua County,1210206,5.19
_2025,南投縣 Nantou County,467881,2.01
_2025,雲林縣 Yunlin County,650989,2.79
_2025,嘉義縣 Chiayi County,473181,2.03
_2025,屏東縣 Pingtung County,782256,3.36
_2025,臺東縣 Taitung County,208320,0.89
_2025,花蓮縣 Hualien County,312807,1.34
_2025,澎湖縣 Penghu County,106716,0.46
_2025,基隆市 Keelung City,359836,1.54
_2025,新竹市 Hsinchu City,455740,1.96
_2025,嘉義市 Chiayi City,261592,1.12
_2025,金門縣 Kinmen County,139313,0.6
_2025,連江縣 Lienchiang County,13621,0.06
_2024,新 北 市 New Taipei City,4047001,17.29
_2024,臺 北 市 Taipei City,2490869,10.64
_2024,桃 園 市 Taoyuan City,2338648,9.99
_2024,臺 中 市 Taichung City,2860601,12.22
_2024,臺 南 市 Tainan City,1858651,7.94
_2024,高 雄 市 Kaohsiung City,2731412,11.67
_2024,宜蘭縣 Yilan County,449212,1.92
_2024,新竹縣 Hsinchu County,594641,2.54
_2024,苗栗縣 Miaoli County,532854,2.28
_2024,彰化縣 Changhua County,1225675,5.24
_2024,南投縣 Nantou County,472299,2.02
_2024,雲林縣 Yunlin County,658427,2.81
_2024,嘉義縣 Chiayi County,478786,2.05
_2024,屏東縣 Pingtung County,789239,3.37
_2024,臺東縣 Taitung County,210219,0.9
_2024,花蓮縣 Hualien County,315374,1.35
_2024,澎湖縣 Penghu County,107901,0.46
_2024,基隆市 Keelung City,361441,1.54
_2024,新竹市 Hsinchu City,457242,1.95
_2024,嘉義市 Chiayi City,262177,1.12
_2024,金門縣 Kinmen County,143601,0.61
_2024,連江縣 Lienchiang County,13950,0.06
_2023,新 北 市 New Taipei City,4041120,17.25
_2023,臺 北 市 Taipei City,2511886,10.73
_2023,桃 園 市 Taoyuan City,2317445,9.89
_2023,臺 中 市 Taichung City,2845909,12.15
_2023,臺 南 市 Tainan City,1859946,7.94
_2023,高 雄 市 Kaohsiung City,2737941,11.69
_2023,宜蘭縣 Yilan County,449890,1.92
_2023,新竹縣 Hsinchu County,589289,2.52
_2023,苗栗縣 Miaoli County,534575,2.28
_2023,彰化縣 Changhua County,1239048,5.29
_2023,南投縣 Nantou County,477094,2.04
_2023,雲林縣 Yunlin County,659468,2.82
_2023,嘉義縣 Chiayi County,484560,2.07
_2023,屏東縣 Pingtung County,794997,3.39
_2023,臺東縣 Taitung County,211544,0.9
_2023,花蓮縣 Hualien County,317489,1.36
_2023,澎湖縣 Penghu County,107739,0.46
_2023,基隆市 Keelung City,362255,1.55
_2023,新竹市 Hsinchu City,456475,1.95
_2023,嘉義市 Chiayi City,263584,1.13
_2023,金門縣 Kinmen County,144149,0.62
_2023,連江縣 Lienchiang County,14039,0.06
_2022,新 北 市 New Taipei City,3995551,17.17
_2022,臺 北 市 Taipei City,2480681,10.66
_2022,桃 園 市 Taoyuan City,2281464,9.81
_2022,臺 中 市 Taichung City,2814459,12.1
_2022,臺 南 市 Tainan City,1852997,7.96
_2022,高 雄 市 Kaohsiung City,2728137,11.73
_2022,宜蘭縣 Yilan County,449062,1.93
_2022,新竹縣 Hsinchu County,580503,2.5
_2022,苗栗縣 Miaoli County,535132,2.3
_2022,彰化縣 Changhua County,1245239,5.35
_2022,南投縣 Nantou County,479595,2.06
_2022,雲林縣 Yunlin County,664092,2.85
_2022,嘉義縣 Chiayi County,488158,2.1
_2022,屏東縣 Pingtung County,798703,3.43
_2022,臺東縣 Taitung County,212551,0.91
_2022,花蓮縣 Hualien County,318892,1.37
_2022,澎湖縣 Penghu County,107223,0.46
_2022,基隆市 Keelung City,361526,1.55
_2022,新竹市 Hsinchu City,452473,1.94
_2022,嘉義市 Chiayi City,262924,1.13
_2022,金門縣 Kinmen County,141295,0.61
_2022,連江縣 Lienchiang County,13983,0.06
_2021,新 北 市 New Taipei City,4008113,17.15
_2021,臺 北 市 Taipei City,2524393,10.8
_2021,桃 園 市 Taoyuan City,2272391,9.72
_2021,臺 中 市 Taichung City,2813490,12.04
_2021,臺 南 市 Tainan City,1862059,7.97
_2021,高 雄 市 Kaohsiung City,2744691,11.74
_2021,宜蘭縣 Yilan County,450692,1.93
_2021,新竹縣 Hsinchu County,575580,2.46
_2021,苗栗縣 Miaoli County,538178,2.3
_2021,彰化縣 Changhua County,1255330,5.37
_2021,南投縣 Nantou County,484897,2.07
_2021,雲林縣 Yunlin County,670132,2.87
_2021,嘉義縣 Chiayi County,493316,2.11
_2021,屏東縣 Pingtung County,804440,3.44
_2021,臺東縣 Taitung County,213386,0.91
_2021,花蓮縣 Hualien County,321358,1.37
_2021,澎湖縣 Penghu County,106340,0.45
_2021,基隆市 Keelung City,363977,1.56
_2021,新竹市 Hsinchu City,452640,1.94
_2021,嘉義市 Chiayi City,264727,1.13
_2021,金門縣 Kinmen County,141539,0.61
_2021,連江縣 Lienchiang County,13645,0.06
_2020,新 北 市 New Taipei City,4030954,17.11
_2020,臺 北 市 Taipei City,2602418,11.05
