Date,年,季,月,月份名稱,年份月份,星期,工作日,年週序,交通匹配欄
2000/1/1 上午 12:00:00,2000,Q1,01,1月,2000-Jan,週六,週末,2000W1,週六
2000/1/10 上午 12:00:00,2000,Q1,01,1月,2000-Jan,週一,平日,2000W3,非參考日
2000/1/11 上午 12:00:00,2000,Q1,01,1月,2000-Jan,週二,平日,2000W3,週2-4
2000/1/12 上午 12:00:00,2000,Q1,01,1月,2000-Jan,週三,平日,2000W3,週2-4
2000/1/13 上午 12:00:00,2000,Q1,01,1月,2000-Jan,週四,平日,2000W3,週2-4
2000/1/14 上午 12:00:00,2000,Q1,01,1月,2000-Jan,週五,平日,2000W3,非參考日
2000/1/15 上午 12:00:00,2000,Q1,01,1月,2000-Jan,週六,週末,2000W3,週六
2000/1/16 上午 12:00:00,2000,Q1,01,1月,2000-Jan,週日,週末,2000W3,週日
2000/1/17 上午 12:00:00,2000,Q1,01,1月,2000-Jan,週一,平日,2000W4,非參考日
2000/1/18 上午 12:00:00,2000,Q1,01,1月,2000-Jan,週二,平日,2000W4,週2-4
2000/1/19 上午 12:00:00,2000,Q1,01,1月,2000-Jan,週三,平日,2000W4,週2-4
2000/1/2 上午 12:00:00,2000,Q1,01,1月,2000-Jan,週日,週末,2000W1,週日
2000/1/20 上午 12:00:00,2000,Q1,01,1月,2000-Jan,週四,平日,2000W4,週2-4
2000/1/21 上午 12:00:00,2000,Q1,01,1月,2000-Jan,週五,平日,2000W4,非參考日
2000/1/22 上午 12:00:00,2000,Q1,01,1月,2000-Jan,週六,週末,2000W4,週六
2000/1/23 上午 12:00:00,2000,Q1,01,1月,2000-Jan,週日,週末,2000W4,週日
2000/1/24 上午 12:00:00,2000,Q1,01,1月,2000-Jan,週一,平日,2000W5,非參考日
2000/1/25 上午 12:00:00,2000,Q1,01,1月,2000-Jan,週二,平日,2000W5,週2-4
2000/1/26 上午 12:00:00,2000,Q1,01,1月,2000-Jan,週三,平日,2000W5,週2-4
2000/1/27 上午 12:00:00,2000,Q1,01,1月,2000-Jan,週四,平日,2000W5,週2-4
2000/1/28 上午 12:00:00,2000,Q1,01,1月,2000-Jan,週五,平日,2000W5,非參考日
2000/1/29 上午 12:00:00,2000,Q1,01,1月,2000-Jan,週六,週末,2000W5,週六
2000/1/3 上午 12:00:00,2000,Q1,01,1月,2000-Jan,週一,平日,2000W2,非參考日
2000/1/30 上午 12:00:00,2000,Q1,01,1月,2000-Jan,週日,週末,2000W5,週日
2000/1/31 上午 12:00:00,2000,Q1,01,1月,2000-Jan,週一,平日,2000W6,非參考日
2000/1/4 上午 12:00:00,2000,Q1,01,1月,2000-Jan,週二,平日,2000W2,週2-4
2000/1/5 上午 12:00:00,2000,Q1,01,1月,2000-Jan,週三,平日,2000W2,週2-4
2000/1/6 上午 12:00:00,2000,Q1,01,1月,2000-Jan,週四,平日,2000W2,週2-4
2000/1/7 上午 12:00:00,2000,Q1,01,1月,2000-Jan,週五,平日,2000W2,非參考日
2000/1/8 上午 12:00:00,2000,Q1,01,1月,2000-Jan,週六,週末,2000W2,週六
2000/1/9 上午 12:00:00,2000,Q1,01,1月,2000-Jan,週日,週末,2000W2,週日
2000/10/1 上午 12:00:00,2000,Q4,10,10月,2000-Oct,週日,週末,2000W40,週日
2000/10/10 上午 12:00:00,2000,Q4,10,10月,2000-Oct,週二,平日,2000W42,週2-4
2000/10/11 上午 12:00:00,2000,Q4,10,10月,2000-Oct,週三,平日,2000W42,週2-4
2000/10/12 上午 12:00:00,2000,Q4,10,10月,2000-Oct,週四,平日,2000W42,週2-4
2000/10/13 上午 12:00:00,2000,Q4,10,10月,2000-Oct,週五,平日,2000W42,非參考日
2000/10/14 上午 12:00:00,2000,Q4,10,10月,2000-Oct,週六,週末,2000W42,週六
2000/10/15 上午 12:00:00,2000,Q4,10,10月,2000-Oct,週日,週末,2000W42,週日
2000/10/16 上午 12:00:00,2000,Q4,10,10月,2000-Oct,週一,平日,2000W43,非參考日
2000/10/17 上午 12:00:00,2000,Q4,10,10月,2000-Oct,週二,平日,2000W43,週2-4
2000/10/18 上午 12:00:00,2000,Q4,10,10月,2000-Oct,週三,平日,2000W43,週2-4
2000/10/19 上午 12:00:00,2000,Q4,10,10月,2000-Oct,週四,平日,2000W43,週2-4
2000/10/2 上午 12:00:00,2000,Q4,10,10月,2000-Oct,週一,平日,2000W41,非參考日
2000/10/20 上午 12:00:00,2000,Q4,10,10月,2000-Oct,週五,平日,2000W43,非參考日
2000/10/21 上午 12:00:00,2000,Q4,10,10月,2000-Oct,週六,週末,2000W43,週六
2000/10/22 上午 12:00:00,2000,Q4,10,10月,2000-Oct,週日,週末,2000W43,週日
2000/10/23 上午 12:00:00,2000,Q4,10,10月,2000-Oct,週一,平日,2000W44,非參考日
2000/10/24 上午 12:00:00,2000,Q4,10,10月,2000-Oct,週二,平日,2000W44,週2-4
2000/10/25 上午 12:00:00,2000,Q4,10,10月,2000-Oct,週三,平日,2000W44,週2-4
2000/10/26 上午 12:00:00,2000,Q4,10,10月,2000-Oct,週四,平日,2000W44,週2-4
2000/10/27 上午 12:00:00,2000,Q4,10,10月,2000-Oct,週五,平日,2000W44,非參考日
2000/10/28 上午 12:00:00,2000,Q4,10,10月,2000-Oct,週六,週末,2000W44,週六
2000/10/29 上午 12:00:00,2000,Q4,10,10月,2000-Oct,週日,週末,2000W44,週日
2000/10/3 上午 12:00:00,2000,Q4,10,10月,2000-Oct,週二,平日,2000W41,週2-4
2000/10/30 上午 12:00:00,2000,Q4,10,10月,2000-Oct,週一,平日,2000W45,非參考日
2000/10/31 上午 12:00:00,2000,Q4,10,10月,2000-Oct,週二,平日,2000W45,週2-4
2000/10/4 上午 12:00:00,2000,Q4,10,10月,2000-Oct,週三,平日,2000W41,週2-4
2000/10/5 上午 12:00:00,2000,Q4,10,10月,2000-Oct,週四,平日,2000W41,週2-4
2000/10/6 上午 12:00:00,2000,Q4,10,10月,2000-Oct,週五,平日,2000W41,非參考日
2000/10/7 上午 12:00:00,2000,Q4,10,10月,2000-Oct,週六,週末,2000W41,週六
2000/10/8 上午 12:00:00,2000,Q4,10,10月,2000-Oct,週日,週末,2000W41,週日
2000/10/9 上午 12:00:00,2000,Q4,10,10月,2000-Oct,週一,平日,2000W42,非參考日
2000/11/1 上午 12:00:00,2000,Q4,11,11月,2000-Nov,週三,平日,2000W45,週2-4
2000/11/10 上午 12:00:00,2000,Q4,11,11月,2000-Nov,週五,平日,2000W46,非參考日
2000/11/11 上午 12:00:00,2000,Q4,11,11月,2000-Nov,週六,週末,2000W46,週六
2000/11/12 上午 12:00:00,2000,Q4,11,11月,2000-Nov,週日,週末,2000W46,週日
2000/11/13 上午 12:00:00,2000,Q4,11,11月,2000-Nov,週一,平日,2000W47,非參考日
2000/11/14 上午 12:00:00,2000,Q4,11,11月,2000-Nov,週二,平日,2000W47,週2-4
2000/11/15 上午 12:00:00,2000,Q4,11,11月,2000-Nov,週三,平日,2000W47,週2-4
2000/11/16 上午 12:00:00,2000,Q4,11,11月,2000-Nov,週四,平日,2000W47,週2-4
2000/11/17 上午 12:00:00,2000,Q4,11,11月,2000-Nov,週五,平日,2000W47,非參考日
2000/11/18 上午 12:00:00,2000,Q4,11,11月,2000-Nov,週六,週末,2000W47,週六
2000/11/19 上午 12:00:00,2000,Q4,11,11月,2000-Nov,週日,週末,2000W47,週日
2000/11/2 上午 12:00:00,2000,Q4,11,11月,2000-Nov,週四,平日,2000W45,週2-4
2000/11/20 上午 12:00:00,2000,Q4,11,11月,2000-Nov,週一,平日,2000W48,非參考日
2000/11/21 上午 12:00:00,2000,Q4,11,11月,2000-Nov,週二,平日,2000W48,週2-4
2000/11/22 上午 12:00:00,2000,Q4,11,11月,2000-Nov,週三,平日,2000W48,週2-4
2000/11/23 上午 12:00:00,2000,Q4,11,11月,2000-Nov,週四,平日,2000W48,週2-4
2000/11/24 上午 12:00:00,2000,Q4,11,11月,2000-Nov,週五,平日,2000W48,非參考日
2000/11/25 上午 12:00:00,2000,Q4,11,11月,2000-Nov,週六,週末,2000W48,週六
2000/11/26 上午 12:00:00,2000,Q4,11,11月,2000-Nov,週日,週末,2000W48,週日
2000/11/27 上午 12:00:00,2000,Q4,11,11月,2000-Nov,週一,平日,2000W49,非參考日
2000/11/28 上午 12:00:00,2000,Q4,11,11月,2000-Nov,週二,平日,2000W49,週2-4
2000/11/29 上午 12:00:00,2000,Q4,11,11月,2000-Nov,週三,平日,2000W49,週2-4
