日期,農曆,白肉雞(2.0Kg以上),白肉雞(1.75-1.95Kg),白肉雞(門市價高屏),雞蛋(產地價),雞蛋(大運輸價)
2018/1/1,十五,30,30,31.5,,24.5
2018/1/2,十六,30.3,30.3,31.8,,24.5
2018/1/3,十七,30.3,30.3,31.8,,26.5
2018/1/4,十八,30.3,30.3,31.8,,26.5
2018/1/5,小寒,30.3,30.3,31.8,,26.5
2018/1/6,二十,30.3,30.3,31.8,,26.5
2018/1/7,廿一,30.3,30.3,31.8,,26.5
2018/1/8,廿二,30.3,30.3,31.8,,26.5
2018/1/9,廿三,30.3,30.3,31.8,,26.5
2018/1/10,廿四,30.3,30.3,31.8,,26.5
2018/1/11,廿五,30.3,30.3,31.8,,26.5
2018/1/12,廿六,30.3,30.3,31.8,,26.5
2018/1/13,廿七,30.3,30.3,31.8,,26.5
2018/1/14,廿八,30.3,30.3,31.8,,26.5
2018/1/15,廿九,30.3,30.3,31.8,,26.5
2018/1/16,三十,30.3,30.3,31.8,,26.5
2018/1/17,十二月,30.3,30.3,31.8,,28.5
2018/1/18,初二,30.5,30.5,32,,28.5
2018/1/19,初三,30.5,30.5,32,,28.5
2018/1/20,大寒,30.5,30.5,32,,28.5
2018/1/21,初五,30.5,30.5,32,,28.5
2018/1/22,初六,30.5,30.5,32,,28.5
2018/1/23,初七,30.5,30.5,32,,28.5
2018/1/24,初八,30.8,30.8,32.3,,28.5
2018/1/25,初九,30.8,30.8,32.3,,28.5
2018/1/26,初十,30.8,30.8,32.3,,28.5
2018/1/27,十一,30.8,30.8,32.3,,28.5
2018/1/28,十二,30.8,30.8,32.3,,28.5
2018/1/29,十三,30.8,30.8,32.3,,28.5
2018/1/30,十四,30.8,30.8,32.3,,26.5
2018/1/31,十三,30.8,30.8,32.3,,26.5
2018/2/1,十六,30.8,30.8,32.3,,26.5
2018/2/2,十七,30.8,30.8,32.3,,26.5
2018/2/3,十八,30.8,30.8,32.3,,26.5
2018/2/4,立春,30.8,30.8,32.3,,26.5
2018/2/5,二十,31,31,32.5,,26.5
2018/2/6,廿一,31,31,32.5,,23.5
2018/2/7,廿二,31,31,32.5,,20.5
2018/2/8,廿三,31,31,32.5,,20.5
2018/2/9,廿四,31,31,32.5,,20.5
2018/2/10,廿五,31,31,32.5,,20.5
2018/2/11,廿六,31,31,32.5,,20.5
2018/2/12,廿七,31,31,32.5,,20.5
2018/2/13,廿八,31,31,32.5,,20.5
2018/2/14,廿九,休市,休市,休市,,20.5
2018/2/15,除夕,休市,休市,休市,,20.5
2018/2/16,正月,休市,休市,休市,,20.5
2018/2/17,初二,休市,休市,休市,,20.5
2018/2/18,初三,休市,休市,休市,,20.5
2018/2/19,雨水,休市,休市,休市,,20.5
2018/2/20,初五,31.3,31.3,32.8,,20.5
2018/2/21,初六,31.3,31.3,32.8,,20.5
2018/2/22,初七,31.3,31.3,32.8,,26.5
2018/2/23,初八,31.3,31.3,32.8,,26.5
2018/2/24,初九,31.3,31.3,32.8,,26.5
2018/2/25,初十,31.3,31.3,32.8,,26.5
2018/2/26,十一,31.3,31.3,32.8,,26.5
2018/2/27,十二,31.3,31.3,32.8,,26.5
2018/2/28,十三,31.3,31.3,32.8,,26.5
2018/3/1,十四,31.3,31.3,32.8,,26.5
2018/3/2,十五,31.3,31.3,32.8,,26.5
2018/3/3,十六,31.3,31.3,32.8,,26.5
2018/3/4,十七,31.3,31.3,32.8,,26.5
2018/3/5,驚蜇,31.3,31.3,32.8,,26.5
2018/3/6,十九,31,31,32.5,,23.5
2018/3/7,二十,31,31,32.5,,23.5
2018/3/8,廿一,31,31,32.5,,23.5
2018/3/9,廿二,31,31,32.5,,23.5
2018/3/10,廿三,31,31,32.5,,23.5
2018/3/11,廿四,31,31,32.5,,23.5
2018/3/12,廿五,31,31,32.5,,23.5
2018/3/13,廿六,31,31,32.5,,21.5
2018/3/14,廿七,31,31,32.5,,21.5
2018/3/15,廿八,31,31,32.5,,21.5
2018/3/16,廿九,31,31,32.5,,21.5
2018/3/17,二月,31,31,32.5,,21.5
2018/3/18,初二,31,31,32.5,,21.5
2018/3/19,初三,31,31,32.5,,21.5
2018/3/20,初四,31,31,32.5,,21.5
2018/3/21,春分,31,31,32.5,,21.5
2018/3/22,初六,31,31,32.5,,21.5
2018/3/23,初七,31,31,32.5,,21.5
2018/3/24,初八,31,31,32.5,,21.5
2018/3/25,初九,31,31,32.5,,21.5
2018/3/26,初十,31,31,32.5,,21.5
2018/3/27,十一,31,31,32.5,,21.5
2018/3/28,十二,31,31,32.5,,24.5
2018/3/29,十三,31,31,32.5,,24.5
2018/3/30,十四,30.8,30.8,32.3,,24.5
2018/3/31,十五,30.8,30.8,32.3,,24.5
2018/4/1,十六,30.8,30.8,32.3,,24.5
2018/4/2,十七,30.8,30.8,32.3,,24.5
2018/4/3,十八,30.8,30.8,32.3,,24.5
2018/4/4,十九,30.8,30.8,32.3,,24.5
2018/4/5,清明,30.8,30.8,32.3,,24.5
2018/4/6,廿一,30.8,30.8,32.3,,24.5
2018/4/7,廿二,30.8,30.8,32.3,,24.5
2018/4/8,廿三,30.8,30.8,32.3,,24.5
2018/4/9,廿四,30.8,30.8,32.3,,24.5
2018/4/10,廿五,30.8,30.8,32.3,,24.5
2018/4/11,廿六,30.8,30.8,32.3,,26.5
2018/4/12,廿七,30.8,30.8,32.3,,26.5
2018/4/13,廿八,30.8,30.8,32.3,,26.5
2018/4/14,廿九,30.8,30.8,32.3,,26.5
2018/4/15,三十,30.8,30.8,32.3,,26.5
2018/4/16,三月,30.8,30.8,32.3,,26.5
2018/4/17,初二,30.5,30.5,32,,26.5
2018/4/18,初三,30.5,30.5,32,,26.5
2018/4/19,初四,30.5,30.5,32,,26.5
2018/4/20,穀雨,30.5,30.5,32,,26.5
2018/4/21,初六,30.5,30.5,32,,26.5
2018/4/22,初七,30.5,30.5,32,,26.5
2018/4/23,初八,30.5,30.5,32,,26.5
2018/4/24,初九,30.5,30.5,32,,26.5
2018/4/25,初十,30.5,30.5,32,,26.5
2018/4/26,十一,30.8,30.8,32.3,,26.5
2018/4/27,十二,30.8,30.8,32.3,,26.5
2018/4/28,十三,30.8,30.8,32.3,,26.5
2018/4/29,十四,30.8,30.8,32.3,,26.5
2018/4/30,十五,30.8,30.8,32.3,,26.5
2018/5/1,十六,30.8,30.8,32.3,,26.5
2018/5/2,十七,30.8,30.8,32.3,,26.5
2018/5/3,十八,30.8,30.8,32.3,,26.5
2018/5/4,十九,30.8,30.8,32.3,,26.5
2018/5/5,立夏,30.8,30.8,32.3,,26.5
2018/5/6,廿一,30.8,30.8,32.3,,26.5
2018/5/7,廿二,30.8,30.8,32.3,,26.5
2018/5/8,廿三,30.8,30.8,32.3,,26.5
2018/5/9,廿四,30.8,30.8,32.3,,28.5
2018/5/10,廿五,30.8,30.8,32.3,,28.5
2018/5/11,廿六,30.5,30.5,32,,28.5
2018/5/12,廿七,30.5,30.5,32,,28.5
2018/5/13,廿八,30.5,30.5,32,,28.5
2018/5/14,廿九,30.5,30.5,32,,28.5
2018/5/15,四月,30.5,30.5,32,,28.5
2018/5/16,初二,30.5,30.5,32,,28.5
2018/5/17,初三,30.5,30.5,32,,28.5
2018/5/18,初四,30.3,30.3,31.8,,28.5
2018/5/19,初五,30.3,30.3,31.8,,28.5
2018/5/20,初六,30.3,30.3,31.8,,28.5
2018/5/21,小滿,30.3,30.3,31.8,,28.5
2018/5/22,初八,30.3,30.3,31.8,,28.5
2018/5/23,初九,30.3,30.3,31.8,,28.5
2018/5/24,初十,30.3,30.3,31.8,,28.5
2018/5/25,十一,30.3,30.3,31.8,,28.5
2018/5/26,十二,30.3,30.3,31.8,,28.5
2018/5/27,十三,30.3,30.3,31.8,,28.5
2018/5/28,十四,30.3,30.3,31.8,,28.5
2018/5/29,十五,30.3,30.3,31.8,,26.5
2018/5/30,十六,30.3,30.3,31.8,,26.5
2018/5/31,十七,30.3,30.3,31.8,,26.5
2018/6/1,十八,30.3,30.3,31.8,,26.5
2018/6/2,十九,30.3,30.3,31.8,,26.5
2018/6/3,二十,30.3,30.3,31.8,,26.5
2018/6/4,廿一,30.3,30.3,31.8,,26.5
2018/6/5,廿二,30.3,30.3,31.8,,26.5
2018/6/6,芒種,30.3,30.3,31.8,,26.5
2018/6/7,廿四,30.3,30.3,31.8,,26.5
2018/6/8,廿五,30.3,30.3,31.8,,26.5
2018/6/9,廿六,30.3,30.3,31.8,,26.5
2018/6/10,廿七,30.3,30.3,31.8,,26.5
2018/6/11,廿八,30.3,30.3,31.8,,26.5
2018/6/12,廿九,30,30,31.5,,26.5
2018/6/13,三十,30,30,31.5,,26.5
2018/6/14,五月,30,30,31.5,,26.5
2018/6/15,初二,30,30,31.5,,26.5
2018/6/16,初三,30,30,31.5,,26.5
2018/6/17,初四,30,30,31.5,,26.5
2018/6/18,端午節,30,30,31.5,,26.5
2018/6/19,初六,30,30,31.5,,24.5
2018/6/20,初七,30,30,31.5,,24.5
2018/6/21,夏至,29.8,29.8,31.3,,24.5
2018/6/22,初九,29.8,29.8,31.3,,27.5
2018/6/23,初十,29.8,29.8,31.3,,27.5
2018/6/24,十一,29.8,29.8,31.3,,27.5
2018/6/25,十二,29.8,29.8,31.3,,27.5
2018/6/26,十三,29.5,29.5,31,,27.5
2018/6/27,十四,29.5,29.5,31,,27.5
2018/6/28,十五,29.5,29.5,31,,27.5
2018/6/29,十六,29.5,29.5,31,,27.5
2018/6/30,十七,29.3,29.3,30.8,,27.5
2018/7/1,十八,29.3,29.3,30.8,,27.5
2018/7/2,十九,29.3,29.3,30.8,,27.5
2018/7/3,二十,29.3,29.3,30.8,,27.5
2018/7/4,廿一,29.3,29.3,30.8,,27.5
2018/7/5,廿二,29,29,30.5,,27.5
2018/7/6,廿三,29,29,30.5,,27.5
2018/7/7,小暑,29,29,30.5,,27.5
2018/7/8,廿五,29,29,30.5,,27.5
2018/7/9,廿六,29,29,30.5,,27.5
2018/7/10,廿七,29,29,30.5,,27.5
2018/7/11,廿八,29,29,30.5,,27.5
2018/7/12,廿九,28.8,28.8,30.3,,27.5
2018/7/13,六月,28.8,28.8,30.3,,27.5
2018/7/14,初二,28.8,28.8,30.3,,27.5
2018/7/15,初三,28.8,28.8,30.3,,27.5
2018/7/16,初四,28.8,28.8,30.3,,27.5
2018/7/17,初五,28.8,28.8,30.3,,27.5
2018/7/18,初六,28.8,28.8,30.3,,29.5
2018/7/19,初七,28.8,28.8,30.3,,29.5
2018/7/20,初八,28.8,28.8,30.3,,29.5
2018/7/21,初九,28.8,28.8,30.3,,29.5
2018/7/22,初十,28.8,28.8,30.3,,29.5
2018/7/23,大暑,28.8,28.8,30.3,,29.5
2018/7/24,十二,28.5,28.5,30,,29.5
2018/7/25,十三,28.5,28.5,30,,29.5
2018/7/26,十四,28.5,28.5,30,,29.5
2018/7/27,十五,28.5,28.5,30,,29.5
2018/7/28,十六,28.5,28.5,30,,29.5
2018/7/29,十七,28.5,28.5,30,,29.5
2018/7/30,十八,28.5,28.5,30,,29.5
2018/7/31,十九,28.5,28.5,30,,29.5
2018/8/1,二十,28.3,28.3,29.8,,29.5
2018/8/2,廿一,28.3,28.3,29.8,,29.5
2018/8/3,廿二,28.3,28.3,29.8,,29.5
2018/8/4,廿三,28.3,28.3,29.8,,29.5
2018/8/5,廿四,28.3,28.3,29.8,,29.5
2018/8/6,廿五,28.3,28.3,29.8,,29.5
2018/8/7,廿六,28.3,28.3,29.8,,29.5
2018/8/8,廿七,28,28,29.5,,31.5
2018/8/9,廿八,28,28,29.5,,31.5
2018/8/10,廿九,27.8,27.8,29.3,,31.5
2018/8/11,初一,27.8,27.8,29.3,,31.5
2018/8/12,初二,27.8,27.8,29.3,,31.5
2018/8/13,初三,27.8,27.8,29.3,,31.5
2018/8/14,初四,27.8,27.8,29.3,,31.5
2018/8/15,初五,27.8,27.8,29.3,,31.5
2018/8/16,初六,27.5,27.5,29,,31.5
2018/8/17,初七,27.5,27.5,29,,31.5
2018/8/18,初八,27.5,27.5,29,,31.5
2018/8/19,初九,27.5,27.5,29,,31.5
2018/8/20,初十,27.5,27.5,29,,31.5
2018/8/21,十一,27.3,27.3,28.8,,31.5
2018/8/22,十二,27.3,27.3,28.8,,31.5
2018/8/23,處暑,27.3,27.3,28.8,,31.5
2018/8/24,十四,27.3,27.3,28.8,,31.5
2018/8/25,中元節,27.3,27.3,28.8,,31.5
2018/8/26,十六,27.3,27.3,28.8,,31.5
2018/8/27,十七,27.3,27.3,28.8,,31.5
2018/8/28,十八,27.3,27.3,28.8,,31.5
2018/8/29,十九,27.3,27.3,28.8,,31.5
2018/8/30,二十,27.3,27.3,28.8,,31.5
2018/8/31,廿一,27,27,28.5,,31.5
2018/9/1,廿二,27,27,28.5,,31.5
2018/9/2,廿三,27,27,28.5,,31.5
2018/9/3,廿四,27,27,28.5,,31.5
2018/9/4,廿五,27,27,28.5,,31.5
2018/9/5,廿六,27,27,28.5,,33.5
2018/9/6,廿七,26.8,26.8,28.3,,33.5
2018/9/7,廿八,26.8,26.8,28.3,,33.5
2018/9/8,白露,26.8,26.8,28.3,,33.5
2018/9/9,三十,26.8,26.8,28.3,,33.5
2018/9/10,八月,26.8,26.8,28.3,,33.5
2018/9/11,初二,26.8,26.8,28.3,,33.5
2018/9/12,初三,26.8,26.8,28.3,,33.5
2018/9/13,初四,26.5,26.5,28,,33.5
2018/9/14,初五,26.5,26.5,28,,33.5
2018/9/15,初六,26.5,26.5,28,,33.5
2018/9/16,初七,26.5,26.5,28,,33.5
2018/9/17,初八,26.5,26.5,28,,33.5
2018/9/18,初九,26.5,26.5,28,,33.5
2018/9/19,初十,26.5,26.5,28,,33.5
2018/9/20,十一,26.5,26.5,28,,33.5
2018/9/21,十二,26.3,26.3,27.8,,33.5
2018/9/22,十三,26.3,26.3,27.8,,33.5
2018/9/23,秋分,26.3,26.3,27.8,,33.5
2018/9/24,中秋節,26.3,26.3,27.8,,33.5
2018/9/25,十六,26.3,26.3,27.8,,33.5
2018/9/26,十七,26.3,26.3,27.8,,33.5
2018/9/27,十八,26.3,26.3,27.8,,33.5
2018/9/28,十九,26,26,27.5,,33.5
2018/9/29,二十,26,26,27.5,,33.5
