日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
2010/1/4,"2,307,323","96,352,854",43.25,43.3,41.1,41.2,-2.05,"1,039",
2010/1/5,"2,181,685","87,898,832",41.2,41.2,39.5,39.55,-1.65,955,
2010/1/6,"2,106,033","82,027,430",38.7,39.45,38.7,38.9,-0.65,834,
2010/1/7,"1,488,409","59,000,618",39,40.3,39,39.5,0.6,745,
2010/1/8,"1,127,902","43,468,078",40,40,37.1,38.6,-0.9,569,
2010/1/11,"1,614,291","62,662,449",38.6,39.85,37.8,39.2,0.6,746,
2010/1/12,"1,503,526","60,169,942",39.4,40.7,38.7,40.2,1,731,
2010/1/13,"1,033,045","41,213,776",40,40.5,39.5,39.5,-0.7,461,
2010/1/14,"593,493","23,613,772",39.95,40.2,39.5,39.65,0.15,267,
2010/1/15,"737,650","29,512,087",40,40.45,39.7,39.7,0.05,348,
2010/1/18,"569,783","22,251,283",39.1,39.4,38.7,39,-0.7,285,
2010/1/19,"627,586","24,381,004",39.1,39.3,38.7,38.95,-0.05,309,
2010/1/20,"780,011","30,886,973",39.15,40.35,39,39.15,0.2,409,
2010/1/21,"420,640","16,406,288",39.15,39.4,38.6,38.6,-0.55,228,
2010/1/22,"822,504","30,883,747",38.4,38.4,37.05,37.05,-1.55,350,
2010/1/25,"1,079,420","39,226,873",36,37.05,36,36.25,-0.8,450,
2010/1/26,"1,280,831","44,563,942",36.25,36.5,33.75,33.8,-2.45,558,
2010/1/27,"674,561","22,727,562",34,34.6,33.1,33.6,-0.2,339,
2010/1/28,"585,514","20,539,144",34.2,35.8,34.1,35.45,1.85,290,
2010/1/29,"670,447","23,807,107",34.5,36.8,34,36.5,1.05,400,
2010/2/1,"616,818","22,749,468",36.5,37.4,36.05,36.9,0.4,317,
2010/2/2,"546,760","19,686,123",37.4,37.6,34.5,34.8,-2.1,279,
2010/2/3,"535,050","18,530,036",35.6,35.6,34,34.95,0.15,310,
2010/2/4,"242,426","8,423,281",35,35.3,34.5,34.9,-0.05,191,
2010/2/5,"675,129","22,072,430",33,33.5,32.5,32.5,-2.4,348,
2010/2/6,"960,812","29,548,809",30.4,31.9,30.25,30.7,-1.8,481,
2010/2/8,"760,548","23,550,426",31.4,31.5,30.3,31.5,0.8,387,
2010/2/9,"457,009","14,714,747",31.5,32.8,31.1,32.7,1.2,222,
2010/2/10,"527,825","17,683,511",33.3,34.1,33,33.35,0.65,263,
2010/2/22,"353,251","12,071,558",34.85,34.85,33.45,33.5,0.15,177,
2010/2/23,"394,353","13,291,552",33.5,34.2,33.35,34,0.5,139,
2010/2/24,"196,618","6,666,813",34,34.3,33.55,33.65,-0.35,109,
2010/2/25,"2,244,044","79,575,201",33.9,36,33.7,35.5,1.85,938,
2010/2/26,"639,766","22,230,719",34.75,35.35,34.3,34.4,-1.1,304,
2010/3/1,"333,550","11,462,100",34,34.7,34,34.7,0.3,199,
2010/3/2,"408,100","14,306,700",34.5,35.4,34.5,35.2,0.5,187,
2010/3/3,"274,590","9,645,216",34.8,35.3,34.8,35.1,-0.1,141,
2010/3/4,"429,250","15,250,561",34.8,36.2,34.8,35.05,-0.05,242,
2010/3/5,"853,024","30,761,421",35.2,37,35.1,36.5,1.45,384,
2010/3/8,"549,519","20,343,645",37.4,37.4,36.75,36.8,0.3,250,
2010/3/9,"261,865","9,470,728",36.8,36.8,36,36.05,-0.75,158,
2010/3/10,"167,858","6,036,786",36.4,36.4,35.75,35.8,-0.25,120,
