"資料期別","縣市","鄉鎮市區","住宅拍賣移轉筆數"
"098Q1","全國","",3089
"098Q1","新北市","",392
"098Q1","新北市","板橋區",46
"098Q1","新北市","三重區",23
"098Q1","新北市","中和區",22
"098Q1","新北市","永和區",13
"098Q1","新北市","新莊區",50
"098Q1","新北市","新店區",24
"098Q1","新北市","樹林區",17
"098Q1","新北市","鶯歌區",16
"098Q1","新北市","三峽區",22
"098Q1","新北市","淡水區",17
"098Q1","新北市","汐止區",30
"098Q1","新北市","瑞芳區",7
"098Q1","新北市","土城區",25
"098Q1","新北市","蘆洲區",25
"098Q1","新北市","五股區",11
"098Q1","新北市","泰山區",8
"098Q1","新北市","林口區",13
"098Q1","新北市","深坑區",1
"098Q1","新北市","石碇區",0
"098Q1","新北市","坪林區",0
"098Q1","新北市","三芝區",14
"098Q1","新北市","石門區",1
"098Q1","新北市","八里區",3
"098Q1","新北市","平溪區",0
"098Q1","新北市","雙溪區",1
"098Q1","新北市","貢寮區",0
"098Q1","新北市","金山區",2
"098Q1","新北市","萬里區",1
"098Q1","新北市","烏來區",0
"098Q1","台北市","",103
"098Q1","台北市","松山區",7
"098Q1","台北市","信義區",7
"098Q1","台北市","大安區",6
"098Q1","台北市","中山區",12
"098Q1","台北市","中正區",5
"098Q1","台北市","大同區",7
"098Q1","台北市","萬華區",11
"098Q1","台北市","文山區",5
"098Q1","台北市","南港區",5
"098Q1","台北市","內湖區",10
"098Q1","台北市","士林區",13
"098Q1","台北市","北投區",15
"098Q1","桃園市","",377
"098Q1","桃園市","桃園區",118
"098Q1","桃園市","中壢區",81
"098Q1","桃園市","平鎮區",25
"098Q1","桃園市","八德區",33
"098Q1","桃園市","楊梅區",43
"098Q1","桃園市","大溪區",10
"098Q1","桃園市","蘆竹區",26
"098Q1","桃園市","大園區",7
"098Q1","桃園市","龜山區",22
"098Q1","桃園市","龍潭區",4
"098Q1","桃園市","新屋區",4
"098Q1","桃園市","觀音區",4
"098Q1","桃園市","復興區",0
"098Q1","台中市","",217
"098Q1","台中市","中區",8
"098Q1","台中市","東區",8
"098Q1","台中市","南區",16
"098Q1","台中市","西區",25
"098Q1","台中市","北區",52
"098Q1","台中市","西屯區",37
"098Q1","台中市","南屯區",20
"098Q1","台中市","北屯區",51
"098Q1","台南市","",203
"098Q1","台南市","東區",53
"098Q1","台南市","南區",23
"098Q1","台南市","北區",43
"098Q1","台南市","安南區",35
"098Q1","台南市","安平區",27
"098Q1","台南市","中西區",22
"098Q1","高雄市","",304
"098Q1","高雄市","鹽埕區",3
"098Q1","高雄市","鼓山區",33
"098Q1","高雄市","左營區",45
"098Q1","高雄市","楠梓區",46
"098Q1","高雄市","三民區",73
"098Q1","高雄市","新興區",8
"098Q1","高雄市","前金區",6
"098Q1","高雄市","苓雅區",21
"098Q1","高雄市","前鎮區",43
"098Q1","高雄市","旗津區",0
"098Q1","高雄市","小港區",26
"098Q1","宜蘭縣","",83
"098Q1","宜蘭縣","宜蘭市",16
"098Q1","宜蘭縣","羅東鎮",20
"098Q1","宜蘭縣","蘇澳鎮",5
"098Q1","宜蘭縣","頭城鎮",3
"098Q1","宜蘭縣","礁溪鄉",9
