日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
107/01/02,"1,814,627","117,474,985",64.70,65.20,64.20,64.70,+0.50,"1,044",
107/01/03,"1,184,949","76,689,583",64.90,65.20,64.20,64.50,-0.20,936,
107/01/04,"919,698","58,748,909",64.50,64.50,63.60,64.00,-0.50,690,
107/01/05,"547,095","34,882,050",64.00,64.10,63.60,63.70,-0.30,413,
107/01/08,"1,591,418","103,018,170",63.80,65.30,63.80,65.00,+1.30,"1,007",
107/01/09,"783,825","50,851,125",65.40,65.50,64.60,65.00,0.00,574,
107/01/10,"923,618","59,552,555",65.00,65.10,64.20,64.20,-0.80,603,
107/01/11,"1,596,837","103,605,405",64.10,65.20,64.00,65.10,+0.90,"1,160",
107/01/12,"621,306","40,357,011",64.80,65.30,64.70,64.90,-0.20,482,
107/01/15,"656,105","42,567,980",65.10,65.20,64.50,64.60,-0.30,437,
107/01/16,"556,158","35,845,206",64.60,64.80,64.00,64.70,+0.10,367,
107/01/17,"5,688,864","378,779,948",65.00,67.80,64.80,67.80,+3.10,"3,259",
107/01/18,"5,099,765","345,289,425",68.00,68.70,66.40,67.90,+0.10,"3,231",
107/01/19,"1,561,251","105,229,979",67.30,67.80,67.10,67.20,-0.70,915,
107/01/22,"1,271,675","84,864,125",67.20,67.20,66.40,66.70,-0.50,780,
107/01/23,"1,085,287","72,351,289",66.90,67.50,66.10,66.10,-0.60,720,
107/01/24,"1,194,698","78,311,950",66.20,66.40,65.20,65.20,-0.90,904,
107/01/25,"865,251","56,661,354",65.10,65.80,65.10,65.60,+0.40,678,
107/01/26,"423,761","27,810,536",65.80,65.90,65.40,65.90,+0.30,327,
107/01/29,"603,893","39,672,947",66.10,66.10,65.40,65.50,-0.40,389,
107/01/30,"766,568","50,413,408",65.60,66.20,65.30,65.60,+0.10,465,
107/01/31,"721,641","47,524,963",65.40,66.20,65.10,66.10,+0.50,488,
107/02/01,"449,365","29,653,758",66.20,66.50,65.60,65.90,-0.20,330,
107/02/02,"426,997","28,189,102",65.90,66.40,65.80,65.90,0.00,344,
107/02/05,"752,664","48,990,224",65.00,65.50,64.70,65.50,-0.40,527,
107/02/06,"2,854,644","181,473,316",64.80,65.00,61.60,62.30,-3.20,"2,239",
107/02/07,"1,079,138","68,990,397",63.40,64.50,63.40,64.00,+1.70,818,
107/02/08,"818,560","52,774,074",64.00,65.20,63.70,65.20,+1.20,570,
107/02/09,"847,220","54,390,738",62.50,65.20,62.50,65.00,-0.20,652,
107/02/12,"676,078","43,678,270",65.20,65.20,64.10,64.20,-0.80,458,
107/02/21,"1,064,515","68,995,468",64.90,65.40,64.20,65.20,+1.00,775,
107/02/22,"545,112","35,200,280",64.50,64.80,64.40,64.60,-0.60,417,
107/02/23,"729,370","47,098,760",65.00,65.00,64.20,64.20,-0.40,569,
107/02/26,"5,415,032","363,803,730",64.80,68.60,64.50,67.90,+3.70,"2,931",
107/02/27,"2,507,319","169,088,024",68.50,68.60,66.60,67.20,-0.70,"1,439",
107/03/01,"5,535,492","381,381,415",66.80,69.70,66.60,69.60,+2.40,"3,334",
107/03/02,"5,001,936","349,483,141",69.20,71.00,68.60,69.20,-0.40,"3,133",
107/03/05,"2,415,830","165,086,802",69.00,69.50,67.50,67.50,-1.70,"1,456",
107/03/06,"957,190","64,938,681",68.00,68.40,67.60,67.90,+0.40,646,
107/03/07,"1,395,274","95,396,932",67.70,69.20,67.60,67.60,-0.30,909,
107/03/08,"3,316,753","230,331,370",68.50,70.80,68.50,68.50,+0.90,"2,068",
107/03/09,"1,464,387","100,078,528",68.90,69.30,67.60,68.40,-0.10,"1,074",
107/03/12,"1,524,274","104,125,855",68.60,68.70,68.00,68.10,-0.30,958,
107/03/13,"1,018,392","69,251,856",68.10,68.50,67.70,67.80,-0.30,746,
107/03/14,"538,899","36,566,690",68.00,68.20,67.70,67.70,-0.10,492,
107/03/15,"618,040","41,961,220",68.00,68.10,67.70,67.70,0.00,446,
107/03/16,"1,295,119","87,274,387",67.90,68.00,67.00,67.00,-0.70,854,
107/03/19,"1,794,966","118,934,291",66.70,66.80,65.80,66.20,-0.80,"1,337",
107/03/20,"710,429","47,190,741",66.20,66.90,65.90,66.60,+0.40,691,
107/03/21,"947,940","63,749,904",66.80,67.80,66.60,67.30,+0.70,791,
107/03/22,"903,081","60,407,292",67.40,67.50,66.50,66.50,-0.80,740,
107/03/23,"1,805,211","118,683,758",66.00,66.10,65.50,65.60,-0.90,"1,217",
107/03/26,"1,454,989","95,384,374",65.40,66.40,65.00,65.50,-0.10,930,
107/03/27,"719,540","47,303,777",65.90,66.20,65.40,65.40,-0.10,571,
107/03/28,"552,254","36,001,166",65.40,65.40,65.00,65.20,-0.20,472,
107/03/29,"311,587","20,362,307",65.30,65.60,65.20,65.40,+0.20,248,
107/03/30,"499,030","32,690,244",65.70,65.70,65.40,65.60,+0.20,392,
107/03/31,"204,787","13,405,642",65.70,65.70,65.30,65.40,-0.20,195,
107/04/02,"232,667","15,252,422",65.80,65.80,65.40,65.50,+0.10,239,
107/04/03,"805,916","52,309,575",65.50,65.50,64.80,65.00,-0.50,642,
107/04/09,"1,109,009","71,281,205",65.20,65.20,64.00,64.10,-0.90,"1,015",
107/04/10,"1,621,322","104,016,158",64.20,64.50,64.00,64.00,-0.10,972,
107/04/11,"1,396,597","88,909,356",64.20,64.20,63.40,63.50,-0.50,"1,105",
107/04/12,"1,502,479","94,586,407",63.10,63.30,62.70,62.90,-0.60,"1,149",
107/04/13,"958,190","60,733,610",63.00,64.00,62.90,63.20,+0.30,702,
107/04/16,"960,246","60,146,532",63.20,63.20,62.40,62.70,-0.50,687,
107/04/17,"529,326","33,320,882",62.80,63.20,62.70,63.10,+0.40,383,
107/04/18,"1,274,427","79,670,857",63.50,63.50,62.10,62.20,-0.90,"1,006",
107/04/19,"443,964","27,782,924",62.20,62.90,62.20,62.70,+0.50,338,
107/04/20,"573,859","35,904,717",62.80,62.80,62.50,62.60,-0.10,357,
107/04/23,"457,392","28,874,889",62.70,63.30,62.70,63.10,+0.50,321,
107/04/24,"468,043","29,406,504",63.10,63.10,62.60,62.90,-0.20,346,
107/04/25,"548,301","34,617,306",62.50,63.50,62.40,63.50,+0.60,405,
107/04/26,"830,144","52,601,637",63.70,63.70,62.90,63.20,-0.30,531,
107/04/27,"358,003","22,664,180",63.20,63.50,63.20,63.20,0.00,282,
107/04/30,"625,663","39,905,657",63.20,64.30,63.00,64.00,+0.80,429,
107/05/02,"757,904","47,723,891",63.50,63.50,62.40,63.40,-0.60,615,
107/05/03,"575,591","36,076,286",62.50,62.90,62.50,62.80,-0.60,478,
107/05/04,"484,833","30,382,579",62.80,62.80,62.60,62.60,-0.20,422,
107/05/07,"471,386","29,378,229",62.60,63.00,62.10,62.20,-0.40,302,
107/05/08,"429,553","26,675,755",62.10,62.20,62.00,62.10,-0.10,287,
107/05/09,"591,681","36,321,741",62.10,62.20,60.50,61.30,-0.80,493,
107/05/10,"3,036,960","181,555,567",60.00,60.40,59.10,59.80,-1.50,"1,943",
107/05/11,"1,017,985","61,410,085",60.00,60.50,60.00,60.50,+0.70,716,
107/05/14,"1,447,318","86,436,955",60.10,60.30,59.40,59.80,-0.70,"1,007",
107/05/15,"910,913","54,361,550",59.80,60.20,59.20,59.90,+0.10,644,
107/05/16,"884,238","53,347,918",59.90,60.70,59.50,60.60,+0.70,650,
107/05/17,"437,504","26,557,644",61.00,61.00,60.50,60.70,+0.10,379,
107/05/18,"578,211","34,963,381",60.70,60.80,60.10,60.10,-0.60,444,
107/05/21,"502,657","30,398,830",60.20,60.60,60.20,60.50,+0.40,333,
107/05/22,"391,893","23,729,620",60.70,60.70,60.20,60.20,-0.30,312,
107/05/23,"468,885","28,172,957",60.20,60.60,60.00,60.00,-0.20,437,
107/05/24,"518,695","31,070,527",60.10,60.10,59.70,59.90,-0.10,463,
107/05/25,"681,612","40,884,078",60.00,60.40,59.70,59.70,-0.20,524,
107/05/28,"783,242","46,714,720",59.80,60.00,59.50,59.50,-0.20,634,
107/05/29,"832,037","49,307,292",59.50,59.70,59.10,59.10,-0.40,701,
107/05/30,"1,106,774","64,641,466",59.10,59.20,58.00,58.40,-0.70,922,
107/05/31,"919,485","53,581,555",58.50,58.60,58.00,58.50,+0.10,609,
107/06/01,"665,787","39,518,220",58.50,60.40,58.30,59.90,+1.40,555,
107/06/04,"1,078,920","65,576,820",60.10,61.00,60.10,60.50,+0.60,787,
107/06/05,"392,776","23,789,967",60.90,60.90,60.50,60.50,0.00,344,
107/06/06,"546,496","33,204,385",60.70,60.90,60.50,60.80,+0.30,462,
107/06/07,"656,766","39,638,733",61.00,61.00,60.10,60.10,-0.70,584,
107/06/08,"336,262","20,269,245",60.10,60.50,60.10,60.30,+0.20,284,
107/06/11,"438,054","26,694,279",61.00,61.30,60.70,60.70,+0.40,334,
107/06/12,"339,200","20,608,500",61.00,61.00,60.50,60.70,0.00,289,
107/06/13,"346,289","20,994,434",60.70,61.00,60.40,60.40,-0.30,304,
107/06/14,"428,512","25,913,923",60.40,60.60,60.30,60.30,-0.10,329,
107/06/15,"908,050","54,898,435",60.30,60.90,60.20,60.50,+0.20,571,
107/06/19,"562,996","34,088,045",60.50,60.80,60.20,60.60,+0.10,500,
107/06/20,"549,027","33,006,217",60.50,60.50,60.00,60.00,-0.60,383,
107/06/21,"434,675","26,152,661",60.00,60.70,60.00,60.00,0.00,274,
107/06/22,"776,813","46,560,531",60.10,60.40,59.50,59.90,-0.10,554,
107/06/25,"605,037","36,399,617",60.10,60.70,60.00,60.00,+0.10,447,
107/06/26,"324,090","19,460,442",59.90,60.20,59.80,60.00,0.00,264,
107/06/27,"585,963","35,271,460",60.00,60.40,60.00,60.00,0.00,302,
107/06/28,"378,290","22,723,553",60.00,60.30,60.00,60.00,0.00,262,
107/06/29,"436,199","26,206,192",60.00,60.20,60.00,60.10,+0.10,305,
107/07/02,"635,892","38,442,467",60.50,60.70,60.20,60.30,+0.20,403,
107/07/03,"517,221","31,213,500",60.60,60.80,60.00,60.00,-0.30,384,
107/07/04,"365,677","21,958,953",60.00,60.30,59.90,60.20,+0.20,226,
107/07/05,"427,832","25,676,662",60.30,60.30,59.80,59.80,-0.40,274,
107/07/06,"459,357","27,337,220",60.30,60.30,59.10,59.50,-0.30,375,
107/07/09,"497,224","29,509,888",59.50,59.60,59.10,59.40,-0.10,394,
107/07/10,"963,332","57,004,347",59.40,59.40,59.00,59.10,-0.30,734,
107/07/11,"823,942","48,914,431",59.20,59.60,59.20,59.30,+0.20,556,
