年,月,百貨公司業,超級市場業,便利商店業,零售式量販業,其他綜合商品零售業,食品、飲料及菸草製品零售業,文教育樂用品零售業,燃料及相關產品零售業,資通訊及家電設備零售業,汽機車及其零配件、用品零售業,電子購物及郵購業,餐飲業_餐館,餐飲業_外燴及團膳承包業,餐飲業_飲料店, 
107年,1月,24224703,15538120,27197516,18148286,12819156,24968168,5870959,21816499,22987766,70566420,19164890,50573485,3928470,8243773, 
107年,2月,30819612,16387025,25489437,20405491,14393713,24936794,6550568,20117193,22924402,39695267,17630542,57662207,3334206,8122094, 
107年,3月,22742033,14791437,26631271,13920917,13009793,22666513,5912009,21769441,19910409,56966101,17358651,47673607,3704342,8311200, 
107年,4月,28786209,14883954,25853636,14511659,13791258,22013195,6014796,21566513,19661963,50901672,16522474,47886801,3844305,8130913, 
107年,5月,27587829,15688447,27510763,15123533,14127011,23450199,5866415,23648495,21983758,53121953,17894172,51087278,3828185,8583366, 
107年,6月,23449654,15323961,27341855,15263352,13464515,21913890,5772360,23746040,19546066,52814358,17205795,51829437,3889204,8425562, 
107年,7月,24537695,16783503,28155687,16566901,12729182,21849852,6051910,24786771,20734710,57726306,16964511,53201736,3595068,8432106, 
107年,8月,24184353,18796934,27819381,19449513,13573247,23901354,6296670,23966482,19524691,40492262,17483556,54684884,3460701,8943661, 
107年,9月,25514492,16783417,26752016,17268291,13062403,26990748,5756801,24348649,19906469,44751712,16671567,50150235,3356595,9380997, 
107年,10月,39677586,16227763,26460073,14541342,14399946,23824254,6157063,23990267,20155206,51401468,17992701,48668303,3727001,8572238, 
107年,11月,36976534,15838576,25983485,14904578,13365160,22397766,6500235,22479494,20862614,53761054,23709989,47496224,3804279,7998488, 
107年,12月,32625935,17161073,26410554,16863382,14795950,24533062,7505486,22309445,20122788,60707808,21528659,56091235,3888254,9662180, 
108年,1月,27765234,16086420,28307520,20890281,14034844,27973444,7277465,21600400,23266079,66510812,23039172,54909175,4019363,9368304, 
108年,2月,28401199,15312662,25710829,16388909,14405847,21059668,6416481,19315045,18316346,31368290,17932705,56565228,3261811,8227284, 
108年,3月,24722761,15698595,26322232,15675090,13879321,22535632,6257994,21976619,19247677,51814140,19364845,51344258,3724010,8649343, 
108年,4月,30124882,15782987,26398777,14992878,14818099,22184788,6157866,22346398,20169052,54803817,18972600,47955537,3810034,8537767, 
108年,5月,29263010,16460538,27581786,15893290,15401532,23623306,6284251,23453171,20291009,57176987,20568248,53030753,3975316,8687719, 
108年,6月,25701701,16223119,28016613,16518215,14265676,21711817,6077841,23200791,19460191,58308749,19925447,53837725,3860574,8797858, 
108年,7月,25974139,17405420,29040900,17506009,14255932,22497177,6536651,23109333,21926887,69307703,20157698,54655020,3443960,9204899, 
108年,8月,26394920,19904855,28658054,20600130,14459136,25321000,6553328,22649735,20247287,42325614,21049254,56910133,3578035,9520767, 
108年,9月,26145196,17173527,27501357,17575829,12819816,25263547,5974653,21723134,20074031,55546716,19954665,49983360,3459937,9172602, 
108年,10月,40735723,17462625,28141572,15629490,13971282,24102362,6500604,22015184,20535036,60953362,20781030,50147349,3810580,8807173, 
108年,11月,39667129,16462176,26864042,16354276,13165899,22979442,6551185,21325228,20936808,61151187,29152558,49686463,3789413,8498951, 
108年,12月,31887817,17036628,27528509,18060078,13760158,24715293,7580201,22987682,18910313,68814193,25595438,56242103,3936450,10010442, 
109年,1月,33297062,18568282,30181690,24414066,13863991,25355521,7463726,22416761,22272440,59634696,24647217,65582073,4023692,10082080, 
109年,2月,21169573,17177413,25004897,16634597,9853865,19383561,5953602,18815441,18959048,44593813,24742484,45717136,2391432,7783110, 
109年,3月,19450138,20185349,26909220,18792338,9135934,19789743,5663799,17295774,18936411,55977704,25738666,39356650,2905495,8227506, 
109年,4月,23506679,17932756,26417326,15806028,8573235,19301847,6271128,13465694,19073870,53018232,24118468,36266902,3023251,7225105, 
109年,5月,27447425,17663126,28800988,18037839,9416004,20291588,6902045,15155338,20715747,54278605,25823850,48631839,3123644,8157935, 
109年,6月,25253193,17155111,29596427,16927791,9095940,21042230,6777316,17459575,19983382,62180632,25173090,49459709,2981133,9105532, 
109年,7月,28687618,18345434,34279833,18800907,10591568,21234441,7915800,19582380,23349328,69010860,25137838,54463200,2948937,9554541, 
109年,8月,28899869,20518317,32251096,22045874,11343008,23493091,8289374,19312936,22259531,57056545,26171283,58527127,2518605,9680914, 
109年,9月,28708746,18254490,28909368,17568974,9736728,27094446,6788623,18619350,19462330,58271052,23699015,49971415,2851438,9451374, 
109年,10月,46915401,18702288,29264242,17285812,9908944,23763879,6950810,18098069,19533554,61429522,24408108,52358124,3114595,8727051, 
109年,11月,39560254,17219552,29039224,17552133,8611342,21655859,7441112,17693788,21486065,68842556,36775041,50167802,3316933,8878420, 
109年,12月,33287034,18297599,29078085,19018805,9439479,23344399,7847383,19375624,21763234,64906304,31517569,55384040,3521711,10500743, 
110年,1月,31342189,18372017,29874334,23015806,9674522,24825822,7474698,20379085,23746813,77233476,33816137,53989204,3186173,10087112, 
110年,2月,31865603,17069442,28070800,19258278,8781507,22664446,7652777,18460283,20303525,44987207,27619771,56769648,2100541,9484912, 
110年,3月,26429860,16360574,28641880,17173927,10525099,20317331,7144210,21258816,19904655,68940673,30436788,49930296,2867018,9836644, 
110年,4月,35183430,16313128,28230533,16650191,11013338,20099935,7319887,20899299,21797041,59985636,28869857,50434433,3288812,9504166, 
110年,5月,19711209,23845867,29631052,18573275,9180349,20129491,5505372,19319556,25008821,58242980,34821065,38544858,2675471,6997098, 
110年,6月,8916613,22606695,27023519,18090389,5983535,19600309,4168471,16914056,23285645,48383758,36017906,28942257,2111862,5863405, 
110年,7月,15358197,21776495,28715924,20396160,7128785,20315238,4915610,20299614,24231665,62278033,33180190,32460984,2027254,6378272, 
110年,8月,23485119,22454663,27596003,22801342,8648642,22573639,5834152,21816202,22036900,54935443,32938254,42030292,2043878,8424011, 
110年,9月,25202995,19041519,28265162,19842948,8773473,24621212,5764759,22024490,22398430,62769806,29794338,43030248,2942664,9624379, 
110年,10月,47290351,19898605,30639436,20664524,9414572,23730067,7222487,23931038,27568966,57017913,32267274,52142089,3246438,9422267, 
110年,11月,42830755,18139051,29550425,19776449,8973294,23292351,6849674,23181890,25943967,61739477,46811429,51212403,3509794,9790911, 
110年,12月,37526834,19040166,29018517,19914884,9635357,24919508,7032243,23642761,22969217,60300878,36047379,58896737,3708977,11333467, 
111年,1月,33485182,21600066,32361982,26100924,9377264,30121288,7272685,23426938,26823895,71386056,37770709,59236816,3238024,10400616, 
111年,2月,31610133,17810548,26706566,17282006,8298878,20954220,7061834,20674747,21525652,48479555,31928755,57281245,2276259,9175640, 
111年,3月,29623471,18036771,29790314,18190841,9041498,22434499,6819777,24789822,24550874,64550129,35025307,54067401,3119998,9936024, 
111年,4月,30671287,20093608,30016712,18886617,9479917,22661681,6688988,23076735,24723455,64157514,33986972,47650583,3221103,8924961, 
111年,5月,22865553,21644158,30163986,19181859,8830462,21481546,5777442,21425387,25222415,56716312,36561212,44264983,2711098,8497761, 
111年,6月,24487920,20159588,30776906,19342405,9136342,20776972,6447886,22312298,23729009,56224917,37256253,47498431,3010049,9176215, 
111年,7月,31577647,20930580,33420947,21289539,10037937,22667444,7448014,24674333,24660266,65647987,33969789,59808375,2669830,10180980, 
111年,8月,30680281,22254728,33016691,21467091,10840518,25939580,7258425,24350656,23548586,62589851,34920139,61276264,2824388,11383758, 
111年,9月,32266355,19589708,31320047,20345186,10278043,23069569,6585750,22832690,24351785,65146911,33853002,55729434,3725161,9996280, 
111年,10月,47480415,20534959,31770915,19863888,10730768,24158460,6761671,23194828,26385978,64140622,35602800,60094298,4008530,9888000, 
111年,11月,42584365,18867498,32083425,19325514,10417109,23960940,7012351,22672414,24055861,66246581,52608660,58078583,4340121,10138277, 
111年,12月,41429121,20492234,31743791,21872652,11805635,27209176,7672536,24073493,24089953,71281428,43113315,67872315,4779536,11720838, 
112年,1月,44087068,22149652,33630712,26647637,12425445,27998098,7929522,23029858,24286304,63150390,36315670,81377077,4311770,11828394, 
112年,2月,30111794,17200949,28798001,16829360,10452544,21145975,6668477,20892620,20296556,62587140,33762003,62444638,3795785,9325595, 
112年,3月,29894370,18631699,32500751,18242236,11855963,23529294,6491308,23374953,22105037,84310224,35918946,60302733,4604682,10380248, 
112年,4月,38041004,19145436,32030146,18848569,12759976,21950625,7061982,22278617,22063990,72623980,33214530,64930173,4666953,9836927, 
112年,5月,34803933,19568718,33822821,18125802,12790714,22997018,6794356,23043932,23103297,79890533,37140376,66237895,4871458,10425460, 
112年,6月,31144615,19090696,33767126,17930726,12926292,22268383,7227107,22978369,22210001,82936983,37579653,65722862,5150638,10552347, 
112年,7月,34181898,21449096,36062584,19797620,12787871,22046833,7925326,23883267,23042556,77049708,35226966,71877031,4576435,11082484, 
112年,8月,31832389,24548315,35590334,22176307,12854607,24425809,7070582,24662578,22441287,66820166,36471385,71708485,4414190,11286463, 
112年,9月,35027344,21052573,34120287,20346304,12374676,27162416,6582672,24018707,23255374,69600053,35083919,65403862,4821258,10987030, 
112年,10月,48358262,21007183,34417959,18665685,13096990,24354752,7025416,23593819,25955537,73557055,36156380,67524017,5394236,10502008, 
112年,11月,44960812,19556440,33465149,19831027,12495115,23200649,7321358,22715482,24797915,78800918,54540350,63449102,5613024,10608309, 
112年,12月,40259361,21039138,33610084,20255010,13321069,29004211,8274968,23549552,22839350,77133249,41713864,74203589,5942216,11761303, 
113年,1月,36723496,20647214,34301306,23778687,13162378,27606288,7157734,22825917,23560774,85638166,40445304,72521662,5637787,11618789, 
113年,2月,38724976,20580238,32494729,21175682,13164448,24144955,7581824,20724042,22638008,51137196,34559827,76552225,4260029,10383421, 
113年,3月,32798255,19614271,33771390,18257214,12620646,23323479,7075542,22633826,21329284,81927048,38272352,67186637,5138358,10834029, 
113年,4月,37628676,19832158,33895747,18379083,12881161,21785300,6858491,22189015,23411174,74047498,35266838,63507650,5660980,10806124, 
113年,5月,34875712,20265555,35251399,18667968,13736541,23033320,6838370,22610397,22609128,85232294,37514522,67765636,5810734,11091987, 
113年,6月,33118991,20652135,35366163,18887318,13760412,22917551,7268799,22311081,21895455,86593180,37656556,70039677,5705793,11252723, 
113年,7月,32444804,23033175,37701368,20300509,13602948,22053038,7066224,22821230,23521684,87933338,35881501,68932538,4798014,11068535, 
113年,8月,33400724,24847577,37183421,22952454,13946364,24584056,7009016,23408385,23064075,63456688,37025447,72853588,4699160,11462350, 
113年,9月,35080432,22793727,36087251,22183545,13658254,26120404,6507808,22377626,24060106,76366380,35031139,67747451,5448929,11065857, 
