時間,名稱,土地面積(平方公里),人口數,占總人口比率(%),男性人口數,女性人口數,人口密度(人/平方公里)
2026-02-01 00:00:00,新 北 市 New Taipei City,2052.5667,4043220,17.37,1960515,2082705,1969.84
2026-02-01 00:00:00,臺 北 市 Taipei City,271.7997,2434479,10.46,1146180,1288299,8956.89
2026-02-01 00:00:00,桃 園 市 Taoyuan City,1220.954,2355512,10.12,1158038,1197474,1929.24
2026-02-01 00:00:00,臺 中 市 Taichung City,2214.8968,2868409,12.32,1397771,1470638,1295.05
2026-02-01 00:00:00,臺 南 市 Tainan City,2191.6531,1851244,7.95,916659,934585,844.68
2026-02-01 00:00:00,高 雄 市 Kaohsiung City,2952.1226,2715827,11.67,1327589,1388238,919.96
2026-02-01 00:00:00,宜蘭縣 Yilan County,2143.6251,448865,1.93,224753,224112,209.4
2026-02-01 00:00:00,新竹縣 Hsinchu County,1427.5369,597224,2.57,303817,293407,418.36
2026-02-01 00:00:00,苗栗縣 Miaoli County,1820.3149,530591,2.28,272486,258105,291.48
2026-02-01 00:00:00,彰化縣 Changhua County,1074.396,1208018,5.19,612303,595715,1124.37
2026-02-01 00:00:00,南投縣 Nantou County,4106.436,467487,2.01,237290,230197,113.84
2026-02-01 00:00:00,雲林縣 Yunlin County,1290.8326,649652,2.79,333521,316131,503.28
2026-02-01 00:00:00,嘉義縣 Chiayi County,1903.6367,472361,2.03,244195,228166,248.14
2026-02-01 00:00:00,屏東縣 Pingtung County,2775.6003,781129,3.36,394458,386671,281.43
2026-02-01 00:00:00,臺東縣 Taitung County,3515.2526,208092,0.89,105691,102401,59.2
2026-02-01 00:00:00,花蓮縣 Hualien County,4628.5714,312161,1.34,156254,155907,67.44
2026-02-01 00:00:00,澎湖縣 Penghu County,126.8641,106669,0.46,54518,52151,840.81
2026-02-01 00:00:00,基隆市 Keelung City,132.7589,359309,1.54,177991,181318,2706.48
2026-02-01 00:00:00,新竹市 Hsinchu City,104.1526,455961,1.96,224921,231040,4377.82
2026-02-01 00:00:00,嘉義市 Chiayi City,60.0256,261529,1.12,124979,136550,4356.96
2026-02-01 00:00:00,金門縣 Kinmen County,151.656,138903,0.6,68970,69933,915.91
2026-02-01 00:00:00,連江縣 Lienchiang County,28.8,13631,0.06,7930,5701,473.3
_2025,新 北 市 New Taipei City,2052.5667,4044831,17.36,1961619,2083212,1970.62
_2025,臺 北 市 Taipei City,271.7997,2439507,10.47,1148819,1290688,8975.39
_2025,桃 園 市 Taoyuan City,1220.954,2355106,10.11,1158094,1197012,1928.91
_2025,臺 中 市 Taichung City,2214.8968,2868465,12.31,1398055,1470410,1295.08
_2025,臺 南 市 Tainan City,2191.6531,1852477,7.95,917451,935026,845.24
_2025,高 雄 市 Kaohsiung City,2952.1226,2718545,11.67,1329197,1389348,920.88
_2025,宜蘭縣 Yilan County,2143.6251,449336,1.93,225017,224319,209.62
_2025,新竹縣 Hsinchu County,1427.5369,597235,2.56,303826,293409,418.37
_2025,苗栗縣 Miaoli County,1820.3149,531172,2.28,272809,258363,291.8
_2025,彰化縣 Changhua County,1074.396,1210206,5.19,613513,596693,1126.41
_2025,南投縣 Nantou County,4106.436,467881,2.01,237579,230302,113.94
_2025,雲林縣 Yunlin County,1290.8326,650989,2.79,334243,316746,504.32
_2025,嘉義縣 Chiayi County,1903.6367,473181,2.03,244656,228525,248.57
_2025,屏東縣 Pingtung County,2775.6003,782256,3.36,395140,387116,281.83
_2025,臺東縣 Taitung County,3515.2526,208320,0.89,105848,102472,59.26
_2025,花蓮縣 Hualien County,4628.5714,312807,1.34,156629,156178,67.58
_2025,澎湖縣 Penghu County,126.8641,106716,0.46,54574,52142,841.18
_2025,基隆市 Keelung City,132.7589,359836,1.54,178300,181536,2710.45
_2025,新竹市 Hsinchu City,104.1526,455740,1.96,224870,230870,4375.69
_2025,嘉義市 Chiayi City,60.0256,261592,1.12,125065,136527,4358.01
_2025,金門縣 Kinmen County,151.656,139313,0.6,69184,70129,918.61
_2025,連江縣 Lienchiang County,28.8,13621,0.06,7913,5708,472.95
_2024,新 北 市 New Taipei City,2052.5667,4047001,17.29,1965488,2081513,1971.68
_2024,臺 北 市 Taipei City,271.7997,2490869,10.64,1174537,1316332,9164.36
_2024,桃 園 市 Taoyuan City,1220.954,2338648,9.99,1151696,1186952,1915.43
_2024,臺 中 市 Taichung City,2214.8968,2860601,12.22,1396597,1464004,1291.53
_2024,臺 南 市 Tainan City,2191.6531,1858651,7.94,921613,937038,848.06
_2024,高 雄 市 Kaohsiung City,2952.1226,2731412,11.67,1337224,1394188,925.24
_2024,宜蘭縣 Yilan County,2143.6251,449212,1.92,225131,224081,209.56
_2024,新竹縣 Hsinchu County,1427.5369,594641,2.54,302644,291997,416.55
_2024,苗栗縣 Miaoli County,1820.3149,532854,2.28,273824,259030,292.73
_2024,彰化縣 Changhua County,1074.396,1225675,5.24,621327,604348,1140.8
_2024,南投縣 Nantou County,4106.436,472299,2.02,240207,232092,115.01
_2024,雲林縣 Yunlin County,1290.8326,658427,2.81,338587,319840,510.08
_2024,嘉義縣 Chiayi County,1903.6367,478786,2.05,247718,231068,251.51
_2024,屏東縣 Pingtung County,2775.6003,789239,3.37,399227,390012,284.35
_2024,臺東縣 Taitung County,3515.2526,210219,0.9,107085,103134,59.8
_2024,花蓮縣 Hualien County,4628.5714,315374,1.35,158193,157181,68.14
_2024,澎湖縣 Penghu County,126.8641,107901,0.46,55167,52734,850.52
_2024,基隆市 Keelung City,132.7589,361441,1.54,179315,182126,2722.54
_2024,新竹市 Hsinchu City,104.1526,457242,1.95,225641,231601,4390.12
_2024,嘉義市 Chiayi City,60.0256,262177,1.12,125664,136513,4367.75
_2024,金門縣 Kinmen County,151.656,143601,0.61,71254,72347,946.89
_2024,連江縣 Lienchiang County,28.8,13950,0.06,8054,5896,484.38
_2023,新 北 市 New Taipei City,2052.5667,4041120,17.25,1965445,2075675,1968.81
_2023,臺 北 市 Taipei City,271.7997,2511886,10.73,1187064,1324822,9241.68
_2023,桃 園 市 Taoyuan City,1220.954,2317445,9.89,1142786,1174659,1898.06
_2023,臺 中 市 Taichung City,2214.8968,2845909,12.15,1391681,1454228,1284.89
_2023,臺 南 市 Tainan City,2191.6531,1859946,7.94,923152,936794,848.65
_2023,高 雄 市 Kaohsiung City,2952.1226,2737941,11.69,1343106,1394835,927.45
_2023,宜蘭縣 Yilan County,2143.6251,449890,1.92,225873,224017,209.87
_2023,新竹縣 Hsinchu County,1427.5369,589289,2.52,299933,289356,412.8
_2023,苗栗縣 Miaoli County,1820.3149,534575,2.28,274920,259655,293.67
_2023,彰化縣 Changhua County,1074.396,1239048,5.29,628065,610983,1153.25
_2023,南投縣 Nantou County,4106.436,477094,2.04,242993,234101,116.18
_2023,雲林縣 Yunlin County,1290.8326,659468,2.82,340082,319386,510.89
_2023,嘉義縣 Chiayi County,1903.6367,484560,2.07,250858,233702,254.54
_2023,屏東縣 Pingtung County,2775.6003,794997,3.39,402917,392080,286.42
_2023,臺東縣 Taitung County,3515.2526,211544,0.9,107954,103590,60.18
_2023,花蓮縣 Hualien County,4628.5714,317489,1.36,159649,157840,68.59
_2023,澎湖縣 Penghu County,126.8641,107739,0.46,55208,52531,849.25
_2023,基隆市 Keelung City,132.7589,362255,1.55,180125,182130,2728.67
_2023,新竹市 Hsinchu City,104.1526,456475,1.95,225225,231250,4382.75
_2023,嘉義市 Chiayi City,60.0256,263584,1.13,126610,136974,4391.19
_2023,金門縣 Kinmen County,151.656,144149,0.62,71542,72607,950.5
_2023,連江縣 Lienchiang County,28.8,14039,0.06,8079,5960,487.47
_2022,新 北 市 New Taipei City,2052.5667,3995551,17.17,1946890,2048661,1946.61
_2022,臺 北 市 Taipei City,271.7997,2480681,10.66,1177022,1303659,9126.87
_2022,桃 園 市 Taoyuan City,1220.954,2281464,9.81,1126870,1154594,1868.59
_2022,臺 中 市 Taichung City,2214.8968,2814459,12.1,1378315,1436144,1270.7
_2022,臺 南 市 Tainan City,2191.6531,1852997,7.96,921168,931829,845.48
_2022,高 雄 市 Kaohsiung City,2951.8524,2728137,11.73,1341492,1386645,924.21
_2022,宜蘭縣 Yilan County,2143.6251,449062,1.93,225711,223351,209.49
_2022,新竹縣 Hsinchu County,1427.5369,580503,2.5,295891,284612,406.65
_2022,苗栗縣 Miaoli County,1820.3149,535132,2.3,275550,259582,293.98
_2022,彰化縣 Changhua County,1074.396,1245239,5.35,631625,613614,1159.01
_2022,南投縣 Nantou County,4106.436,479595,2.06,244587,235008,116.79
_2022,雲林縣 Yunlin County,1290.8326,664092,2.85,342812,321280,514.47
