資料期別,縣市,鄉鎮市區,住宅拍賣移轉筆數
107Q1,全國,,750
107Q1,新北市,,147
107Q1,新北市,板橋區,14
107Q1,新北市,三重區,13
107Q1,新北市,中和區,8
107Q1,新北市,永和區,8
107Q1,新北市,新莊區,16
107Q1,新北市,新店區,16
107Q1,新北市,樹林區,2
107Q1,新北市,鶯歌區,4
107Q1,新北市,三峽區,6
107Q1,新北市,淡水區,5
107Q1,新北市,汐止區,15
107Q1,新北市,瑞芳區,3
107Q1,新北市,土城區,7
107Q1,新北市,蘆洲區,12
107Q1,新北市,五股區,2
107Q1,新北市,泰山區,3
107Q1,新北市,林口區,3
107Q1,新北市,三芝區,7
107Q1,新北市,八里區,2
107Q1,新北市,貢寮區,1
107Q1,台北市,,78
107Q1,台北市,信義區,4
107Q1,台北市,大安區,7
107Q1,台北市,中山區,5
107Q1,台北市,中正區,5
107Q1,台北市,大同區,5
107Q1,台北市,萬華區,6
107Q1,台北市,文山區,5
107Q1,台北市,南港區,3
107Q1,台北市,內湖區,10
107Q1,台北市,士林區,13
107Q1,台北市,北投區,15
107Q1,桃園市,,42
107Q1,桃園市,桃園區,11
107Q1,桃園市,中壢區,7
107Q1,桃園市,平鎮區,6
107Q1,桃園市,八德區,1
107Q1,桃園市,楊梅區,12
107Q1,桃園市,蘆竹區,3
107Q1,桃園市,龜山區,1
107Q1,桃園市,觀音區,1
107Q1,台中市,,52
107Q1,台中市,東區,2
107Q1,台中市,南區,3
107Q1,台中市,西區,1
107Q1,台中市,北區,8
107Q1,台中市,西屯區,5
107Q1,台中市,南屯區,6
107Q1,台中市,北屯區,3
107Q1,台中市,豐原區,5
107Q1,台中市,大甲區,1
107Q1,台中市,清水區,2
107Q1,台中市,沙鹿區,1
107Q1,台中市,后里區,1
107Q1,台中市,潭子區,2
107Q1,台中市,大雅區,2
107Q1,台中市,石岡區,1
107Q1,台中市,烏日區,1
107Q1,台中市,大肚區,1
107Q1,台中市,霧峰區,1
107Q1,台中市,太平區,3
107Q1,台中市,大里區,3
107Q1,台南市,,93
107Q1,台南市,新營區,4
107Q1,台南市,鹽水區,1
107Q1,台南市,柳營區,1
107Q1,台南市,後壁區,2
107Q1,台南市,東山區,2
107Q1,台南市,麻豆區,2
107Q1,台南市,下營區,24
107Q1,台南市,六甲區,3
107Q1,台南市,七股區,1
107Q1,台南市,新化區,5
107Q1,台南市,善化區,5
107Q1,台南市,新市區,1
107Q1,台南市,南化區,1
107Q1,台南市,仁德區,2
107Q1,台南市,歸仁區,3
107Q1,台南市,永康區,11
107Q1,台南市,東區,6
107Q1,台南市,南區,6
107Q1,台南市,北區,5
107Q1,台南市,安南區,7
107Q1,台南市,安平區,1
107Q1,高雄市,,116
107Q1,高雄市,鹽埕區,2
107Q1,高雄市,鼓山區,9
