路線方向,路段,交流道,進出口,週六,週日,平日
國1南向路段,非主線資料,基隆端,進口,31243,28384,26774
國1南向路段,非主線資料,基隆,進口,6663,5824,7037
國1南向路段,非主線資料,八堵,進口,9626,10092,7615
國1南向路段,非主線資料,大華系統,進口,26567,24553,20948
國1南向路段,非主線資料,五堵,進口,7192,6103,8628
國1南向路段,非主線資料,汐止&汐止系統,進口,21350,20002,22060
國1南向路段,非主線資料,東湖,進口,16417,14454,16276
國1南向路段,非主線資料,內湖,進口,15293,12694,18523
國1南向路段,非主線資料,圓山,進口,61973,56150,61590
國1南向路段,非主線資料,台北,進口,20919,17509,20226
國1南向路段,非主線資料,三重,進口,14840,13279,12100
國1南向路段,非主線資料,五股,進口,30492,28166,27063
國1南向路段,非主線資料,高公局,進口,235,253,334
國1南向路段,非主線資料,林口,進口,38036,30988,43122
國1南向路段,非主線資料,桃園,進口,38608,33662,39528
國1南向路段,非主線資料,機場系統,進口,25216,23071,25098
國1南向路段,非主線資料,中壢服務區,進口,4068,3342,4787
國1南向路段,非主線資料,內壢,進口,18250,16404,18305
國1南向路段,非主線資料,中壢,進口,8042,6876,7499
國1南向路段,非主線資料,平鎮系統,進口,18634,17028,19467
國1南向路段,非主線資料,幼獅,進口,2949,2220,4349
國1南向路段,非主線資料,楊梅,進口,5112,4588,6582
國1南向路段,非主線資料,高架楊梅端,進口,37989,33979,30790
國1南向路段,非主線資料,湖口,進口,14339,13824,20851
國1南向路段,非主線資料,竹北,進口,18554,14761,21796
國1南向路段,非主線資料,新竹,進口,26910,20347,29076
國1南向路段,非主線資料,新竹系統,進口,20653,16236,12893
國1南向路段,非主線資料,頭份,進口,7368,6788,6090
國1南向路段,非主線資料,頭屋,進口,1075,1043,898
國1南向路段,非主線資料,苗栗,進口,6466,6266,5682
國1南向路段,非主線資料,銅鑼,進口,3616,4328,3323
國1南向路段,非主線資料,三義,進口,4319,4613,3205
國1南向路段,非主線資料,后里,進口,11192,9917,11146
國1南向路段,非主線資料,台中系統,進口,24904,23052,26136
國1南向路段,非主線資料,豐原,進口,11410,9837,12921
國1南向路段,非主線資料,大雅,進口,11616,9096,12546
國1南向路段,非主線資料,台中,進口,19413,17527,16939
國1南向路段,非主線資料,南屯,進口,13844,11809,13074
國1南向路段,非主線資料,王田,進口,7957,7179,8052
國1南向路段,非主線資料,彰化系統,進口,35935,31144,30286
國1南向路段,非主線資料,彰化,進口,14404,13563,14447
國1南向路段,非主線資料,埔鹽系統,進口,12118,11318,11143
國1南向路段,非主線資料,員林,進口,3423,3043,2762
國1南向路段,非主線資料,北斗,進口,4286,4210,3442
國1南向路段,非主線資料,西螺,進口,6474,5995,5865
國1南向路段,非主線資料,虎尾,進口,2985,2947,2822
國1南向路段,非主線資料,斗南,進口,6260,5151,6495
國1南向路段,非主線資料,雲林系統,進口,9419,8599,7868
國1南向路段,非主線資料,大林,進口,2788,2446,2961
國1南向路段,非主線資料,民雄,進口,6076,5493,5489
國1南向路段,非主線資料,嘉義,進口,8502,7850,7086
國1南向路段,非主線資料,水上,進口,2354,2440,1970
國1南向路段,非主線資料,嘉義系統,進口,8842,9467,6956
國1南向路段,非主線資料,新營服務區,進口,1201,1122,1141
國1南向路段,非主線資料,新營,進口,11034,10161,11257
國1南向路段,非主線資料,下營系統,進口,9807,9650,7665
國1南向路段,非主線資料,麻豆,進口,9499,8677,9475
國1南向路段,非主線資料,安定,進口,5870,4766,8548
國1南向路段,非主線資料,台南系統,進口,23220,21278,23777
國1南向路段,非主線資料,永康,進口,15633,13564,16704
國1南向路段,非主線資料,仁德,進口,22984,21575,20382
國1南向路段,非主線資料,仁德系統,進口,17203,15734,16580
國1南向路段,非主線資料,路竹,進口,7077,6651,7299
國1南向路段,非主線資料,高科,進口,6464,4642,9006
國1南向路段,非主線資料,岡山,進口,16672,13839,18292
國1南向路段,非主線資料,楠梓,進口,26103,21768,26459
國1南向路段,非主線資料,鼎金系統,進口,51500,49774,50450
國1南向路段,非主線資料,中正路,進口,25568,22711,24586
國1南向路段,非主線資料,五甲,進口,10622,9795,11665
國3南向路段,非主線資料,基金,進口,21763,21248,22104
國3南向路段,非主線資料,瑪東系統,進口,2422,3670,3494
國3南向路段,非主線資料,汐止系統,進口,34023,29536,32328
國3南向路段,非主線資料,新台五路,進口,14038,12024,17282
國3南向路段,非主線資料,南港,進口,14819,13496,19627
國3南向路段,非主線資料,南港系統,進口,15537,17513,11425
