路線方向,路段,交流道,進出口,週六,週日,平日
國1南向路段,非主線資料,基隆端,進口,29916,27229,26554
國1南向路段,非主線資料,基隆,進口,6474,5721,7046
國1南向路段,非主線資料,八堵,進口,8748,9060,7566
國1南向路段,非主線資料,大華系統,進口,24401,22604,21743
國1南向路段,非主線資料,五堵,進口,6846,5803,8763
國1南向路段,非主線資料,汐止&汐止系統,進口,21479,19785,23373
國1南向路段,非主線資料,東湖,進口,16970,15170,17100
國1南向路段,非主線資料,內湖,進口,14651,12222,17777
國1南向路段,非主線資料,圓山,進口,59921,54924,61104
國1南向路段,非主線資料,台北,進口,19789,16988,20344
國1南向路段,非主線資料,三重,進口,14276,12886,12167
國1南向路段,非主線資料,五股,進口,30888,29344,26446
國1南向路段,非主線資料,高公局,進口,314,272,393
國1南向路段,非主線資料,林口,進口,37662,31395,44246
國1南向路段,非主線資料,桃園,進口,37553,33088,39908
國1南向路段,非主線資料,機場系統,進口,23983,21862,24160
國1南向路段,非主線資料,中壢服務區,進口,4523,3492,6972
國1南向路段,非主線資料,內壢,進口,18244,16770,19092
國1南向路段,非主線資料,中壢,進口,7614,5902,6780
國1南向路段,非主線資料,平鎮系統,進口,18598,17026,20576
國1南向路段,非主線資料,幼獅,進口,2941,2219,4483
國1南向路段,非主線資料,楊梅,進口,5182,4577,6914
國1南向路段,非主線資料,高架楊梅端,進口,36950,33335,31759
國1南向路段,非主線資料,湖口,進口,14738,13903,21275
國1南向路段,非主線資料,竹北,進口,17992,14490,21906
國1南向路段,非主線資料,新竹,進口,25315,19766,29736
國1南向路段,非主線資料,新竹系統,進口,20502,16564,14016
國1南向路段,非主線資料,頭份,進口,7288,6553,6319
國1南向路段,非主線資料,頭屋,進口,1024,1042,944
國1南向路段,非主線資料,苗栗,進口,6382,6371,5920
國1南向路段,非主線資料,銅鑼,進口,3523,4051,3453
國1南向路段,非主線資料,三義,進口,4112,4368,3237
國1南向路段,非主線資料,后里,進口,11064,10220,11988
國1南向路段,非主線資料,台中系統,進口,26955,24445,27964
國1南向路段,非主線資料,豐原,進口,11998,10157,14087
國1南向路段,非主線資料,大雅,進口,11340,9024,13125
國1南向路段,非主線資料,台中,進口,18717,17044,17148
國1南向路段,非主線資料,南屯,進口,12853,11102,12671
國1南向路段,非主線資料,王田,進口,7416,6675,8422
國1南向路段,非主線資料,彰化系統,進口,36504,31486,31717
國1南向路段,非主線資料,彰化,進口,13831,12770,14446
國1南向路段,非主線資料,埔鹽系統,進口,11580,11119,11294
國1南向路段,非主線資料,員林,進口,3450,2921,2944
國1南向路段,非主線資料,北斗,進口,4329,4197,3952
國1南向路段,非主線資料,西螺,進口,6570,6099,6186
國1南向路段,非主線資料,虎尾,進口,3058,3116,3012
國1南向路段,非主線資料,斗南,進口,6508,5538,6871
國1南向路段,非主線資料,雲林系統,進口,10055,9006,8210
國1南向路段,非主線資料,大林,進口,2900,2767,3250
國1南向路段,非主線資料,民雄,進口,6194,5423,5625
國1南向路段,非主線資料,嘉義,進口,8414,7843,7384
國1南向路段,非主線資料,水上,進口,2514,2399,2238
國1南向路段,非主線資料,嘉義系統,進口,9630,9686,7726
國1南向路段,非主線資料,新營服務區,進口,1154,1114,1205
國1南向路段,非主線資料,新營,進口,11098,9873,11615
國1南向路段,非主線資料,下營系統,進口,9863,9148,8389
國1南向路段,非主線資料,麻豆,進口,8917,8256,9660
國1南向路段,非主線資料,安定,進口,5782,4952,8909
國1南向路段,非主線資料,台南系統,進口,22467,21146,24473
國1南向路段,非主線資料,永康,進口,15369,13230,17189
國1南向路段,非主線資料,仁德,進口,21989,21252,20478
國1南向路段,非主線資料,仁德系統,進口,16174,15518,16483
國1南向路段,非主線資料,路竹,進口,6929,6455,7570
國1南向路段,非主線資料,高科,進口,6488,4878,9509
國1南向路段,非主線資料,岡山,進口,16465,13701,18469
國1南向路段,非主線資料,楠梓,進口,26296,22183,27559
國1南向路段,非主線資料,鼎金系統,進口,52219,49178,51674
國1南向路段,非主線資料,中正路,進口,25744,22721,24858
國1南向路段,非主線資料,五甲,進口,10727,9888,11391
國3南向路段,非主線資料,基金,進口,19948,19627,22292
國3南向路段,非主線資料,瑪東系統,進口,2069,2406,3409
國3南向路段,非主線資料,汐止系統,進口,32470,28559,33809
國3南向路段,非主線資料,新台五路,進口,13549,11588,17189
國3南向路段,非主線資料,南港,進口,15769,14108,20580
國3南向路段,非主線資料,南港系統,進口,15813,17574,12087
國3南向路段,非主線資料,木柵,進口,14182,12660,14476
國3南向路段,非主線資料,新店,進口,10878,9602,11493
國3南向路段,非主線資料,安坑,進口,30415,26541,29725
國3南向路段,非主線資料,中和,進口,36752,32940,36426
國3南向路段,非主線資料,土城,進口,37750,34224,38620
國3南向路段,非主線資料,三鶯,進口,17404,15871,18720
國3南向路段,非主線資料,鶯歌系統,進口,23492,19762,25317
國3南向路段,非主線資料,大溪,進口,11168,9261,10168
國3南向路段,非主線資料,龍潭,進口,6226,5139,6152
國3南向路段,非主線資料,高原,進口,3372,2937,3330
國3南向路段,非主線資料,關西服務區,進口,1158,1068,864
國3南向路段,非主線資料,關西,進口,3081,2956,2855
國3南向路段,非主線資料,竹林,進口,6956,5734,7832
國3南向路段,非主線資料,寶山,進口,6174,4552,10730
國3南向路段,非主線資料,新竹系統,進口,32759,26217,32095
國3南向路段,非主線資料,茄苳,進口,6642,5160,5801
國3南向路段,非主線資料,香山,進口,4945,3444,5584
國3南向路段,非主線資料,竹南,進口,5568,4344,4361
國3南向路段,非主線資料,大山,進口,1012,923,928
國3南向路段,非主線資料,後龍,進口,3229,3605,2796
國3南向路段,非主線資料,西湖服務區,進口,805,658,577
國3南向路段,非主線資料,通霄,進口,4580,5286,2714
國3南向路段,非主線資料,苑裡,進口,9175,8296,8799
國3南向路段,非主線資料,大甲,進口,10418,9956,10160
國3南向路段,非主線資料,中港系統,進口,7503,6720,8422
國3南向路段,非主線資料,清水服務區,進口,2066,1828,1068
國3南向路段,非主線資料,沙鹿,進口,9629,8532,9982
國3南向路段,非主線資料,龍井,進口,11517,10041,12012
國3南向路段,非主線資料,和美,進口,13321,12106,16055
國3南向路段,非主線資料,彰化系統,進口,13796,11254,14347
國3南向路段,非主線資料,快官,進口,24167,20708,24269
國3南向路段,非主線資料,烏日,進口,5402,3861,6401
國3南向路段,非主線資料,中投,進口,9872,8340,8692
國3南向路段,非主線資料,霧峰,進口,38652,35172,31199
國3南向路段,非主線資料,霧峰系統,進口,6103,7112,5218
國3南向路段,非主線資料,草屯,進口,3542,2820,3209
國3南向路段,非主線資料,中興系統,進口,6350,5894,5501
國3南向路段,非主線資料,中興,進口,4820,4128,4787
國3南向路段,非主線資料,南投,進口,2845,2410,2949
國3南向路段,非主線資料,南投服務區,進口,1410,1487,1169
國3南向路段,非主線資料,名間,進口,2178,2029,1992
國3南向路段,非主線資料,竹山,進口,3747,4609,2662
國3南向路段,非主線資料,南雲,進口,2377,2443,2025
國3南向路段,非主線資料,斗六,進口,4311,4137,4360
國3南向路段,非主線資料,古坑(北)&古坑系統,進口,4307,4302,3239
國3南向路段,非主線資料,古坑(南),進口,1710,1710,1184
國3南向路段,非主線資料,古坑服務區,進口,632,711,416
國3南向路段,非主線資料,梅山,進口,5040,4921,4954
國3南向路段,非主線資料,竹崎,進口,6823,6667,6507
國3南向路段,非主線資料,中埔,進口,7912,9060,5635
國3南向路段,非主線資料,水上系統,進口,3227,3553,2433
國3南向路段,非主線資料,白河,進口,3186,4021,2110
國3南向路段,非主線資料,東山服務區,進口,1146,1365,714
國3南向路段,非主線資料,柳營,進口,3030,2877,3399
國3南向路段,非主線資料,烏山頭,進口,3258,3186,3160
國3南向路段,非主線資料,官田系統,進口,8011,8202,6699
國3南向路段,非主線資料,善化,進口,5342,4441,5302
國3南向路段,非主線資料,新化系統,進口,10709,8654,10268
國3南向路段,非主線資料,關廟,進口,9749,8406,6860
國3南向路段,非主線資料,關廟服務區,進口,371,330,368
國3南向路段,非主線資料,田寮,進口,3374,3223,3182
國3南向路段,非主線資料,燕巢系統,進口,13510,11824,13330
國3南向路段,非主線資料,九如,進口,2746,2500,2577
國3南向路段,非主線資料,長治,進口,4960,4268,4605
國3南向路段,非主線資料,麟洛,進口,8268,7325,7718
國3南向路段,非主線資料,竹田系統,進口,15267,12715,10691
國3南向路段,非主線資料,南州,進口,456,376,405
國5南向路段,非主線資料,南港系統,進口,36978,29446,26930
國5南向路段,非主線資料,石碇,進口,4653,2848,4294
國5南向路段,非主線資料,坪林交控專用道,進口,588,368,480
國5南向路段,非主線資料,頭城,進口,4799,2440,4540
國5南向路段,非主線資料,宜蘭(壯圍),進口,6810,5424,6661
國5南向路段,非主線資料,羅東,進口,3151,2816,3380
國1高架南向路段,非主線資料,汐止端,進口,32432,31297,32146
國1高架南向路段,非主線資料,堤頂,進口,19914,16442,24572
國1高架南向路段,非主線資料,環北,進口,23406,21126,23215
國1高架南向路段,非主線資料,泰山轉接道,進口,38407,35562,34393
國1高架南向路段,非主線資料,機場系統,進口,7732,7812,8633
國1高架南向路段,非主線資料,中壢轉接道,進口,16605,14297,17862
國3甲東向路段,非主線資料,台北端,進口,20998,17234,21837
國3甲東向路段,非主線資料,萬芳,進口,15506,13360,16060
國2東向路段,非主線資料,機場端,進口,43940,46378,46466
國2東向路段,非主線資料,大園,進口,26482,22784,32559
國2東向路段,非主線資料,大竹,進口,25258,21980,25670
國2東向路段,非主線資料,機場系統,進口,42960,39148,44623
國2東向路段,非主線資料,南桃園,進口,17678,14922,19466
國2東向路段,非主線資料,大湳,進口,22842,19928,23685
國4東向路段,非主線資料,清水端,進口,17940,16294,18316
國4東向路段,非主線資料,中港系統,進口,20880,19220,18344
國4東向路段,非主線資料,神岡,進口,6915,5839,9426
國4東向路段,非主線資料,台中系統,進口,16731,15604,17019
國4東向路段,非主線資料,豐勢,進口,8602,8483,7794
國4東向路段,非主線資料,潭子,進口,12383,10803,13293
國6東向路段,非主線資料,霧峰系統,進口,28734,23457,20435
國6東向路段,非主線資料,舊正,進口,2967,2274,2207
國6東向路段,非主線資料,東草屯,進口,1344,1215,1092
國6東向路段,非主線資料,國姓,進口,380,334,392
國6東向路段,非主線資料,愛蘭,進口,513,420,430
國8東向路段,非主線資料,台南端,進口,12397,11358,12609
國8東向路段,非主線資料,新吉,進口,7260,6985,6836
國8東向路段,非主線資料,台南系統,進口,17490,15698,17361
國8東向路段,非主線資料,新市,進口,3675,3431,4024
國8東向路段,非主線資料,新化系統,進口,3616,3723,3484
國10東向路段,非主線資料,左營端,進口,35016,32349,33630
國10東向路段,非主線資料,鼎金系統,進口,24885,22164,24414
國10東向路段,非主線資料,仁武,進口,10601,8616,11040
國10東向路段,非主線資料,燕巢,進口,8774,7529,8565
國10東向路段,非主線資料,燕巢系統,進口,7015,5435,5821
國2甲東向路段,非主線資料,圳頭,進口,17466,14824,22497
國1北向路段,非主線資料,高雄端,進口,6303,5168,9986
國1北向路段,非主線資料,漁港路,進口,18353,17166,17424
國1北向路段,非主線資料,五甲,進口,1941,1630,2466
國1北向路段,非主線資料,五甲系統,進口,50299,49104,49733
國1北向路段,非主線資料,中正路,進口,9460,8842,8313
國1北向路段,非主線資料,高雄,進口,54632,51650,49267
國1北向路段,非主線資料,鼎金系統,進口,24998,23211,22510
國1北向路段,非主線資料,楠梓,進口,18030,15888,19562
國1北向路段,非主線資料,岡山,進口,6344,5852,6933
國1北向路段,非主線資料,高科,進口,6488,5184,9730
國1北向路段,非主線資料,路竹,進口,5736,5379,5818
國1北向路段,非主線資料,仁德系統,進口,18729,18548,20184
國1北向路段,非主線資料,仁德,進口,10136,9546,10324
國1北向路段,非主線資料,大灣,進口,16380,15376,15575
國1北向路段,非主線資料,永康,進口,16976,16162,14738
國1北向路段,非主線資料,台南系統,進口,10985,10078,10222
國1北向路段,非主線資料,安定,進口,4187,3378,5913
國1北向路段,非主線資料,麻豆,進口,5670,5868,5222
國1北向路段,非主線資料,下營系統,進口,4784,4735,4432
國1北向路段,非主線資料,新營,進口,5180,5084,4621
國1北向路段,非主線資料,新營服務區,進口,2180,2116,2066
國1北向路段,非主線資料,嘉義系統,進口,8989,8488,8381
國1北向路段,非主線資料,水上,進口,3168,3158,3047
國1北向路段,非主線資料,嘉義,進口,11449,11106,10732
國1北向路段,非主線資料,民雄,進口,7468,7326,6101
國1北向路段,非主線資料,大林,進口,4937,4559,3736
國1北向路段,非主線資料,雲林系統,進口,12927,13199,10825
國1北向路段,非主線資料,斗南,進口,5693,6010,5134
國1北向路段,非主線資料,虎尾,進口,4562,4712,4603
國1北向路段,非主線資料,西螺,進口,5751,5669,5225
國1北向路段,非主線資料,北斗,進口,10903,10384,11524
國1北向路段,非主線資料,員林,進口,11959,11296,12997
國1北向路段,非主線資料,埔鹽系統,進口,14589,12895,15985
國1北向路段,非主線資料,彰化,進口,22905,21349,23550
國1北向路段,非主線資料,彰化系統,進口,4837,4807,6759
國1北向路段,非主線資料,王田,進口,9036,7568,11134
國1北向路段,非主線資料,南屯,進口,12714,11162,13298
