年度標籤,路線方向,路段,交流道,進出口,週六,週日,週2-4,平日
107年,國1南向,非主線資料,基隆端,進口,34246,31547,29403,
107年,國1南向,非主線資料,基隆,出口,9484,8123,9403,
107年,國1南向,非主線資料,基隆,"進口1-尚仁路,基隆",2108,1997,2579,
107年,國1南向,非主線資料,基隆,"進口2-麥金路,金山",6051,5398,5895,
107年,國1南向,非主線資料,八堵,進口,10785,11990,9027,
107年,國1南向,非主線資料,大華系統,進口,26351,26929,21257,
107年,國1南向,非主線資料,五堵,出口,6424,6179,7415,
107年,國1南向,非主線資料,五堵,進口,9008,7768,10482,
107年,國1南向,非主線資料,汐止及汐止系統,出口,20996,20160,18920,
107年,國1南向,非主線資料,汐止及汐止系統,進口1-國3北+汐止,25599,25599,25599,
107年,國1南向,非主線資料,汐止及汐止系統,進口2-國3南,9198,9899,9954,
107年,國1南向,非主線資料,高架汐止端,出口,32505,34285,28529,
107年,國1南向,非主線資料,東湖,進口,20553,18047,20259,
107年,國1南向,非主線資料,內湖,出口1-南京,20150,18260,18795,
107年,國1南向,非主線資料,內湖,出口2-成功,8614,7655,9187,
107年,國1南向,非主線資料,內湖,進口,16774,13915,19929,
107年,國1南向,非主線資料,圓山,出口,16675,14411,16248,
107年,國1南向,非主線資料,圓山,進口,67091,59975,66319,
107年,國1南向,非主線資料,台北,出口1-士林,32521,29262,32571,
107年,國1南向,非主線資料,台北,出口2-台北市區,6587,6238,6576,
107年,國1南向,非主線資料,台北,進口,23876,21345,23967,
107年,國1南向,非主線資料,三重,出口,21904,20266,22386,
107年,國1南向,非主線資料,三重,進口,15722,14479,13560,
107年,國1南向,非主線資料,五股及五股轉接道,出口,39500,39500,39500,
107年,國1南向,非主線資料,五股及五股轉接道,進口1-高架,47053,46185,49825,
107年,國1南向,非主線資料,五股及五股轉接道,進口2-新五路台64,52189,45951,51101,
107年,國1南向,非主線資料,泰山轉接道,出口,41097,36659,33514,
107年,國1南向,非主線資料,林口,出口1-文化一路,26223,25025,28585,
107年,國1南向,非主線資料,林口,出口2-文化北路,15267,12536,19724,
107年,國1南向,非主線資料,林口,進口1-文化一路,15003,12953,17661,
107年,國1南向,非主線資料,林口,進口2-文化北路,18074,15005,22048,
107年,國1南向,非主線資料,桃園,出口,34305,31006,37091,
107年,國1南向,非主線資料,桃園,進口1-桃園,13015,12003,14779,
107年,國1南向,非主線資料,桃園,進口2-南崁,20164,17006,19678,
107年,國1南向,非主線資料,機場系統,出口,29430,26659,31591,
107年,國1南向,非主線資料,機場系統,進口,20782,19215,23121,
107年,國1南向,非主線資料,內壢,出口,27488,25331,29693,
107年,國1南向,非主線資料,內壢,進口1-中壢,12179,10111,14863,
107年,國1南向,非主線資料,內壢,進口2-大園,6905,6340,5856,
107年,國1南向,非主線資料,中壢,出口,14650,12836,15958,
107年,國1南向,非主線資料,中壢,"進口1-民族路,中環",12106,11222,11070,
107年,國1南向,非主線資料,中壢,進口2-新屋,4670,3726,5000,
107年,國1南向,非主線資料,平鎮系統,出口,24952,22575,26270,
107年,國1南向,非主線資料,平鎮系統,進口,16242,14378,16679,
107年,國1南向,非主線資料,幼獅,出口,7574,5974,10601,
107年,國1南向,非主線資料,幼獅,進口,4583,3407,5944,
107年,國1南向,非主線資料,楊梅,出口,25574,22528,27809,
107年,國1南向,非主線資料,楊梅,進口,6412,5625,7093,
107年,國1南向,非主線資料,高架楊梅端,進口,41286,36050,32419,
107年,國1南向,非主線資料,湖口,出口,10667,9414,12403,
107年,國1南向,非主線資料,湖口,進口,14830,13252,19837,
107年,國1南向,非主線資料,竹北,出口,17877,17091,18901,
107年,國1南向,非主線資料,竹北,進口,20256,16765,24074,
107年,國1南向,非主線資料,新竹,出口1-公道五/光復路,22382,22714,23548,
107年,國1南向,非主線資料,新竹,出口2-新安路,6404,6179,14067,
107年,國1南向,非主線資料,新竹,進口1-光復路,19521,14552,16176,
107年,國1南向,非主線資料,新竹,進口2-園區二路,5549,4451,9338,
107年,國1南向,非主線資料,新竹系統,出口1-國3南,30845,24315,28432,
107年,國1南向,非主線資料,新竹系統,出口2-國3北,3133,3049,3705,
107年,國1南向,非主線資料,新竹系統,進口,19059,15678,11517,
107年,國1南向,非主線資料,頭份,出口,16771,14332,15686,
107年,國1南向,非主線資料,頭份,進口,7731,7362,6066,
107年,國1南向,非主線資料,頭屋,出口,7622,6039,5573,
107年,國1南向,非主線資料,頭屋,進口,2068,1924,1405,
107年,國1南向,非主線資料,苗栗,出口,6510,4631,3711,
107年,國1南向,非主線資料,苗栗,進口,6943,6943,5786,
107年,國1南向,非主線資料,銅鑼,出口,2856,2361,2195,
107年,國1南向,非主線資料,銅鑼,進口,3790,4153,3201,
107年,國1南向,非主線資料,三義,出口,6234,5375,4562,
107年,國1南向,非主線資料,三義,進口,4892,5373,3733,
107年,國1南向,非主線資料,后里,出口,3192,2798,1930,
107年,國1南向,非主線資料,后里,進口,11378,10085,11051,
107年,國1南向,非主線資料,台中系統,出口,5245,4931,3922,
107年,國1南向,非主線資料,台中系統,進口,25718,25586,28289,
107年,國1南向,非主線資料,豐原,出口,13897,12650,13260,
107年,國1南向,非主線資料,豐原,進口,13959,11974,15650,
107年,國1南向,非主線資料,大雅,出口,30452,27923,26500,
107年,國1南向,非主線資料,大雅,進口,12857,10138,13913,
107年,國1南向,非主線資料,台中,出口,27462,24145,25911,
107年,國1南向,非主線資料,台中,進口,20713,18698,17440,
107年,國1南向,非主線資料,南屯,出口,17613,15525,16777,
107年,國1南向,非主線資料,南屯,進口,14798,12599,13605,
107年,國1南向,非主線資料,王田,出口,10283,8501,11330,
107年,國1南向,非主線資料,王田,進口,8908,7877,8230,
107年,國1南向,非主線資料,彰化系統,出口,4996,3965,4498,
107年,國1南向,非主線資料,彰化系統,進口,32611,27561,27361,
107年,國1南向,非主線資料,彰化,出口,24225,21641,23310,
107年,國1南向,非主線資料,彰化,進口,16053,15060,15670,
107年,國1南向,非主線資料,埔鹽系統,出口,15455,13591,14652,
107年,國1南向,非主線資料,埔鹽系統,進口1-台76西,4928,4399,4678,
107年,國1南向,非主線資料,埔鹽系統,進口2-台76東,6918,6554,5638,
107年,國1南向,非主線資料,員林,出口,13533,12553,12437,
107年,國1南向,非主線資料,員林,進口,4936,4426,4058,
107年,國1南向,非主線資料,北斗,出口,12366,11461,11517,
107年,國1南向,非主線資料,北斗,進口,4726,4676,3694,
107年,國1南向,非主線資料,西螺,出口,6715,5614,5075,
107年,國1南向,非主線資料,西螺,進口,6541,6371,5571,
107年,國1南向,非主線資料,虎尾,出口,5428,4978,4232,
107年,國1南向,非主線資料,虎尾,進口,3490,3534,2856,
107年,國1南向,非主線資料,斗南,出口,7472,6082,5580,
107年,國1南向,非主線資料,斗南,"進口1-縣158西,斗六",3091,2553,2838,
107年,國1南向,非主線資料,斗南,"進口2-縣158東,虎尾",4056,3555,3938,
107年,國1南向,非主線資料,雲林系統,出口,12630,9955,8544,
107年,國1南向,非主線資料,雲林系統,進口,7682,6984,6551,
107年,國1南向,非主線資料,大林,出口,4425,3651,3506,
107年,國1南向,非主線資料,大林,進口,4425,3831,4552,
107年,國1南向,非主線資料,民雄,出口,8974,7626,7385,
107年,國1南向,非主線資料,民雄,進口,5527,5131,5045,
107年,國1南向,非主線資料,嘉義,出口,11693,9849,9733,
107年,國1南向,非主線資料,嘉義,進口,8444,8211,7000,
107年,國1南向,非主線資料,水上,出口,3892,3554,3335,
107年,國1南向,非主線資料,水上,進口,2718,2698,2353,
107年,國1南向,非主線資料,嘉義系統,出口,7479,6385,5966,
107年,國1南向,非主線資料,嘉義系統,進口,6806,7425,5428,
107年,國1南向,非主線資料,新營,出口,5659,4992,4284,
107年,國1南向,非主線資料,新營,進口,11918,11463,11427,
107年,國1南向,非主線資料,下營系統,出口,3975,4049,2958,
107年,國1南向,非主線資料,下營系統,進口,8587,8999,6873,
107年,國1南向,非主線資料,麻豆,出口,6698,6559,5516,
107年,國1南向,非主線資料,麻豆,進口,9007,8587,8719,
107年,國1南向,非主線資料,安定,出口,4693,4921,5728,
107年,國1南向,非主線資料,安定,進口,5467,4594,6614,
107年,國1南向,非主線資料,台南系統,出口,7693,6798,6954,
107年,國1南向,非主線資料,台南系統,進口,22244,21261,21996,
