縣市,行政區, 年底人口數 ,土地面積
新北市,板橋區,"549,762",23.1373
新北市,三重區,"382,778",16.317
新北市,中和區,"403,791",20.144
新北市,永和區,"211,536",5.7138
新北市,新莊區,"421,239",19.7383
新北市,新店區,"306,884",120.2255
新北市,樹林區,"177,412",33.1288
新北市,鶯歌區,"89,501",21.1248
新北市,三峽區,"115,009",191.4508
新北市,淡水區,"208,004",70.6565
新北市,汐止區,"212,758",71.2354
新北市,瑞芳區,"35,623",70.7336
新北市,土城區,"242,713",29.5578
新北市,蘆洲區,"196,371",7.4351
新北市,五股區,"94,717",34.8632
新北市,泰山區,"78,083",19.1603
新北市,林口區,"138,461",54.1519
新北市,深坑區,"23,639",20.5787
新北市,石碇區,"6,917",144.3498
新北市,坪林區,"6,163",170.835
新北市,三芝區,"22,061",65.9909
新北市,石門區,"9,994",51.2645
新北市,八里區,"43,495",39.4933
新北市,平溪區,"3,900",71.3382
新北市,雙溪區,"7,442",146.2484
新北市,貢寮區,"10,445",99.9734
新北市,金山區,"19,725",49.2132
新北市,萬里區,"20,209",63.3766
新北市,烏來區,"6,199",321.1306
臺北市,松山區,"187,318",9.2878
臺北市,信義區,"201,446",11.2077
臺北市,大安區,"282,328",11.3614
臺北市,中山區,"212,152",13.6821
臺北市,中正區,"144,109",7.6071
臺北市,大同區,"116,618",5.6815
臺北市,萬華區,"168,675",8.8522
臺北市,文山區,"253,822",31.509
臺北市,南港區,"111,239",21.8424
臺北市,內湖區,"267,959",31.5787
臺北市,士林區,"258,163",62.3682
臺北市,北投區,"235,678",56.8216
桃園市,桃園區,"478,487",34.8046
桃園市,中壢區,"439,213",76.52
桃園市,大溪區,"93,799",105.1206
桃園市,楊梅區,"182,837",89.1229
桃園市,蘆竹區,"170,556",75.5025
桃園市,大園區,"89,713",87.3925
桃園市,龜山區,"188,328",72.0177
桃園市,八德區,"216,058",33.7111
桃園市,龍潭區,"127,360",75.2341
桃園市,平鎮區,"228,210",47.7532
桃園市,新屋區,"49,723",85.0166
桃園市,觀音區,"77,526",87.9807
桃園市,復興區,"13,296",350.7775
臺中市,中區,"18,029",0.8803
臺中市,東區,"77,745",9.2855
臺中市,南區,"128,309",6.8101
臺中市,西區,"113,288",5.7042
臺中市,北區,"143,537",6.9376
臺中市,西屯區,"238,052",39.8467
臺中市,南屯區,"186,105",31.2578
臺中市,北屯區,"317,182",62.7034
臺中市,豐原區,"161,771",41.1845
臺中市,東勢區,"46,488",117.4065
臺中市,大甲區,"73,108",58.5192
臺中市,清水區,"90,640",64.1709
臺中市,沙鹿區,"101,419",40.4604
臺中市,梧棲區,"65,685",16.6049
臺中市,后里區,"52,754",58.9439
臺中市,神岡區,"63,271",35.0445
臺中市,潭子區,"109,314",25.8497
臺中市,大雅區,"94,741",32.4109
臺中市,新社區,"22,579",68.8874
臺中市,石岡區,"13,668",18.2105
臺中市,外埔區,"30,823",42.4099
臺中市,大安區,"17,487",27.4045
臺中市,烏日區,"82,248",43.4032
臺中市,大肚區,"55,255",37.0024
臺中市,龍井區,"79,241",38.0377
臺中市,霧峰區,"62,627",98.0779
臺中市,太平區,"201,536",120.7473
臺中市,大里區,"211,094",28.8758
臺中市,和平區,"10,469","1,037.82"
臺南市,新營區,"74,493",38.5386
臺南市,鹽水區,"23,635",52.2455
臺南市,白河區,"24,948",126.4046
臺南市,柳營區,"19,831",61.2929
臺南市,後壁區,"20,840",72.2189
臺南市,東山區,"18,490",124.9178
臺南市,麻豆區,"42,873",53.9744
臺南市,下營區,"21,742",33.5291
臺南市,六甲區,"20,880",67.5471
臺南市,官田區,"20,527",70.7953
臺南市,大內區,"8,427",70.3125
臺南市,佳里區,"58,328",38.9422
臺南市,學甲區,"24,365",53.9919
臺南市,西港區,"24,811",33.7666
臺南市,七股區,"20,493",110.1492
臺南市,將軍區,"17,598",41.9796
臺南市,北門區,"9,436",44.1003
臺南市,新化區,"41,932",62.0579
臺南市,善化區,"53,888",55.3097
臺南市,新市區,"38,279",47.8096
臺南市,安定區,"29,783",31.27
臺南市,山上區,"6,796",27.878
臺南市,玉井區,"12,674",76.3662
臺南市,楠西區,"8,392",109.6316
臺南市,南化區,"7,606",171.5198
臺南市,左鎮區,"4,095",74.9025
臺南市,仁德區,"77,496",50.7664
臺南市,歸仁區,"70,574",55.7913
臺南市,關廟區,"33,198",53.6413
臺南市,龍崎區,"3,234",64.0814
臺南市,永康區,"235,805",40.2753
臺南市,東區,"180,856",13.4156
臺南市,南區,"119,121",27.2681
臺南市,北區,"125,439",10.434
臺南市,安南區,"204,534",107.2016
臺南市,安平區,"71,256",11.0663
臺南市,中西區,"75,802",6.26
高雄市,鹽埕區,"21,871",1.4161
高雄市,鼓山區,"140,791",14.7523
高雄市,左營區,"197,621",19.3823
高雄市,楠梓區,"195,613",25.8276
高雄市,三民區,"328,827",19.7866
高雄市,新興區,"49,380",1.9764
高雄市,前金區,"27,670",1.8573
高雄市,苓雅區,"161,185",8.1522
高雄市,前鎮區,"176,845",19.1207
高雄市,旗津區,"24,906",1.7341
高雄市,小港區,"153,310",45.4426
高雄市,鳳山區,"353,000",26.759
高雄市,林園區,"67,341",32.286
高雄市,大寮區,"112,239",71.04
高雄市,大樹區,"39,906",66.9811
高雄市,大社區,"33,741",26.5848
高雄市,仁武區,"100,311",36.0808
高雄市,鳥松區,"43,703",24.5927
高雄市,岡山區,"94,624",47.9421
高雄市,橋頭區,"43,341",25.9379
高雄市,燕巢區,"28,348",65.395
高雄市,田寮區,"6,125",92.6802
高雄市,阿蓮區,"26,785",34.6164
高雄市,路竹區,"48,906",48.4348
高雄市,湖內區,"29,295",20.1615
高雄市,茄萣區,"28,732",15.7624
高雄市,永安區,"13,510",22.6141
高雄市,彌陀區,"17,715",14.7772
高雄市,梓官區,"34,701",11.5967
高雄市,旗山區,"33,368",94.6122
高雄市,美濃區,"36,074",120.0316
高雄市,六龜區,"11,286",194.1584
高雄市,甲仙區,"5,279",124.034
高雄市,杉林區,"10,569",104.0036
高雄市,內門區,"12,519",95.6224
高雄市,茂林區,"1,846",194
高雄市,桃源區,"4,151",928.98
高雄市,那瑪夏區,"3,111",252.9895
宜蘭縣,宜蘭市,"94,561",29.408
宜蘭縣,羅東鎮,"68,960",11.3448
宜蘭縣,蘇澳鎮,"36,413",89.0196
宜蘭縣,頭城鎮,"27,868",100.893
宜蘭縣,礁溪鄉,"36,629",101.4278
宜蘭縣,壯圍鄉,"24,479",38.4769
宜蘭縣,員山鄉,"32,226",111.9106
宜蘭縣,冬山鄉,"52,938",79.8573
宜蘭縣,五結鄉,"41,737",38.8671
宜蘭縣,三星鄉,"21,356",144.2238
宜蘭縣,大同鄉,"5,998",657.5442
宜蘭縣,南澳鄉,"6,171",740.652
新竹縣,竹北市,"220,973",46.8341
新竹縣,關西鎮,"26,011",125.5193
新竹縣,新埔鎮,"33,561",72.1911
新竹縣,竹東鎮,"97,894",53.5133
新竹縣,湖口鄉,"84,963",58.4303
新竹縣,橫山鄉,"11,901",66.3502
新竹縣,新豐鄉,"59,839",46.3496
新竹縣,芎林鄉,"20,385",40.7858
新竹縣,寶山鄉,"14,588",64.7871
新竹縣,北埔鄉,"8,289",50.6676
新竹縣,峨眉鄉,"4,970",46.801
新竹縣,尖石鄉,"9,464",527.5795
新竹縣,五峰鄉,"4,397",227.728
苗栗縣,苗栗市,"85,838",37.8878
苗栗縣,頭份市,"108,231",53.3205
苗栗縣,苑裡鎮,"43,237",68.2473
苗栗縣,通霄鎮,"30,618",107.8486
苗栗縣,竹南鎮,"91,538",37.5592
苗栗縣,後龍鎮,"33,531",75.8079
苗栗縣,卓蘭鎮,"14,483",76.3153
苗栗縣,大湖鄉,"12,310",90.8396
苗栗縣,公館鄉,"30,461",71.4523
苗栗縣,銅鑼鄉,"16,079",78.3805
苗栗縣,南庄鄉,"8,576",165.4938
苗栗縣,頭屋鄉,"9,354",52.5046
苗栗縣,三義鄉,"14,485",69.3424
苗栗縣,西湖鄉,"5,875",41.0758
苗栗縣,造橋鄉,"11,548",47.9978
苗栗縣,三灣鄉,"5,664",52.2964
苗栗縣,獅潭鄉,"3,943",79.4324
苗栗縣,泰安鄉,"5,401",614.5127
彰化縣,彰化市,"220,487",65.6947
彰化縣,員林市,"122,148",40.038
彰化縣,鹿港鎮,"82,212",39.4625
彰化縣,和美鎮,"86,635",39.9345
彰化縣,北斗鎮,"33,099",19.2547
彰化縣,溪湖鎮,"52,832",32.0592
彰化縣,田中鎮,"38,273",34.6056
彰化縣,二林鎮,"46,419",92.8478
彰化縣,線西鄉,"16,014",18.0856
彰化縣,伸港鄉,"38,146",22.3268
彰化縣,福興鄉,"44,284",49.8934
彰化縣,秀水鄉,"37,356",29.3447
彰化縣,花壇鄉,"42,816",36.3469
彰化縣,芬園鄉,"21,334",38.0204
彰化縣,大村鄉,"38,919",30.7837
彰化縣,埔鹽鄉,"30,041",38.6081
彰化縣,埔心鄉,"33,082",20.9526
彰化縣,永靖鄉,"34,177",20.6382
彰化縣,社頭鄉,"40,272",36.1449
彰化縣,二水鄉,"13,220",29.4449
彰化縣,田尾鄉,"25,251",24.0375
彰化縣,埤頭鄉,"27,997",42.7508
彰化縣,芳苑鄉,"29,880",91.3827
彰化縣,大城鄉,"14,146",63.7406
彰化縣,竹塘鄉,"13,918",42.1662
彰化縣,溪州鄉,"27,248",75.831
南投縣,南投市,"96,229",71.6021
南投縣,埔里鎮,"75,613",162.2227
南投縣,草屯鎮,"97,724",104.0327
南投縣,竹山鎮,"49,905",247.3339
南投縣,集集鎮,"9,882",49.7268
南投縣,名間鄉,"34,557",83.0955
南投縣,鹿谷鄉,"15,454",141.8981
南投縣,中寮鄉,"12,825",146.6541
南投縣,魚池鄉,"14,098",121.3735
南投縣,國姓鄉,"15,963",175.7042
南投縣,水里鄉,"15,452",106.8424
南投縣,信義鄉,"14,886","1,422.42"
南投縣,仁愛鄉,"15,293","1,273.53"
雲林縣,斗六市,"109,030",93.7151
雲林縣,斗南鎮,"43,322",48.1505
雲林縣,虎尾鎮,"71,349",68.742
雲林縣,西螺鎮,"43,975",49.7985
雲林縣,土庫鎮,"27,234",49.0212
雲林縣,北港鎮,"37,053",41.4999
雲林縣,古坑鄉,"29,193",166.6059
雲林縣,大埤鄉,"17,521",44.9973
雲林縣,莿桐鄉,"27,201",50.8502
雲林縣,林內鄉,"16,285",37.6035
雲林縣,二崙鄉,"24,165",59.5625
雲林縣,崙背鄉,"22,255",58.484
雲林縣,麥寮鄉,"48,815",80.1668
雲林縣,東勢鄉,"12,885",48.3562
雲林縣,褒忠鄉,"11,490",37.0552
雲林縣,臺西鄉,"20,778",54.0983
雲林縣,元長鄉,"22,478",71.5872
雲林縣,四湖鄉,"20,210",77.1189
雲林縣,口湖鄉,"23,945",80.4612
雲林縣,水林鄉,"21,805",72.9582
嘉義縣,太保市,"39,923",66.8964
嘉義縣,朴子市,"39,950",49.5737
嘉義縣,布袋鎮,"23,589",61.7307
嘉義縣,大林鎮,"29,542",64.1663
嘉義縣,民雄鄉,"69,716",85.4969
嘉義縣,溪口鄉,"12,604",33.0463
嘉義縣,新港鄉,"29,006",66.0495
嘉義縣,六腳鄉,"20,044",62.2619
嘉義縣,東石鄉,"21,671",81.5821
嘉義縣,義竹鄉,"15,829",79.2925
嘉義縣,鹿草鄉,"13,460",54.3151
嘉義縣,水上鄉,"46,932",69.1198
嘉義縣,中埔鄉,"41,673",129.5016
嘉義縣,竹崎鄉,"32,160",162.2256
嘉義縣,梅山鄉,"17,177",119.7571
嘉義縣,番路鄉,"10,582",117.5269
嘉義縣,大埔鄉,"4,160",173.2472
嘉義縣,阿里山鄉,"5,163",427.8471
屏東縣,屏東市,"191,466",65.067
屏東縣,潮州鎮,"53,723",42.4331
屏東縣,東港鎮,"45,879",29.4635
屏東縣,恆春鎮,"28,770",136.763
屏東縣,萬丹鄉,"48,586",57.4679
屏東縣,長治鄉,"29,192",39.8861
屏東縣,麟洛鄉,"10,406",16.26
屏東縣,九如鄉,"21,420",42.0187
屏東縣,里港鄉,"24,948",68.9208
屏東縣,鹽埔鄉,"23,106",64.3493
屏東縣,高樹鄉,"21,935",90.1522
屏東縣,萬巒鄉,"18,654",60.7315
屏東縣,內埔鄉,"52,760",81.8554
屏東縣,竹田鄉,"15,363",29.0732
屏東縣,新埤鄉,"8,983",59.0102
