日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
114/05/28,"2,813,448","1,085,217,606",375.00,397.00,368.00,390.00,X0.00,"3,297",
114/05/29,"2,200,647","869,365,505",393.50,408.50,384.00,397.00,+7.00,"3,104",
114/06/02,"909,784","349,218,237",388.00,390.50,372.50,389.00,-8.00,"1,431",
114/06/03,"754,737","294,769,217",391.00,395.00,387.00,391.50,+2.50,"1,037",
114/06/04,"1,549,182","634,608,824",394.50,417.50,394.50,416.00,+24.50,"2,641",
114/06/05,"944,056","392,181,791",416.00,425.00,408.50,415.00,-1.00,"1,750",
114/06/06,"2,561,401","1,140,941,782",415.00,456.50,414.50,456.50,+41.50,"6,434",
114/06/09,"2,249,874","1,060,452,841",456.00,490.00,453.00,473.00,+16.50,"8,093",
114/06/10,"1,350,055","629,700,436",473.00,476.50,456.00,467.00,-6.00,"2,320",
114/06/11,"1,295,472","613,562,354",469.00,485.00,464.00,485.00,+18.00,"2,226",
114/06/12,"1,129,674","538,643,777",486.00,486.00,468.00,474.00,-11.00,"2,199",
114/06/13,"1,717,607","773,671,794",470.00,470.00,440.00,443.00,-31.00,"3,834",
114/06/16,"918,930","400,178,276",431.00,445.50,425.50,435.00,-8.00,"2,153",
114/06/17,"1,029,490","448,971,608",437.50,453.00,425.50,425.50,-9.50,"2,055",
114/06/18,"757,330","326,458,309",424.00,437.00,423.50,433.00,+7.50,"1,363",
114/06/19,"582,637","248,581,288",433.00,434.50,423.50,424.00,-9.00,"1,369",
114/06/20,"1,059,629","456,899,098",421.00,445.00,414.50,440.00,+16.00,"2,302",
114/06/23,"666,082","284,378,561",433.00,434.50,419.00,431.00,-9.00,"1,522",
114/06/24,"1,728,238","788,597,380",438.50,464.00,437.50,462.00,+31.00,"3,045",
114/06/25,"1,097,642","501,296,434",466.50,467.00,451.00,453.00,-9.00,"3,652",
114/06/26,"623,542","279,857,184",455.00,459.00,443.00,443.00,-10.00,"1,638",
114/06/27,"760,854","333,720,157",441.00,448.00,430.50,430.50,-12.50,"1,785",
114/06/30,"433,103","186,930,373",432.50,437.00,428.00,431.50,+1.00,828,
114/07/01,"515,947","223,797,077",433.50,440.00,428.00,428.00,-3.50,"1,087",
114/07/02,"1,277,706","576,901,136",429.00,463.00,429.00,458.00,+30.00,"2,399",
114/07/03,"853,716","383,622,395",458.50,459.50,443.50,446.50,-11.50,"2,196",
114/07/04,"582,146","255,399,981",446.50,449.00,432.50,434.00,-12.50,"1,516",
114/07/07,"474,909","203,559,443",430.00,434.50,423.00,434.50,+0.50,"1,177",
114/07/08,"481,718","207,155,160",433.50,440.00,423.00,435.50,+1.00,"1,164",
114/07/09,"682,233","302,910,675",435.00,452.00,432.00,442.00,+6.50,"1,533",
114/07/10,"3,560,690","1,697,546,179",461.00,486.00,456.00,486.00,+44.00,"5,897",
114/07/11,"1,782,887","851,318,780",473.00,485.00,471.00,477.00,X0.00,"5,506",
114/07/14,"1,190,630","548,110,079",473.00,473.00,452.00,455.00,-22.00,"10,227",
114/07/15,"589,983","267,986,945",454.00,462.00,443.00,459.50,+4.50,"1,325",
114/07/16,"559,915","255,480,723",460.50,465.00,452.00,453.00,-6.50,"1,503",
114/07/17,"472,488","215,790,278",459.00,463.00,449.00,457.00,+4.00,"1,014",
114/07/18,"751,059","345,934,611",462.00,473.50,452.00,457.00,0.00,"1,299",
114/07/21,"748,734","334,496,949",454.50,455.00,441.00,447.00,-10.00,"1,666",
114/07/22,"421,634","187,602,193",446.50,450.00,442.50,443.00,-4.00,"1,131",
114/07/23,"361,746","160,805,685",445.00,451.00,440.50,442.00,-1.00,"1,010",
114/07/24,"470,996","206,859,292",445.00,446.00,434.00,437.00,-5.00,"1,440",
114/07/25,"477,611","206,631,788",437.00,438.00,431.00,431.00,-6.00,"1,255",
114/07/28,"483,721","208,546,693",432.00,435.00,428.50,429.00,-2.00,956,
114/07/29,"981,836","417,194,772",430.00,437.00,416.00,436.00,+7.00,"2,391",
114/07/30,"523,428","224,131,654",436.00,436.00,423.00,427.00,-9.00,"1,167",
114/07/31,"396,072","169,390,938",427.00,434.00,424.50,425.50,-1.50,"1,068",
114/08/01,"430,674","184,319,434",419.50,433.50,418.50,431.00,+5.50,946,
